long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae g_Dialister g_Mobiluncus
0.000000e+00 2.220446e-16 3.359555e+09 1.766112e+08 2.372157e-16 2.457985e-07 8.960868e-16 9.794520e-14 1.609672e-11 2.192579e-11 1.497725e-15 2.307288e-16
1.000000e+00 2.220446e-16 3.320301e+09 1.971375e+08 2.329891e-16 1.520429e-05 7.316818e-16 1.139300e-12 5.664129e-11 2.498348e-11 9.886909e-16 2.285427e-16
2.000000e+00 2.220446e-16 4.032374e+09 2.327819e+08 2.379348e-16 3.798220e-07 9.016960e-16 6.972830e-13 7.694020e-11 2.474441e-11 1.129021e-15 2.309991e-16
3.000000e+00 2.220446e-16 3.374858e+09 1.973706e+08 2.355651e-16 6.179500e-06 7.710184e-16 1.866445e-13 4.781724e-11 2.254306e-11 8.317649e-16 2.296853e-16
4.000000e+00 2.220446e-16 3.725357e+09 2.371592e+08 2.418739e-16 6.545086e-05 9.539411e-16 1.871581e-13 6.959297e-11 2.300586e-11 9.474627e-16 2.326210e-16
5.000000e+00 2.220446e-16 3.505320e+09 2.166576e+08 2.403813e-16 2.501357e-06 8.428552e-16 8.329936e-14 4.731909e-11 2.148039e-11 7.442912e-16 2.317585e-16
6.000000e+00 2.220446e-16 2.900625e+09 1.329106e+08 2.493580e-16 2.462856e-05 1.058804e-15 1.066969e-13 7.428814e-11 2.236528e-11 8.526617e-16 2.356312e-16
7.000000e+00 2.220446e-16 3.595187e+09 2.089266e+08 2.483589e-16 1.730655e-06 9.583585e-16 6.092724e-14 5.487097e-11 2.126073e-11 6.975088e-16 2.350370e-16
8.000000e+00 2.220446e-16 3.767870e+09 3.119123e+08 2.618313e-16 1.068124e-07 1.234162e-15 9.048187e-14 9.371575e-11 2.251600e-11 8.071254e-16 2.403907e-16
9.000000e+00 2.220446e-16 3.631550e+09 1.994630e+08 2.611353e-16 1.156002e-06 1.137719e-15 5.997405e-14 7.491531e-11 2.178191e-11 6.783980e-16 2.399694e-16
1.000000e+01 2.220446e-16 3.340710e+09 2.267320e+08 2.821238e-16 7.292103e-06 1.515826e-15 1.028464e-13 2.679779e-11 2.352792e-11 7.960895e-16 2.475691e-16
1.100000e+01 2.220446e-16 3.649186e+09 2.299813e+08 2.816211e-16 7.385173e-07 1.417331e-15 7.866532e-14 9.159145e-11 2.329101e-11 6.821234e-16 2.472639e-16
1.200000e+01 2.220446e-16 3.739053e+09 3.472078e+08 3.155958e-16 5.361516e-06 1.972424e-15 1.698429e-13 1.414778e-10 2.590434e-11 8.160196e-16 2.582667e-16
1.300000e+01 2.220446e-16 3.642569e+09 3.029731e+08 3.152158e-16 7.839781e-07 1.864885e-15 1.631128e-13 1.009257e-10 2.659451e-11 7.096055e-16 2.580406e-16
1.400000e+01 2.220446e-16 3.812560e+09 3.842173e+08 3.729997e-16 6.548041e-08 2.739402e-15 5.589373e-13 3.313233e-11 2.396414e-11 8.720319e-16 2.742854e-16
1.500000e+01 2.220446e-16 3.665732e+09 4.524975e+08 3.726905e-16 7.690670e-07 2.612717e-15 8.463986e-13 1.005901e-10 2.917951e-11 7.679655e-16 2.741119e-16
1.600000e+01 2.220446e-16 3.715216e+09 3.789093e+08 4.781117e-16 4.148148e-08 4.099898e-15 5.753946e-14 2.653538e-11 2.418136e-11 9.804702e-16 2.986699e-16
1.700000e+01 2.220446e-16 3.711566e+09 6.024142e+08 4.778172e-16 3.802840e-07 3.936512e-15 8.403487e-13 6.802835e-11 2.724921e-11 8.742378e-16 2.985256e-16
1.800000e+01 2.220447e-16 4.194705e+09 6.350368e+08 6.910120e-16 1.404148e-06 6.691821e-15 5.497073e-13 7.621821e-11 2.691085e-11 1.178975e-15 3.368371e-16
1.900000e+01 2.220447e-16 3.814072e+09 6.982706e+08 6.905976e-16 1.679101e-07 6.455953e-15 1.589203e-13 4.092304e-11 2.460206e-11 1.065957e-15 3.366892e-16
2.000000e+01 2.220467e-16 3.248687e+09 4.882788e+08 1.193137e-15 7.362096e-07 1.208802e-14 1.625659e-13 4.894273e-11 2.539803e-11 1.555792e-15 3.991151e-16
2.100000e+01 2.220467e-16 3.887769e+09 6.949188e+08 1.191941e-15 1.190384e-07 1.169434e-14 7.398738e-14 2.871260e-11 2.416708e-11 1.431182e-15 3.988837e-16
2.200000e+01 2.220817e-16 3.538085e+09 6.359910e+08 2.682616e-15 6.482958e-07 2.460382e-14 9.319833e-14 3.660814e-11 2.592477e-11 2.342585e-15 5.070358e-16
2.300000e+01 2.220817e-16 3.832825e+09 5.960211e+08 2.675589e-15 1.344249e-07 2.381045e-14 5.239006e-14 2.323038e-11 2.567236e-11 2.204755e-15 5.064476e-16
2.400000e+01 2.226877e-16 3.479790e+09 7.388136e+08 8.936276e-15 1.047602e-08 5.767490e-14 7.295968e-14 3.160007e-11 2.223187e-11 4.264412e-15 7.109129e-16
2.500000e+01 2.226877e-16 3.697889e+09 5.612593e+08 8.864167e-15 1.333947e-07 5.564729e-14 4.539657e-14 2.152589e-11 2.588556e-11 4.139411e-15 7.088432e-16
2.600000e+01 2.334546e-16 3.015536e+09 4.221092e+08 5.365449e-14 6.471554e-07 1.599189e-13 6.685824e-14 3.133347e-11 2.637757e-11 1.022485e-14 1.147079e-15
2.700000e+01 2.334545e-16 3.454426e+09 5.274369e+08 5.227171e-14 1.163020e-07 1.530661e-13 4.398284e-14 2.278886e-11 2.484429e-11 1.034253e-14 1.138027e-15
2.800000e+01 5.294171e-16 3.238491e+09 3.961637e+08 7.885075e-13 7.344942e-07 5.419463e-13 6.793654e-14 3.568623e-11 2.644917e-11 3.670627e-14 2.265788e-15
2.900000e+01 5.290777e-16 3.149346e+09 4.198585e+08 7.241425e-13 1.614298e-07 5.105446e-13 4.670620e-14 2.761449e-11 2.603059e-11 3.907974e-14 2.216379e-15
3.000000e+01 5.502135e-08 2.659909e+09 1.684971e+08 4.704496e-11 1.066690e-08 1.107334e-14 7.764881e-14 8.093339e-12 2.215707e-11 2.401489e-13 6.027919e-15
3.100000e+01 7.589740e-10 2.823665e+09 2.486274e+08 3.554981e-11 1.932050e-07 9.961559e-13 5.645886e-14 2.863224e-11 2.582818e-11 2.688560e-13 5.665561e-15
