long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 3.846091e+01 2.743728e+07 1.701041e+04 8.335184e-14 2.307394e-03 2.115073e-12 2.228184e-16 1.756977e-15 5.583588e-01 2.228019e-16 5.357285e-14 1.408112e-15
1.000000e+00 3.918694e+01 3.643908e+07 6.998270e+04 1.528963e-15 2.081111e-02 2.503029e-12 2.540545e-07 3.341011e-13 1.098752e+06 1.629963e-07 5.382583e-14 4.558183e-15
2.000000e+00 3.877263e+01 3.279688e+07 3.737178e+04 2.220967e-14 4.227274e-03 2.550716e-12 9.114094e-07 3.744345e-13 2.567893e+04 5.690616e-07 5.385217e-14 4.887748e-15
3.000000e+00 3.918505e+01 3.462696e+07 4.076857e+04 1.528917e-15 1.565345e-02 2.402425e-12 3.554415e-12 1.023843e-13 1.058914e+04 2.892725e-12 5.381789e-14 4.558178e-15
4.000000e+00 3.884382e+01 3.385831e+07 1.975361e+04 2.221190e-14 2.134696e-01 2.456792e-12 4.017479e-12 1.100270e-13 1.081161e+03 3.261076e-12 5.384479e-14 4.887744e-15
5.000000e+00 3.918240e+01 3.262834e+07 2.001687e+04 1.529266e-15 1.272409e-02 2.323116e-12 1.985852e-14 3.919913e-14 6.472247e+03 1.804771e-14 5.381108e-14 4.558174e-15
6.000000e+00 3.878185e+01 2.801281e+07 6.549411e+03 1.065858e-10 3.435430e-03 2.383689e-12 2.012614e-14 4.149207e-14 4.516555e+02 1.828571e-14 5.383854e-14 4.887739e-15
7.000000e+00 3.917901e+01 3.021795e+07 7.466464e+03 2.815837e-08 1.117286e-02 2.262370e-12 1.788870e-15 1.801284e-14 7.595076e+03 1.711187e-15 5.380540e-14 4.558171e-15
8.000000e+00 4.134945e+01 2.559672e+07 1.741958e+03 2.220933e-14 3.038571e-03 2.328925e-12 1.796108e-15 1.904498e-14 1.378919e-06 1.717964e-15 5.383341e-14 4.887735e-15
9.000000e+00 3.917733e+01 2.687013e+07 1.849308e+03 2.815837e-08 8.444306e-03 2.218186e-12 5.859547e-16 9.616971e-15 1.689950e-06 5.739801e-16 5.380084e-14 4.558167e-15
1.000000e+01 3.882076e+01 2.036791e+07 2.497671e+02 1.065858e-10 6.871102e-02 2.290714e-12 5.896229e-16 1.023282e-14 1.196068e-06 5.774966e-16 5.382941e-14 4.887731e-15
1.100000e+01 3.917741e+01 2.254985e+07 2.648652e+02 1.529266e-15 6.876294e-03 2.189157e-12 3.498615e-16 5.811056e-15 4.403024e-16 3.464932e-16 5.379740e-14 4.558164e-15
