long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 7.217069e+05 2.282393e+06 7.396648e+05 6.393464e+01 9.838928e-04 1.278441e-14 3.254131e-12 4.515553e-07 2.715817e-15 6.191670e-02 4.752738e+00 8.916886e-14
1.000000e+00 6.595768e+05 7.735076e+05 2.606689e+05 6.393545e+01 8.706377e-05 2.129628e-07 3.254527e-12 4.514975e-07 8.559670e-16 6.192209e-02 4.726349e+00 3.179598e-16
2.000000e+00 1.000351e+05 2.476238e+05 1.189287e+05 6.393328e+01 1.853131e-05 6.731143e-07 3.254184e-12 4.514305e-07 1.777344e-14 6.191312e-02 4.718891e+00 5.771422e-10
3.000000e+00 1.263354e+06 1.437388e+06 4.286819e+05 6.393470e+01 9.619982e-05 9.166550e-16 3.253990e-12 4.515090e-07 8.166703e-15 6.192182e-02 4.726681e+00 1.659055e-11
4.000000e+00 1.067621e+06 1.269794e+06 4.585761e+05 6.393417e+01 9.850367e-05 1.434825e-15 3.254119e-12 4.515011e-07 4.600688e-14 6.192162e-02 4.726820e+00 9.374435e-07
5.000000e+00 9.358282e+05 1.139895e+06 4.929719e+05 6.393363e+01 1.008627e-04 9.165935e-16 3.253986e-12 4.514931e-07 2.591784e-13 6.192143e-02 4.726958e+00 6.231871e-02
6.000000e+00 1.122653e+05 4.122551e+06 7.931584e+05 6.393192e+01 2.313744e-05 4.349879e-15 3.254131e-12 4.513977e-07 6.698782e-08 6.194111e-02 4.721734e+00 1.460885e-03
7.000000e+00 3.240358e+05 1.957551e+06 6.678429e+05 6.393233e+01 1.001906e-04 3.869740e-16 3.253832e-12 4.514480e-07 2.295275e-09 6.192129e-02 4.727198e+00 6.938868e+03
8.000000e+00 2.551296e+03 1.377814e+06 4.158763e+05 6.393909e+01 7.295451e-04 1.434754e-15 3.254119e-12 4.514872e-07 2.233148e-16 6.191285e-02 4.719845e+00 9.374435e-07
9.000000e+00 7.177966e+03 4.129420e+06 8.080809e+05 6.393185e+01 1.017851e-04 3.869740e-16 3.253832e-12 4.513938e-07 2.311832e-09 6.192129e-02 4.727346e+00 1.847272e-06
1.000000e+01 4.202099e-01 6.657289e+06 1.256689e+06 6.393142e+01 3.215715e-05 4.349780e-15 3.254131e-12 4.514523e-07 7.071442e-08 6.194110e-02 4.722125e+00 1.460885e-03
1.100000e+01 1.087597e+00 6.540688e+06 9.022211e+05 6.393225e+01 1.064555e-04 9.165712e-16 3.253990e-12 4.513775e-07 2.672779e-13 6.192143e-02 4.727403e+00 6.217586e-16
1.200000e+01 2.832180e-03 9.514240e+06 1.049954e+06 6.393237e+01 1.063196e-04 1.434749e-15 3.254175e-12 4.513767e-07 4.822896e-14 6.192162e-02 4.727413e+00 8.723731e-16
1.300000e+01 7.104855e-06 1.442502e+07 1.229815e+06 6.393246e+01 1.061838e-04 9.165726e-16 3.254723e-12 4.513726e-07 8.702677e-15 6.192181e-02 4.727423e+00 6.217586e-16
1.400000e+01 1.764127e-02 1.072307e+07 1.446662e+06 6.394005e+01 2.993847e-05 1.073325e-14 3.254142e-12 4.514424e-07 2.453490e-14 6.191033e-02 4.719152e+00 8.408914e-15
1.500000e+01 1.075233e-08 2.691223e+07 1.720920e+06 6.393365e+01 1.003634e-04 6.236692e-16 3.254711e-12 4.513786e-07 9.920885e-16 6.192205e-02 4.727384e+00 4.490048e-16
1.600000e+01 6.330806e-09 3.337744e+07 2.057250e+06 6.393476e+01 9.498334e-05 6.236672e-16 3.254020e-12 4.513889e-07 6.267625e-16 6.192209e-02 4.727335e+00 4.490048e-16
1.700000e+01 3.496079e-05 3.283971e+07 1.739891e+06 6.393406e+01 2.607741e-05 9.165716e-16 3.253990e-12 4.514736e-07 6.609337e-16 6.191245e-02 4.719509e+00 6.217586e-16
1.800000e+01 2.922779e-13 2.329195e+07 1.255741e+06 6.393459e+01 4.310732e-04 6.236709e-16 3.253976e-12 4.513329e-07 5.452457e-16 6.191269e-02 4.719202e+00 4.490048e-16
1.900000e+01 8.237637e-09 3.618398e+07 1.990038e+06 6.393723e+01 7.777063e-05 3.869743e-16 3.253821e-12 4.514231e-07 4.537868e-16 6.192188e-02 4.727021e+00 3.179598e-16
2.000000e+01 9.717471e-06 1.033076e+07 8.291380e+05 6.393561e+01 2.221376e-05 1.014681e-14 3.254130e-12 4.514959e-07 2.144064e-15 6.194156e-02 4.719552e+00 1.515331e-14
2.100000e+01 3.463929e-10 1.393209e+07 9.817888e+05 6.393800e+01 6.863180e-05 1.993993e-15 3.253987e-12 4.514365e-07 1.299372e-15 6.192175e-02 4.726647e+00 1.762648e-15
2.200000e+01 5.283043e-10 7.394772e+06 6.286479e+05 6.393824e+01 6.268931e-05 7.712545e-15 3.254131e-12 4.514526e-07 2.970946e-15 6.192180e-02 4.726434e+00 7.312517e-15
2.300000e+01 7.324691e-10 4.077988e+06 4.047523e+05 6.393849e+01 5.726135e-05 1.603738e-14 3.254142e-12 4.514674e-07 6.792910e-15 6.192186e-02 4.726220e+00 1.679190e-14
2.400000e+01 9.243062e-10 2.319120e+06 2.618205e+05 6.393875e+01 5.230338e-05 2.021273e-14 3.254142e-12 4.514812e-07 1.553163e-14 6.192191e-02 4.726007e+00 2.207219e-14
2.500000e+01 1.062532e-09 1.350418e+06 1.700177e+05 6.393902e+01 4.777469e-05 1.603754e-14 3.254142e-12 4.514943e-07 3.551224e-14 6.192197e-02 4.725794e+00 1.679190e-14
2.600000e+01 1.113253e-09 7.996910e+05 1.107408e+05 6.393930e+01 4.363812e-05 7.712713e-15 3.254131e-12 4.515070e-07 8.119686e-14 6.192202e-02 4.725581e+00 7.312517e-15
2.700000e+01 1.063281e-09 4.784298e+05 7.229259e+04 6.393959e+01 3.985971e-05 1.994067e-15 3.253988e-12 4.515198e-07 1.856523e-13 6.192208e-02 4.725368e+00 1.762648e-15
2.800000e+01 8.630100e-03 1.689260e+05 3.449254e+04 6.393904e+01 1.609283e-04 2.629450e-10 3.254143e-12 4.514535e-07 2.598095e-06 6.191634e-02 4.751721e+00 3.413773e-13
2.900000e+01 8.711626e-08 1.426216e+05 2.849589e+04 6.394010e+01 3.579927e-05 1.274561e-12 3.253987e-12 4.515213e-07 1.227518e-10 6.192212e-02 4.725131e+00 6.217586e-16
3.000000e+01 7.597302e-06 6.998969e+04 1.717604e+04 6.394032e+01 3.520028e-05 9.081424e-09 3.254119e-12 4.515101e-07 3.549724e-08 6.192210e-02 4.725107e+00 8.723730e-16
3.100000e+01 6.242729e-04 3.365089e+04 1.033982e+04 6.394055e+01 3.461131e-05 3.436716e-04 3.253990e-12 4.514989e-07 1.026505e-05 6.192209e-02 4.725082e+00 6.217586e-16
3.200000e+01 2.509880e-04 6.285799e+04 1.213714e+04 6.394046e+01 1.520897e-05 1.320795e-07 3.254179e-12 4.515649e-07 4.643840e-09 6.191779e-02 4.722501e+00 2.716627e-05
3.300000e+01 3.697101e-01 1.432037e+04 4.726419e+03 6.394103e+01 3.208969e-05 1.009863e+01 3.254466e-12 4.515004e-07 8.486595e-04 6.192200e-02 4.725016e+00 6.666334e-08
3.400000e+01 7.393221e-01 1.102109e+04 3.101353e+03 6.394038e+01 1.463807e-05 9.081133e-09 3.254119e-12 4.515903e-07 2.486662e-09 6.191655e-02 4.722498e+00 5.031024e-08
