long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 5.417311e+07 1.652863e-14 6.991636e-16 2.224783e-16 1.067727e+09 7.013199e+07 5.824066e-16 1.746405e+08 1.335245e-12 3.102399e-16 4.990207e-03 4.072285e-15
1.000000e+00 1.781548e+09 1.655192e-14 7.001426e-16 2.224992e-16 1.213435e+09 5.513590e+07 5.824066e-16 4.228144e+08 1.406474e-12 3.107050e-16 1.882509e-03 4.072291e-15
2.000000e+00 1.691186e+08 1.700833e-14 7.143818e-16 2.226155e-16 1.375554e+09 4.950102e+07 5.824066e-16 3.750464e+08 2.156584e-12 3.148059e-16 5.006601e-03 4.072317e-15
3.000000e+00 1.629134e+09 1.792653e-14 7.422793e-16 2.228344e-16 1.158916e+09 6.068717e+07 5.824067e-16 3.827122e+08 4.744758e-12 3.225444e-16 1.927296e-03 4.072363e-15
4.000000e+00 1.654201e+08 1.937698e-14 7.854076e-16 2.231942e-16 8.965526e+08 3.449256e+07 5.824069e-16 2.269427e+08 1.519665e-11 3.342809e-16 1.908266e-03 4.072430e-15
5.000000e+00 3.565782e+08 2.148164e-14 8.466670e-16 2.237709e-16 1.231695e+09 5.731073e+07 5.824071e-16 5.200259e+08 7.357012e-11 3.507412e-16 5.027042e-03 4.072517e-15
6.000000e+00 9.737772e+07 1.897963e-14 8.333713e-16 2.240408e-16 1.009248e+09 3.552740e+07 5.824051e-16 3.781767e+08 1.085201e-10 3.536982e-16 2.938138e-03 4.072402e-15
7.000000e+00 8.399558e+06 2.774274e-14 1.020505e-15 2.254770e-16 9.194496e+08 2.657674e+07 5.824077e-16 3.671824e+08 9.254976e-12 3.958331e-16 1.992256e-03 4.072732e-15
8.000000e+00 1.918084e+08 3.235178e-14 1.143521e-15 2.268416e-16 1.340821e+09 4.965748e+07 5.824081e-16 5.560933e+08 7.014871e-09 4.270166e-16 5.056541e-03 4.072861e-15
9.000000e+00 1.319721e+07 3.876984e-14 1.311293e-15 2.290419e-16 6.942609e+08 3.309727e+07 5.824085e-16 4.206526e+08 2.286850e-08 4.693656e-16 2.000534e-03 4.073011e-15
1.000000e+01 3.724919e+07 4.778521e-14 1.541544e-15 2.324748e-16 7.700370e+08 3.555324e+07 5.824090e-16 3.872871e+08 1.434906e-07 5.270424e-16 5.093680e-03 4.073182e-15
1.100000e+01 1.036237e+08 6.063637e-14 1.861893e-15 2.377878e-16 1.017245e+09 4.355368e+07 5.824096e-16 6.327324e+08 8.626593e-09 6.065386e-16 2.145893e-03 4.073376e-15
1.200000e+01 8.721373e+07 8.155611e-15 2.316396e-15 2.460398e-16 8.082611e+08 3.858659e+07 5.824102e-16 7.212984e+08 3.648751e-08 7.182472e-16 2.109431e-03 4.073592e-15
1.300000e+01 4.826481e+07 8.150162e-14 2.977394e-15 2.590086e-16 5.281301e+08 2.885838e+07 5.824109e-16 5.236872e+08 1.023434e-05 8.793783e-16 2.115993e-03 4.073831e-15
1.400000e+01 1.343253e+09 8.649356e-14 3.967683e-15 2.798132e-16 3.886727e+08 3.278863e+07 5.824117e-16 3.160545e+08 1.613064e-07 1.119613e-15 2.086926e-03 4.074094e-15
1.500000e+01 1.414841e+08 9.481289e-14 5.503694e-15 3.142773e-16 3.052029e+08 2.248235e+07 5.824126e-16 5.426724e+08 3.669417e-05 1.492615e-15 2.128900e-03 4.070635e-15
1.600000e+01 9.754426e+08 1.073970e-13 7.983265e-15 3.742354e-16 8.793185e+07 5.940867e+06 5.824135e-16 1.292108e+08 1.009259e-04 2.100869e-15 4.916526e-03 4.074342e-15
1.700000e+01 1.605331e+09 1.257830e-13 1.217285e-14 4.865914e-16 3.079168e+07 2.362380e+06 5.824145e-16 8.102149e+07 2.822617e-06 3.152848e-15 1.926778e-03 4.074329e-15
1.800000e+01 2.793023e+09 1.524436e-13 1.962850e-14 7.222964e-16 3.448434e+06 3.978532e+05 5.824155e-16 7.330066e+06 7.456962e-06 5.104820e-15 1.964733e-03 4.074339e-15
1.900000e+01 1.198670e+09 1.913802e-13 3.369981e-14 1.309885e-15 1.905435e+05 1.792176e+04 5.824166e-16 5.185259e+05 5.089197e-06 9.044167e-15 1.810262e-03 4.074375e-15
2.000000e+01 1.181211e+09 2.491843e-13 6.208589e-14 3.222599e-15 2.397897e+03 4.166303e+02 5.824178e-16 2.765581e+03 5.469403e-04 1.783402e-14 1.860041e-03 4.074435e-15
2.100000e+01 1.469570e-03 3.369853e-13 1.238355e-13 1.271550e-14 6.113393e+00 1.552712e+00 5.824191e-16 1.936298e+00 1.830715e-06 3.995296e-14 1.762001e-03 4.074519e-15
2.200000e+01 2.042718e+01 3.784751e-14 6.703675e-15 1.072113e-13 7.888470e+02 1.336259e+02 5.824204e-16 6.849000e+02 1.601233e-04 1.042661e-13 4.104365e-03 4.074629e-15
2.300000e+01 2.988149e-15 3.646517e-13 1.828494e-13 3.013622e-13 1.167500e-02 4.609831e-03 5.824195e-16 1.195358e-03 8.617562e-06 1.670310e-13 2.405503e-03 4.074541e-15
2.400000e+01 1.683361e+01 4.240133e-14 7.581853e-15 5.347793e-11 1.065311e+00 2.530184e-01 5.824232e-16 8.315276e-01 1.041893e-04 9.899682e-13 3.800693e-03 4.074903e-15
2.500000e+01 1.449362e-03 4.157170e-13 1.581345e-13 7.270514e-09 4.795321e-06 2.641411e-06 5.824247e-16 8.080452e-07 6.682926e-07 3.810892e-12 1.525826e-03 4.075069e-15
2.600000e+01 1.832779e+08 3.421062e-13 9.008976e-14 1.688441e-11 1.241168e-01 2.442252e-02 5.824263e-16 9.990818e-01 1.373272e-04 1.171154e-13 3.560696e-03 4.075260e-15
2.700000e+01 8.610776e+08 2.929132e-13 5.584749e-14 3.806938e-05 1.505392e-06 5.032710e-07 5.824279e-16 5.569415e-06 9.111863e-07 2.621384e-11 1.424491e-03 4.071610e-15
2.800000e+01 1.581168e+08 2.607140e-13 3.741150e-14 9.448031e-09 2.276309e-02 2.922950e-03 5.824296e-16 9.409644e+00 1.535280e-04 3.129170e-13 3.351149e-03 4.075363e-15
2.900000e+01 9.979750e+08 2.410858e-13 2.692767e-14 2.764626e-03 3.851838e-07 2.093337e-07 5.824313e-16 7.294308e-04 2.528278e-04 2.579939e-11 3.269785e-03 4.075274e-15
3.000000e+01 2.201958e+08 2.315246e-13 2.072930e-14 3.953061e-07 2.756184e-03 3.186047e-04 5.824332e-16 5.425186e-03 5.832713e-06 1.325596e-13 1.438786e-03 4.075211e-15
3.100000e+01 8.488417e+08 2.308759e-13 1.700647e-14 8.867354e-02 2.817684e-08 9.163705e-09 5.824351e-16 6.784465e-05 2.117946e-03 3.858346e-12 3.153803e-03 4.075175e-15
3.200000e+01 3.174009e+08 2.390870e-13 1.483100e-14 1.839498e-05 1.076025e-04 1.803005e-05 5.824371e-16 8.701815e-02 2.952619e-05 1.048323e-12 3.117598e-03 4.075165e-15
3.300000e+01 1.346734e+09 2.572021e-13 1.372662e-14 2.765416e+01 1.318649e-10 7.470960e-11 5.823221e-16 1.030267e-09 2.595903e-02 3.627714e-13 1.345880e-03 4.071453e-15
3.400000e+01 3.870246e+08 2.875999e-13 1.347531e-14 1.156894e-02 2.499801e-07 7.402838e-08 5.824377e-16 2.768936e-06 2.796754e-04 1.552454e-13 1.298927e-03 4.074877e-15
3.500000e+01 1.784160e+09 2.404830e-13 1.043036e-14 2.448393e+01 2.026229e-10 1.172178e-10 5.824341e-16 1.402084e-10 1.026892e-02 4.357140e-14 1.846642e-03 4.074375e-15
3.600000e+01 1.275888e+09 3.883729e-13 1.454090e-14 1.873460e+01 3.678475e-10 1.989006e-10 5.824351e-16 1.834196e-10 1.890228e-03 4.030240e-14 1.263494e-03 4.074323e-15
3.700000e+01 2.577511e+09 3.286398e-13 1.162501e-14 1.691573e+03 3.435199e-12 2.650706e-12 5.824316e-16 5.568421e-13 2.764497e-02 1.418072e-14 1.775908e-03 4.073850e-15
3.800000e+01 7.102934e+08 5.673800e-13 1.754186e-14 4.538373e+02 1.369534e-11 8.938010e-12 5.824327e-16 1.484298e-12 1.916816e-03 1.358821e-14 1.181058e-03 4.073826e-15
3.900000e+01 3.357269e+09 4.853361e-13 1.445579e-14 8.132080e+03 7.572404e-13 5.779367e-13 5.824292e-16 6.466085e-14 1.899793e-02 5.841619e-15 1.685398e-03 4.073380e-15
4.000000e+01 1.072548e+09 9.008231e-13 2.381774e-14 9.035182e+02 8.379799e-12 4.597792e-12 5.824304e-16 4.539415e-13 6.809050e-04 5.688989e-15 1.124436e-03 4.073381e-15
4.100000e+01 1.900357e+09 7.777691e-13 2.017731e-14 4.113703e+03 1.451805e-12 8.411451e-13 5.824270e-16 8.674458e-14 3.268255e-03 2.896486e-15 1.578271e-03 4.072959e-15
4.200000e+01 9.330290e+08 1.562787e-12 3.673791e-14 1.336763e+02 8.125962e-11 2.509068e-11 5.824282e-16 3.604282e-12 3.743749e-05 2.839056e-15 1.037520e-03 4.072984e-15
4.300000e+01 2.001434e+09 1.359317e-12 3.190537e-14 2.373067e+02 2.878331e-11 8.947030e-12 5.824249e-16 1.526030e-12 1.305235e-04 1.661278e-15 1.458545e-03 4.072586e-15
4.400000e+01 7.076210e+08 2.981496e-12 6.517853e-14 2.793456e-01 2.252575e-08 2.170247e-09 5.824262e-16 1.784693e-09 3.543498e-07 1.630395e-15 9.487186e-04 4.072633e-15
4.500000e+01 2.183500e+09 2.606329e-12 5.788272e-14 5.388577e-01 1.305790e-08 1.230753e-09 5.824230e-16 1.212412e-09 9.298464e-07 1.067971e-15 1.330079e-03 4.072255e-15
4.600000e+01 1.248227e+09 6.302310e-12 1.351417e-13 4.475524e-06 6.769637e-04 7.735219e-06 5.824244e-16 6.199548e-04 7.656120e-07 1.046288e-15 2.121042e-03 4.072323e-15
4.700000e+01 2.905005e+09 5.520520e-12 1.224828e-13 4.483575e-06 6.895231e-04 7.187361e-06 5.824212e-16 7.747694e-04 5.052348e-09 7.504899e-16 1.215501e-03 4.071966e-15
4.800000e+01 1.203109e+09 1.488992e-11 3.340535e-13 4.106235e-07 1.113014e-03 1.144667e-06 5.824226e-16 3.391034e-03 4.005493e-09 7.324889e-16 1.963444e-03 4.072052e-15
4.900000e+01 8.499045e+08 2.435028e-11 5.834540e-13 5.450697e-10 2.399159e-01 2.705972e-05 5.824219e-16 3.441252e+00 5.364993e-10 6.350599e-16 7.467032e-04 4.071936e-15
5.000000e+01 4.270605e+08 2.003523e-12 1.148502e-12 1.331112e-11 1.077286e+00 1.541103e-05 5.824212e-16 1.372509e+01 1.268518e-10 5.688848e-16 1.838441e-03 4.071840e-15
5.100000e+01 1.020157e+08 2.935138e-11 1.162313e-12 1.698111e-13 6.887226e+01 2.305323e-04 5.824182e-16 5.916211e+02 9.778533e-12 4.733715e-16 1.055118e-03 4.071540e-15
5.200000e+01 7.931210e+02 8.274463e-11 5.760878e-12 2.879251e-13 1.632902e-01 2.760544e-02 5.824199e-16 2.569351e-01 1.827165e-11 4.818764e-16 1.741142e-03 4.071683e-15
5.300000e+01 1.286704e+03 5.674225e-11 5.547278e-12 1.584031e-14 2.219684e+00 4.576470e-06 5.824170e-16 2.492250e+00 2.251993e-12 4.139310e-16 1.002144e-03 4.071400e-15
5.400000e+01 9.559592e-03 8.146908e-11 1.292211e-11 7.384485e-15 1.502518e-01 2.785400e-06 5.824165e-16 4.180136e-02 1.282027e-12 3.908210e-16 9.809236e-04 4.071337e-15
5.500000e+01 8.774453e-09 1.169712e-10 3.010141e-11 3.442522e-15 1.017064e-02 1.695293e-06 5.824159e-16 7.011151e-04 7.298395e-13 3.690012e-16 9.601496e-04 4.071272e-15
5.600000e+01 7.163580e-05 7.534894e-12 8.754722e-13 3.910733e-15 4.233936e+01 3.058826e-03 5.824176e-16 6.615441e+00 1.447398e-12 3.723426e-16 1.619014e-03 4.071427e-15
5.700000e+01 2.986646e-15 1.883061e-10 9.030172e-11 1.043298e-15 2.133939e-03 9.220694e-06 5.824148e-16 4.049010e-05 3.076766e-13 3.331754e-16 9.279321e-04 4.071155e-15
5.800000e+01 9.475237e-03 9.799306e-12 1.752108e-12 1.067327e-15 3.550203e+02 5.544427e-01 5.824167e-16 5.658802e+01 7.068824e-13 3.359695e-16 1.589564e-03 4.071326e-15
5.900000e+01 4.333924e-04 1.872347e-10 8.602246e-11 5.319736e-16 1.268269e+00 1.834419e-02 5.824139e-16 1.679566e-01 2.149159e-13 3.078282e-16 9.125001e-04 4.071070e-15
6.000000e+01 5.933041e-02 4.459718e-10 2.490792e-10 5.346374e-16 2.412870e+00 4.881653e-02 5.824158e-16 4.376501e-01 6.219199e-13 3.106448e-16 6.147662e-04 4.071255e-15
6.100000e+01 5.273054e+08 1.582117e-10 5.600392e-11 3.638834e-16 7.698701e+03 1.724463e+02 5.824132e-16 1.370958e+04 2.425894e-13 2.897252e-16 8.996567e-04 4.071014e-15
6.200000e+01 2.686271e+08 4.263158e-10 2.020296e-10 3.648115e-16 5.062397e+03 1.110364e+02 5.824151e-16 1.047976e+04 9.792435e-13 2.929106e-16 1.570077e-03 4.071215e-15
