long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 3.856363e+09 5.213241e+05 1.367311e+05 4.954096e+02 5.506408e+09 5.916297e+04 5.342782e+06 1.725432e-11 1.336887e+07 1.591803e+07 4.482020e-15 4.310744e+10 1.106883e+04 2.866376e-15
1.000000e+00 3.856362e+09 9.993614e+00 1.042020e+05 1.658484e+00 2.754569e+09 5.895711e+04 4.604180e+06 2.234191e-11 7.336662e+06 4.360116e+07 1.309615e-14 2.726762e+10 5.304183e+03 2.866585e-15
2.000000e+00 3.856363e+09 2.246466e+02 9.911077e+04 2.207048e+00 4.306931e+09 5.904229e+04 3.267376e+06 2.224816e-16 3.963561e+06 4.077939e+07 3.277945e-09 5.493200e+09 3.525083e+03 2.866928e-15
3.000000e+00 3.856362e+09 9.229622e+03 1.297627e+05 5.781414e+00 3.704355e+09 5.930795e+04 3.020963e+06 1.060321e-12 2.239527e+07 2.907362e+08 4.100477e-06 6.083171e+08 8.126994e+03 2.866973e-15
4.000000e+00 3.856363e+09 1.956476e+04 9.203869e+04 2.552080e+02 3.172275e+09 5.921071e+04 5.134820e+05 7.736385e-13 1.228314e+07 1.570976e+08 1.940387e-06 1.353047e+07 1.145696e+03 2.867920e-15
5.000000e+00 3.856363e+09 1.879935e+05 1.073508e+05 8.951481e+00 3.204910e+09 5.930644e+04 5.216903e+05 4.284850e-14 2.378077e+07 2.642172e+08 7.451000e+03 2.006431e+06 1.782436e+03 2.868151e-15
6.000000e+00 3.856363e+09 2.475122e+05 5.745593e+04 1.281315e+03 2.313401e+09 5.893150e+04 2.789861e+04 2.553893e-14 2.884084e+06 1.907619e+08 2.951583e+03 2.543499e+04 1.482454e+02 2.869307e-15
7.000000e+00 3.856364e+09 8.037439e+05 3.367911e+06 5.567215e+01 1.621347e+09 5.899393e+04 2.818541e+03 7.376986e-15 5.510318e+05 8.764166e+07 2.876091e+04 1.302536e+03 4.008741e+01 2.861394e-15
8.000000e+00 3.856363e+09 2.794138e+06 8.328621e+04 4.977371e+02 9.622625e+08 5.905217e+04 1.278532e+02 2.999368e-15 1.328711e+04 5.294891e+07 4.884815e+02 6.979084e+01 7.850326e+00 2.868935e-15
9.000000e+00 3.856364e+09 7.223718e+06 1.083380e+05 2.058956e+03 6.915072e+08 5.907542e+04 1.070659e+00 1.548889e-15 1.029705e+01 7.419659e+07 8.121067e-06 4.713192e+00 8.716107e-01 2.867838e-15
1.000000e+01 3.856364e+09 7.035347e+06 1.281700e+05 5.902483e+03 2.543241e+08 6.103529e+04 5.161804e+01 9.502856e-16 1.636117e+05 1.315028e+07 3.552158e-06 1.646034e+01 1.203273e+01 2.866896e-15
1.100000e+01 3.856364e+09 1.383734e+07 1.560718e+05 1.679995e+04 1.279409e+08 5.914724e+04 1.862969e-04 6.616401e-16 1.591146e-02 2.826504e+07 8.247588e-14 3.350851e-02 1.073639e-02 2.866092e-15
1.200000e+01 3.856363e+09 1.820485e+07 1.661448e+05 3.155460e+04 5.410310e+07 5.917518e+04 1.789571e-06 5.060522e-16 8.851269e-03 2.463373e+06 1.257128e-15 4.765034e-03 1.245654e-03 2.865412e-15
1.300000e+01 3.856363e+09 2.910174e+07 1.892292e+05 6.128472e+04 5.852616e+07 5.923415e+04 2.769439e-05 4.153134e-16 1.326091e-06 6.813337e+06 4.672808e-16 1.539028e-03 1.228232e-02 2.864843e-15
1.400000e+01 3.856362e+09 2.769316e+07 1.727565e+05 6.927331e+04 1.181002e+07 6.103328e+04 2.740576e-07 3.595561e-16 1.088631e-05 7.455353e+05 3.802033e-16 6.784543e-04 1.876081e-03 2.864376e-15
1.500000e+01 3.856362e+09 1.680921e+07 1.389278e+05 9.412031e+04 2.535055e+07 5.922442e+04 4.368293e-08 3.243781e-16 8.049737e-10 3.481128e+06 4.374341e-16 8.919429e-02 4.248562e-06 2.864001e-15
1.600000e+01 3.856362e+09 2.525129e+07 1.836797e+05 1.442107e+05 1.297474e+07 5.929952e+04 1.411599e-09 2.869601e-16 2.713439e-13 5.769247e+05 3.406613e-16 3.765413e-03 9.429794e-06 2.863278e-15
1.700000e+01 3.856363e+09 2.272744e+07 1.131209e+05 1.698951e+05 3.950404e+07 5.928029e+04 3.265977e-13 2.796528e-16 1.689455e-13 2.448851e+06 4.292431e-16 4.539321e-01 2.379045e-05 2.863388e-15
1.800000e+01 3.856362e+09 1.668771e+07 8.327399e+04 1.561875e+05 1.746811e+07 5.919202e+04 3.935364e-10 2.644633e-16 3.182981e-14 6.526622e+05 3.531204e-16 1.436131e+00 9.107372e-06 2.863138e-15
1.900000e+01 3.856364e+09 2.047024e+07 6.839158e+04 2.238864e+05 3.681032e+07 6.103783e+04 1.246932e-11 2.541196e-16 5.892981e-14 1.889523e+06 3.429918e-16 5.248640e+00 7.820103e-06 2.862959e-15
2.000000e+01 3.856363e+09 2.076838e+07 4.173813e+04 2.340442e+05 5.112539e+07 5.925370e+04 1.726721e-12 2.471130e-16 1.187578e-12 2.598564e+06 3.431641e-16 1.927907e-01 1.498899e-05 2.862846e-15
2.100000e+01 3.856363e+09 2.062494e+07 2.394826e+04 2.354872e+05 6.395336e+07 5.921597e+04 7.921111e-13 2.425571e-16 1.031462e-09 7.731694e+06 3.540944e-16 4.625497e-01 2.156256e-07 2.862799e-15
2.200000e+01 3.856363e+09 1.947246e+07 1.307399e+04 1.986269e+05 3.146769e+07 5.912686e+04 1.126267e-12 2.399458e-16 1.288139e-15 3.424117e+06 4.350547e-16 1.367728e+00 2.312491e-07 2.862816e-15
2.300000e+01 3.856363e+09 4.014960e+07 1.302993e+04 3.242842e+05 5.079269e+07 5.931112e+04 5.633213e-13 2.358184e-16 4.748095e-10 8.856229e+06 3.474103e-16 4.766866e+01 4.119067e-06 2.862463e-15
2.400000e+01 3.856362e+09 1.811809e+07 3.775318e+03 1.615615e+05 3.180052e+07 5.908436e+04 2.079384e-11 2.377482e-16 1.421284e-09 2.405132e+06 4.903837e-16 1.382894e+01 4.596206e-05 2.862929e-15
2.500000e+01 3.856363e+09 2.587575e+07 2.205243e+03 1.670512e+05 2.020924e+08 5.914247e+04 4.590498e-10 2.380649e-16 1.010370e-09 5.388433e+06 6.773391e-16 2.510961e+01 6.684564e-05 2.863026e-15
2.600000e+01 3.856362e+09 2.897991e+07 1.675317e+03 1.915772e+05 7.225503e+07 5.931676e+04 5.407868e-10 2.360952e-16 4.773904e-11 3.673015e+06 5.372533e-16 3.587507e+02 8.111828e-06 2.862757e-15
2.700000e+01 3.856363e+09 2.262982e+07 7.753844e+02 1.487393e+05 2.408114e+08 5.931846e+04 2.026592e-08 2.373141e-16 1.110145e-09 2.854799e+07 6.397936e-16 3.948099e+02 2.134509e-05 2.862878e-15
2.800000e+01 3.856364e+09 1.868381e+07 3.588700e+02 1.204166e+05 8.025758e+08 5.932016e+04 7.594631e-07 2.385392e-16 2.581581e-08 2.551080e+08 5.410173e-16 4.344935e+02 5.616648e-05 2.862954e-15
2.900000e+01 3.856363e+09 8.533255e+06 7.400384e+01 6.140388e+04 3.728519e+08 5.894353e+04 4.035732e-09 2.444779e-16 2.875278e+00 8.491674e+07 7.126713e-16 6.798902e+00 4.406589e-06 2.863424e-15
3.000000e+01 3.856364e+09 5.143825e+06 1.669506e+03 3.159666e+04 1.157003e+09 5.897159e+04 3.537551e-09 2.479476e-16 3.056301e-07 3.677802e+08 6.143868e-16 4.011541e+00 4.906250e-06 2.863535e-15
3.100000e+01 3.856363e+09 6.344253e+06 4.500242e+01 4.415696e+04 1.072202e+09 5.932423e+04 9.771473e-07 2.472801e-16 8.298699e+00 6.809401e+07 4.412492e-16 5.063439e+01 8.965999e-05 2.863288e-15
3.200000e+01 3.856362e+09 3.624293e+06 2.972552e+01 2.651411e+04 5.358086e+08 5.932526e+04 2.859054e-08 2.520669e-16 5.611815e+02 1.405256e+07 4.356679e-16 1.097605e+01 4.624369e-05 2.863440e-15
3.300000e+01 3.856364e+09 1.947274e+06 8.090754e+00 9.821360e+03 2.689287e+09 5.919243e+04 6.435034e-08 2.655614e-16 1.025944e+04 1.946964e+08 5.366565e-16 1.563868e+01 6.921999e-04 2.863994e-15
3.400000e+01 3.856362e+09 3.356984e+05 3.145131e+00 2.900201e+03 5.620064e+08 5.897398e+04 6.178273e-09 2.754024e-16 1.670995e+05 4.954378e+07 3.748452e-16 1.609544e+00 7.606951e-04 2.864198e-15
3.500000e+01 3.856364e+09 1.058182e+05 1.383299e+00 4.405800e+05 1.095480e+09 5.895528e+04 7.952518e-09 2.915449e-16 8.039565e+05 4.633758e+08 3.830458e-16 2.687310e-04 1.722829e-06 2.864492e-15
3.600000e+01 3.856363e+09 1.080431e+04 4.366353e+01 2.152363e+03 8.736374e+08 5.894698e+04 1.494447e-07 3.173411e-16 9.848043e+05 2.395629e+08 6.346047e-16 1.566116e-05 2.786455e-03 2.864881e-15
3.700000e+01 3.856363e+09 6.061094e+03 1.283982e+00 8.773947e+03 1.211852e+09 5.932784e+04 7.482477e-08 3.247109e-16 2.097559e+06 2.349346e+08 5.281744e-16 2.228399e-05 1.862351e-04 2.864936e-15
3.800000e+01 3.856363e+09 4.891739e+02 7.757603e-01 1.243977e+04 6.855661e+08 5.932771e+04 3.932624e-06 3.553745e-16 6.550085e+05 7.736263e+07 6.281191e-16 7.050237e-07 4.565332e-04 2.865420e-15
3.900000e+01 3.856363e+09 3.940448e+01 4.687014e-01 1.788645e+04 3.878370e+08 5.932759e+04 2.066900e-04 3.889338e-16 2.045406e+05 3.348033e+07 5.297430e-16 2.230563e-08 1.119137e-03 2.865907e-15
4.000000e+01 3.856363e+09 1.336063e-01 5.949905e+00 1.944757e+04 1.358135e+08 5.917061e+04 2.172279e-05 4.990064e-16 6.517156e+03 1.201515e+07 6.474283e-16 2.820727e-11 1.389120e-04 2.866841e-15
4.100000e+01 3.856363e+09 2.608076e+02 5.581459e+00 2.685646e+04 8.518304e+07 5.917890e+04 2.919907e-04 5.936925e-16 2.459359e+02 4.243834e+06 4.096129e-16 6.054597e-10 2.002492e-04 2.867476e-15
4.200000e+01 3.856363e+09 8.233511e-04 1.031507e-01 2.862733e+04 7.352580e+07 5.923667e+04 9.724424e-05 7.822616e-16 1.557168e-01 4.089216e+06 5.671551e-16 6.618871e-11 1.634881e-04 2.868259e-15
4.300000e+01 3.856363e+09 6.106392e-03 4.153961e-01 5.145146e+04 2.464136e+07 5.932627e+04 9.432341e-04 8.211955e-16 7.251105e-03 1.107843e+06 4.556631e-16 6.830366e-13 8.816314e-04 2.868770e-15
4.400000e+01 3.856363e+09 7.443479e-04 4.861820e-01 6.005240e+04 1.827481e+07 5.932578e+04 4.668484e-05 1.106999e-15 1.507621e-06 9.685501e+05 4.758012e-16 1.382519e-13 3.340599e-04 2.869779e-15
4.500000e+01 3.856363e+09 3.379572e-01 1.156610e-01 3.852455e+04 7.950898e+07 5.923192e+04 1.607396e-02 2.616451e-15 8.931702e-05 6.936908e+06 1.385053e-15 2.420233e-12 3.588814e-06 2.863126e-15
4.600000e+01 3.856363e+09 1.501788e-04 5.510712e-01 7.498997e+04 2.568966e+07 5.932470e+04 2.238841e-06 2.364581e-15 2.430039e-11 2.592078e+06 4.876270e-16 1.588836e-14 2.431175e-05 2.869977e-15
4.700000e+01 3.856363e+09 2.464450e-04 5.336790e-01 8.043132e+04 4.869405e+07 5.932411e+04 2.169274e-06 3.746798e-15 1.883850e-12 9.054838e+06 4.794067e-16 9.021105e-15 4.669506e-06 2.869169e-15
