long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
0.000000e+00 6.874466e+01 9.240667e-11 7.973280e-16 3.388585e+01 7.820901e+00 8.040000e+05 1.822039e-15 2.924852e-11 3.266868e+01 3.237079e-14 2.572572e-16
1.000000e+00 2.895928e-05 3.954635e-08 7.390779e-16 8.976119e-06 4.584452e-05 1.339882e-05 4.871260e-16 2.637303e-12 7.409258e-06 3.237079e-14 2.493325e-16
2.000000e+00 2.258876e-05 1.171367e-10 7.881761e-16 8.494882e-06 1.403286e-08 2.692938e-05 1.253482e-15 2.292047e-16 1.191659e-05 3.237079e-14 2.569480e-16
3.000000e+00 4.691744e+06 3.225544e-08 7.343718e-16 5.106680e+05 3.619166e-04 1.624431e+06 4.871260e-16 1.810670e-12 5.800605e+05 3.237079e-14 2.504510e-16
4.000000e+00 2.469718e+01 1.065044e-10 7.835868e-16 1.025145e+01 1.003160e-08 6.717746e+02 1.821971e-15 7.345894e-12 9.216113e+00 3.237079e-14 2.586110e-16
5.000000e+00 1.019138e+04 2.301912e-08 7.332800e-16 2.377886e+03 7.144112e-05 4.642067e+04 1.002091e-15 7.047975e-13 4.565573e+03 3.237079e-14 2.527170e-16
6.000000e+00 2.274966e+01 1.881384e-08 7.336046e-16 9.708188e+00 1.238138e-05 6.598092e+02 1.821611e-15 4.759391e-13 1.872536e+01 3.237079e-14 2.541533e-16
7.000000e+00 1.051902e-01 1.537680e-08 7.338764e-16 6.516192e-02 2.145804e-06 9.378328e+00 2.308214e-15 3.213947e-13 1.233490e-01 3.237079e-14 2.555978e-16
8.000000e+00 8.828633e-04 1.256767e-08 7.340952e-16 6.674412e-04 3.718870e-07 1.333007e-01 2.533516e-15 2.170334e-13 1.216871e-03 3.237079e-14 2.570504e-16
9.000000e+00 1.196047e-05 1.027172e-08 7.342611e-16 9.745020e-06 6.445134e-08 1.894697e-03 2.623709e-15 1.465597e-13 1.685901e-05 3.237079e-14 2.585112e-16
