long.t Lactobacillus_crispatus Gardnerella_vaginalis g_Gemella
0.000000e+00 3.416605e+09 1.163703e-15 3.437044e-16
1.000000e+00 3.562458e+09 1.163573e-15 3.437649e-16
2.000000e+00 3.867680e+09 1.163545e-15 3.446810e-16
3.000000e+00 4.180036e+09 1.163615e-15 3.464478e-16
4.000000e+00 5.067907e+09 1.163794e-15 3.490755e-16
5.000000e+00 5.359914e+09 1.164109e-15 3.525893e-16
6.000000e+00 3.845360e+09 1.164607e-15 3.570290e-16
7.000000e+00 4.780932e+09 1.165364e-15 3.624509e-16
8.000000e+00 3.955929e+09 1.166188e-15 3.572659e-16
9.000000e+00 3.708401e+09 1.167925e-15 3.754754e-16
1.000000e+01 5.542580e+09 1.169810e-15 3.703688e-16
1.100000e+01 3.875485e+09 1.163669e-15 3.910795e-16
1.200000e+01 4.445723e+09 1.169932e-15 3.859065e-16
1.300000e+01 3.831031e+09 1.168186e-15 4.097256e-16
1.400000e+01 3.688021e+09 1.166626e-15 4.043076e-16
1.500000e+01 3.598955e+09 1.165741e-15 4.144249e-16
1.600000e+01 3.264640e+09 1.165089e-15 4.247954e-16
1.700000e+01 3.677831e+09 1.164878e-15 4.552502e-16
1.800000e+01 3.226199e+09 1.164355e-15 4.478152e-16
1.900000e+01 3.391028e+09 1.164163e-15 4.605575e-16
2.000000e+01 2.767500e+09 1.163967e-15 4.736625e-16
2.100000e+01 3.789385e+09 1.164042e-15 5.127642e-16
2.200000e+01 3.209679e+09 1.163681e-15 5.029585e-16
2.300000e+01 3.576705e+09 1.163853e-15 5.486992e-16
2.400000e+01 4.788149e+09 1.163561e-15 5.384172e-16
2.500000e+01 3.865151e+09 1.163783e-15 5.926641e-16
2.600000e+01 4.578451e+09 1.163530e-15 5.814643e-16
2.700000e+01 3.756653e+09 1.163788e-15 6.467217e-16
2.800000e+01 3.851514e+09 1.163571e-15 6.339805e-16
2.900000e+01 3.757989e+09 1.163871e-15 7.136746e-16
3.000000e+01 3.529508e+09 1.163709e-15 6.984739e-16
3.100000e+01 3.677384e+09 1.163779e-15 7.351347e-16
3.200000e+01 3.801491e+09 1.163788e-15 7.737197e-16
3.300000e+01 3.685435e+09 1.164041e-15 8.901882e-16
3.400000e+01 3.808442e+09 1.163858e-15 8.626156e-16
3.500000e+01 3.711289e+09 1.163930e-15 9.137643e-16
3.600000e+01 3.689319e+09 1.163963e-15 9.679460e-16
3.700000e+01 3.674626e+09 1.163962e-15 1.025340e-15
3.800000e+01 3.623136e+09 1.163927e-15 1.086138e-15
3.900000e+01 3.388651e+09 1.163853e-15 1.150540e-15
4.000000e+01 2.455638e+09 1.163729e-15 1.218761e-15
4.100000e+01 3.668233e+09 1.163840e-15 1.455971e-15
4.200000e+01 2.461413e+09 1.163789e-15 1.562119e-15
4.300000e+01 3.709493e+09 1.163569e-15 1.487619e-15
4.400000e+01 3.895999e+09 1.163560e-15 1.604124e-15
4.500000e+01 3.796423e+09 1.163761e-15 1.989118e-15
4.600000e+01 4.458775e+09 1.163483e-15 1.884316e-15
4.700000e+01 3.654774e+09 1.163710e-15 2.390070e-15
4.800000e+01 3.843777e+09 1.163449e-15 2.260921e-15
4.900000e+01 3.956428e+09 1.163688e-15 2.944886e-15
5.000000e+01 4.057317e+09 1.163436e-15 2.775993e-15
5.100000e+01 3.628301e+09 1.163681e-15 3.730318e-15
5.200000e+01 4.550831e+09 1.163435e-15 3.494916e-15
5.300000e+01 3.564975e+09 1.163685e-15 4.872563e-15
5.400000e+01 2.662527e+09 1.163445e-15 4.522030e-15
5.500000e+01 3.737525e+09 1.163703e-15 6.586626e-15
5.600000e+01 2.722887e+09 1.163473e-15 6.028629e-15
5.700000e+01 3.380616e+09 1.163746e-15 9.253896e-15
5.800000e+01 3.640369e+09 1.163537e-15 8.304843e-15
5.900000e+01 3.719159e+09 1.163840e-15 1.358262e-14
6.000000e+01 3.470920e+09 1.163676e-15 1.185912e-14
6.100000e+01 3.596557e+09 1.163741e-15 1.430530e-14
6.200000e+01 3.457241e+09 1.163737e-15 1.725605e-14
6.300000e+01 3.682044e+09 1.163971e-15 2.220556e-16
6.400000e+01 3.452544e+09 1.163758e-15 1.993668e-14
6.500000e+01 3.572076e+09 1.163785e-15 1.909501e-14
6.600000e+01 3.358396e+09 1.163751e-15 1.828887e-14
6.700000e+01 3.636273e+09 1.163956e-15 2.868134e-14
6.800000e+01 3.178527e+09 1.163711e-15 1.714483e-14
6.900000e+01 3.618101e+09 1.164005e-15 2.852708e-14
