long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 1.398943e+07 6.616270e+08 3.889033e+07 7.740837e-16 8.517315e-16 1.120149e-13 8.060418e-16 9.339791e-16 4.374149e-12 1.462804e-14
1.000000e+00 1.184213e+07 6.616280e+08 1.130204e+09 2.552926e-16 2.652890e-16 3.513375e-06 2.577413e-16 9.339779e-16 4.425809e-12 1.498961e-14
2.000000e+00 2.080505e+07 6.616273e+08 4.590731e+07 3.625176e-16 3.909088e-16 1.902493e-07 3.735412e-16 9.339789e-16 4.438415e-12 1.502149e-14
3.000000e+00 1.317521e+07 6.616269e+08 4.186198e+07 2.552925e-16 2.634046e-16 5.819895e-16 2.577388e-16 9.339779e-16 4.425788e-12 1.498588e-14
4.000000e+00 1.128294e+07 6.616272e+08 7.027842e+05 3.625175e-16 3.885659e-16 5.096590e-15 3.735381e-16 9.339789e-16 4.438397e-12 1.501794e-14
5.000000e+00 1.512606e+07 6.616271e+08 2.316659e+05 2.552925e-16 2.633832e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425773e-12 1.498252e-14
6.000000e+00 1.648444e+07 6.616269e+08 1.218959e+03 3.625175e-16 3.885393e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.376285e-12 1.501476e-14
7.000000e+00 1.688257e+07 6.616273e+08 2.893398e+02 2.552925e-16 2.633830e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425749e-12 1.497955e-14
8.000000e+00 1.585542e+07 6.616269e+08 6.926795e-01 3.625175e-16 3.885390e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.438349e-12 1.501195e-14
9.000000e+00 1.856596e+07 6.616264e+08 1.368636e-01 2.552925e-16 2.633830e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425717e-12 1.497694e-14
1.000000e+01 2.117130e+07 6.616271e+08 3.453323e-04 3.625175e-16 3.885390e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.438319e-12 1.500953e-14
1.100000e+01 2.034406e+07 6.616263e+08 4.341842e-05 2.552925e-16 2.633830e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425690e-12 1.497472e-14
1.200000e+01 1.902710e+07 6.616269e+08 2.143536e-05 3.625175e-16 3.885390e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.438296e-12 1.500748e-14
1.300000e+01 2.217079e+07 6.616273e+08 1.632877e-08 2.552925e-16 2.633830e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425669e-12 1.497287e-14
1.400000e+01 2.253449e+07 6.616271e+08 1.319028e-08 3.625175e-16 3.885390e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.438278e-12 1.500581e-14
1.500000e+01 2.356916e+07 6.616276e+08 1.217615e-11 2.552925e-16 2.633830e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425654e-12 1.497139e-14
1.600000e+01 2.856947e+07 6.616273e+08 1.122457e-11 3.625175e-16 3.885390e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.438266e-12 1.500451e-14
1.700000e+01 2.576301e+07 6.616278e+08 2.722231e-14 2.552925e-16 2.633830e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425645e-12 1.497029e-14
1.800000e+01 2.209160e+07 6.616271e+08 1.756296e-14 3.625175e-16 3.885390e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.438259e-12 1.500359e-14
1.900000e+01 2.788345e+07 6.616277e+08 2.413568e-16 2.552925e-16 2.633830e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425642e-12 1.496956e-14
2.000000e+01 2.681237e+07 6.616272e+08 1.278720e-16 3.625175e-16 3.885390e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.438259e-12 1.500305e-14
2.100000e+01 2.865317e+07 6.616273e+08 9.651015e-18 2.552925e-16 2.633830e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425644e-12 1.496921e-14
2.200000e+01 2.507800e+07 6.616271e+08 7.134282e-18 3.625175e-16 3.885390e-16 5.096587e-15 3.735381e-16 9.339789e-16 4.438264e-12 1.500288e-14
2.300000e+01 2.833292e+07 6.616272e+08 1.701401e-18 2.552925e-16 2.633830e-16 5.819890e-16 2.577388e-16 9.339779e-16 4.425653e-12 1.496923e-14
2.400000e+01 2.528008e+07 6.616270e+08 2.014986e-18 3.625175e-16 3.885390e-16 8.300907e-08 3.735381e-16 9.339789e-16 4.438276e-12 1.500309e-14
2.500000e+01 2.676558e+07 6.616268e+08 1.128960e-18 2.552925e-16 2.633830e-16 1.203532e-06 2.577388e-16 9.339779e-16 4.425667e-12 1.496963e-14
2.600000e+01 2.372453e+07 6.616269e+08 1.703001e-18 3.625175e-16 3.885390e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.377465e-12 1.500367e-14
2.700000e+01 2.442489e+07 6.616261e+08 2.164835e-18 2.552925e-16 2.633830e-16 1.203532e-06 2.577388e-16 9.339779e-16 4.425673e-12 1.497040e-14
2.800000e+01 2.116847e+07 6.616270e+08 3.219492e-18 3.625175e-16 3.885390e-16 8.300907e-08 3.735381e-16 9.339789e-16 4.377727e-12 1.463398e-14
2.900000e+01 2.154817e+07 6.616266e+08 8.609729e-18 2.552925e-16 2.633830e-16 5.819890e-16 2.577388e-16 9.339779e-16 4.425657e-12 1.496946e-14
3.000000e+01 2.274978e+07 6.616268e+08 1.196857e-17 3.625175e-16 3.885389e-16 5.096654e-15 3.735381e-16 9.339789e-16 4.438260e-12 1.500180e-14
3.100000e+01 1.915345e+07 6.616273e+08 4.973517e-17 2.552925e-16 2.633829e-16 5.819891e-16 2.577388e-16 9.339779e-16 4.425632e-12 1.496683e-14
3.200000e+01 1.796678e+07 6.616271e+08 7.615626e-17 3.625175e-16 3.885321e-16 9.970928e-08 3.735381e-16 9.339789e-16 4.438238e-12 1.499934e-14
3.300000e+01 1.739516e+07 6.616270e+08 2.973501e-16 2.552925e-16 2.633774e-16 1.525070e-06 2.577388e-16 9.339779e-16 4.425613e-12 1.496456e-14
3.400000e+01 1.731838e+07 6.616272e+08 5.514672e-16 3.625175e-16 3.879246e-16 5.096516e-15 3.735373e-16 9.339788e-16 4.438222e-12 1.499726e-14
3.500000e+01 1.589245e+07 6.616272e+08 1.382786e-15 2.552925e-16 2.628964e-16 1.525069e-06 2.577382e-16 9.339777e-16 4.425600e-12 1.496268e-14
3.600000e+01 1.305500e+07 6.616275e+08 2.440976e-15 2.892706e-16 3.024291e-16 3.216097e-10 2.943034e-16 9.339783e-16 4.438212e-12 1.499556e-14
