long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Prevotella_bivia g_Dialister
0.000000e+00 1.454775e-09 6.809916e+08 2.299031e-16 4.405386e-13 2.391959e-15
1.000000e+00 3.387163e-06 3.116392e+09 2.018103e-07 3.839899e-13 2.391909e-15
2.000000e+00 4.780766e-10 1.219592e+09 6.619321e-07 4.405397e-13 2.391938e-15
3.000000e+00 7.683552e-08 2.905189e+09 1.840671e-12 3.839945e-13 2.391896e-15
4.000000e+00 2.702459e-07 7.490382e+08 2.107709e-12 4.405445e-13 2.391930e-15
5.000000e+00 1.006662e-09 7.950031e+08 1.208662e-14 3.840023e-13 2.391892e-15
6.000000e+00 2.636683e-09 9.833274e+08 1.341772e-14 4.405532e-13 2.391930e-15
7.000000e+00 5.825456e-11 6.520821e+08 1.463462e-15 3.840132e-13 2.391896e-15
8.000000e+00 1.583003e-10 4.020484e+08 1.825437e-15 4.405656e-13 2.391939e-15
9.000000e+00 1.129692e-11 1.097480e+09 7.008239e-16 3.840273e-13 2.391910e-15
1.000000e+01 3.767156e-11 8.257113e+08 1.145864e-15 4.405818e-13 2.391960e-15
1.100000e+01 6.262289e-12 1.076305e+09 7.759205e-16 3.840444e-13 2.391942e-15
1.200000e+01 1.650399e-14 1.073605e+09 2.064253e-15 4.406017e-13 2.392007e-15
1.300000e+01 2.861274e-12 1.014719e+09 5.714121e-15 4.406136e-13 2.392055e-15
1.400000e+01 4.861653e-13 9.735717e+08 5.307915e-14 4.406274e-13 2.392139e-15
1.500000e+01 1.234693e-13 6.823298e+08 3.685379e-12 4.406430e-13 2.392269e-15
1.600000e+01 4.327511e-14 4.784661e+08 9.445223e-09 4.406606e-13 2.392463e-15
1.700000e+01 1.977767e-14 6.834488e+08 8.498770e-12 1.804401e-13 2.391849e-15
1.800000e+01 1.133208e-14 3.658390e+08 1.084966e-01 4.406895e-13 2.392490e-15
1.900000e+01 4.746545e-15 6.315104e+08 5.206724e-03 3.841426e-13 2.392280e-15
2.000000e+01 5.355253e-15 4.282787e-01 3.190607e-03 4.407122e-13 2.392200e-15
2.100000e+01 2.698410e-15 2.779705e-03 5.363184e+02 3.841644e-13 2.392083e-15
2.200000e+01 3.352200e-15 3.356847e+08 5.911609e+02 1.805088e-13 2.392069e-15
2.300000e+01 1.954164e-15 1.784950e-07 8.473070e+04 3.841792e-13 2.392000e-15
2.400000e+01 1.757475e-15 4.524086e-01 5.069351e+05 3.841823e-13 2.391977e-15
2.500000e+01 1.580582e-15 4.340267e+04 3.032941e+06 3.841854e-13 2.391952e-15
2.600000e+01 2.043276e-15 6.828432e+04 8.925414e+05 4.407519e-13 2.391965e-15
