long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Mobiluncus
0.000000e+00 2.052294e+05 2.951807e+05 2.449061e-16 4.098211e-06 8.986400e-06 2.884631e-15 3.076087e-12 3.206829e-06 3.014806e-14 1.945228e-08
1.000000e+00 8.843029e+04 3.257703e+05 2.336945e-16 4.093938e-06 8.986205e-06 2.884626e-15 3.423649e-13 3.193349e-06 3.014732e-14 1.601991e-12
2.000000e+00 1.109371e+05 3.222279e+05 2.357573e-16 4.094171e-06 8.986262e-06 2.884626e-15 1.069700e-12 3.194431e-06 3.014734e-14 1.114836e-08
3.000000e+00 6.241630e+04 3.187239e+05 2.378384e-16 4.094406e-06 8.986240e-06 2.884625e-15 3.773978e-13 3.195517e-06 3.014735e-14 1.618857e-04
4.000000e+00 3.291304e+05 6.043078e+05 2.514351e-16 4.091762e-06 8.986486e-06 2.884630e-15 2.456503e-11 3.186530e-06 3.014811e-14 5.116191e-05
5.000000e+00 2.444586e+05 3.458042e+05 2.460311e-16 4.094762e-06 8.986412e-06 2.884626e-15 6.587425e-10 3.196954e-06 3.014739e-14 1.136331e+02
6.000000e+00 8.514537e+04 2.717442e+05 2.686857e-16 4.090818e-06 8.986393e-06 2.884632e-15 1.009567e-11 3.183710e-06 3.014148e-14 2.060643e-01
7.000000e+00 1.748975e+05 3.908779e+05 2.657210e-16 4.094843e-06 8.986662e-06 2.884628e-15 1.817181e-06 3.196655e-06 3.014733e-14 1.799415e+02
8.000000e+00 3.604765e+05 7.022156e+05 3.128329e-16 4.091787e-06 8.986530e-06 2.884636e-15 1.402540e-11 3.186025e-06 3.014800e-14 2.532236e-07
9.000000e+00 6.501047e+04 4.646919e+05 3.094889e-16 4.094644e-06 8.986679e-06 2.884634e-15 2.095056e-10 3.194625e-06 3.014718e-14 5.240030e-08
1.000000e+01 1.108596e+05 3.008535e+05 4.314174e-16 4.090650e-06 8.986464e-06 2.884643e-15 1.772612e-11 3.207803e-06 3.014786e-14 1.863841e-06
1.100000e+01 1.879579e+05 5.489889e+05 4.144625e-16 4.094174e-06 8.986545e-06 2.884643e-15 3.706941e-13 3.192947e-06 3.014706e-14 6.423858e-16
1.200000e+01 8.091316e+04 5.621921e+05 5.019384e-16 4.093864e-06 8.986419e-06 2.884649e-15 1.057545e-12 3.192649e-06 3.014700e-14 9.062251e-16
1.300000e+01 1.067671e+04 5.757129e+05 6.078768e-16 4.093554e-06 8.986294e-06 2.884655e-15 3.330128e-13 3.192352e-06 3.014695e-14 6.423848e-16
1.400000e+01 7.617436e+04 1.040145e+06 1.392689e-15 4.097749e-06 8.986465e-06 2.884668e-15 1.737680e-12 3.183391e-06 3.014764e-14 2.555786e-15
1.500000e+01 1.005160e+03 6.828287e+05 1.146986e-15 4.093120e-06 8.986304e-06 2.884671e-15 5.902111e-14 3.191113e-06 3.014685e-14 3.274598e-16
1.600000e+01 1.258697e+05 1.409315e+06 4.761710e-15 4.090358e-06 8.986257e-06 2.884687e-15 1.032301e-12 3.181145e-06 3.014756e-14 9.062239e-16
1.700000e+01 5.538205e+04 1.044754e+06 4.315990e-15 4.092763e-06 8.986316e-06 2.884695e-15 5.767939e-14 3.188553e-06 3.014678e-14 3.274598e-16
1.800000e+01 1.769117e+05 7.125153e+05 6.028131e-14 4.097036e-06 8.986495e-06 2.884613e-15 1.025596e-12 3.201457e-06 3.014750e-14 9.062239e-16
1.900000e+01 6.904123e+06 1.565198e+06 5.653533e-14 4.092485e-06 8.986357e-06 2.884695e-15 5.766201e-14 3.186380e-06 3.014674e-14 3.274598e-16
2.000000e+01 2.911327e+05 1.085806e+06 8.582043e-12 4.088095e-06 8.986224e-06 2.884688e-15 1.025604e-12 3.200342e-06 3.014747e-14 9.062239e-16
2.100000e+01 1.092211e+06 1.800701e+06 7.602222e-12 4.092215e-06 8.986314e-06 2.884672e-15 5.768080e-14 3.186330e-06 3.014672e-14 3.274598e-16
2.200000e+01 8.589230e+05 5.650409e+06 1.605634e-07 4.089210e-06 8.986387e-06 2.884669e-15 1.032840e-12 3.177489e-06 3.014747e-14 9.062241e-16
2.300000e+01 5.180904e+05 2.361810e+06 8.237012e-08 4.091658e-06 8.986090e-06 2.884656e-15 5.913007e-14 3.186629e-06 3.014674e-14 3.274599e-16
2.400000e+01 1.748727e+05 2.240317e+06 1.042100e-10 4.095826e-06 8.986344e-06 2.884656e-15 1.807871e-12 3.200945e-06 3.014750e-14 1.740910e-13
2.500000e+01 1.052525e+06 3.718442e+06 2.279601e-04 4.091172e-06 8.986204e-06 2.884647e-15 3.825916e-13 3.187280e-06 3.014678e-14 2.183552e-14
2.600000e+01 3.768078e+05 4.528023e+06 1.443593e-03 4.091020e-06 8.986315e-06 2.884644e-15 1.827087e-12 3.188133e-06 3.014680e-14 1.424051e-12
2.700000e+01 2.643415e+05 5.513866e+06 9.141782e-03 4.090867e-06 8.986375e-06 2.884640e-15 2.862087e-12 3.188981e-06 3.014683e-14 8.866654e-11
2.800000e+01 2.369773e+05 6.714348e+06 5.789179e-02 4.090715e-06 8.986414e-06 2.884637e-15 3.595790e-12 3.189824e-06 3.014685e-14 7.556915e-09
2.900000e+01 2.379641e+05 8.176199e+06 3.666089e-01 4.090562e-06 8.986452e-06 2.884634e-15 5.708528e-12 3.190665e-06 3.014688e-14 1.299119e-06
3.000000e+01 2.690020e+05 9.956326e+06 2.321609e+00 4.090409e-06 8.986509e-06 2.884631e-15 2.875587e-11 3.191503e-06 3.014691e-14 7.056960e-04
3.100000e+01 3.968707e+05 1.212402e+07 1.470196e+01 4.090255e-06 8.986613e-06 2.884628e-15 1.151305e-08 3.192341e-06 3.014693e-14 2.097836e+00
3.200000e+01 2.167701e+05 7.922012e+06 8.866526e-02 4.085685e-06 8.986485e-06 2.884631e-15 1.817967e-12 3.178170e-06 3.014771e-14 7.773604e-15
3.300000e+01 3.741748e+05 1.607798e+07 6.808848e+01 4.089769e-06 8.986722e-06 2.884623e-15 1.037389e-09 3.192900e-06 3.014700e-14 2.147226e-06
