long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 2.144102e+04 4.618993e+08 5.551123e+07 2.843336e-12 2.208764e-13 8.234754e-16 4.413542e-13 1.684161e+06 2.316574e-04 2.327379e+05 4.468695e+00 1.371941e-04
1.000000e+00 2.144030e+04 3.348923e+08 2.944797e+07 2.102996e-14 4.199596e-15 8.231009e-16 4.562960e-13 1.192859e+03 2.551967e-04 2.327318e+05 5.359914e+00 1.371942e-04
2.000000e+00 2.144082e+04 4.897058e+08 5.577962e+07 4.602059e-10 1.855719e-13 8.230521e-16 6.003133e-13 2.350554e+03 5.884813e-04 2.327379e+05 4.490827e-03 1.371968e-04
3.000000e+00 2.144103e+04 4.990106e+08 4.548847e+07 1.037874e-06 1.007598e-13 8.223982e-16 3.119700e-13 8.320149e+03 5.417593e-05 2.327384e+05 2.483765e-01 6.710659e-05
4.000000e+00 2.144095e+04 4.294470e+08 5.740301e+07 5.027228e-08 1.389191e-13 8.231864e-16 1.624370e-12 7.539069e+03 8.685611e-06 2.327377e+05 7.290626e-02 3.579240e-05
5.000000e+00 2.144106e+04 5.821418e+08 7.976912e+07 3.800642e+01 8.138194e-14 8.224691e-16 9.899895e-13 2.162443e+04 6.704840e-04 2.327385e+05 1.925528e+00 6.711221e-05
6.000000e+00 2.144092e+04 8.898943e+08 1.463985e+08 6.581050e-04 1.104497e-13 8.232059e-16 6.925667e-12 2.369531e+04 1.535907e-04 2.327377e+05 8.560825e-01 3.744978e-05
7.000000e+00 2.144089e+04 7.794140e+08 1.616956e+08 1.305932e+02 6.897134e-14 8.224402e-16 4.758245e-12 4.951039e+04 3.398495e-03 2.327387e+05 7.287477e+00 6.711598e-05
8.000000e+00 2.144025e+04 5.199403e+08 1.107834e+08 2.136008e-01 9.291227e-14 8.231238e-16 5.021966e-14 4.108450e+04 4.184135e-04 2.327377e+05 1.598689e+00 3.398321e-05
9.000000e+00 2.144103e+04 1.241574e+09 2.998441e+08 5.042335e-03 8.755716e-14 8.232142e-16 4.279286e-11 7.998739e+04 3.304639e-01 2.327384e+05 2.647669e+03 1.372148e-04
1.000000e+01 2.144028e+04 9.620182e+08 2.120430e+08 1.476099e-04 5.974664e-14 8.227254e-16 1.205525e-11 1.305503e+05 1.638956e-02 2.327377e+05 4.348960e+01 6.711928e-05
1.100000e+01 2.144082e+04 1.079787e+09 2.505887e+08 4.097842e-10 5.827787e-14 8.228108e-16 1.399355e-11 1.716339e+05 3.674131e-02 2.327381e+05 1.369068e+02 6.712077e-05
1.200000e+01 2.144090e+04 8.316507e+08 2.392102e+08 1.890522e-09 7.921971e-14 8.234849e-16 7.018641e-11 1.483905e+05 1.127016e-02 2.327377e+05 1.383015e+02 1.372199e-04
1.300000e+01 2.144108e+04 1.186475e+09 3.502281e+08 2.102986e-14 5.671512e-14 8.227011e-16 2.486551e-11 2.782551e+05 1.305170e-01 2.327388e+05 1.086397e+03 6.712484e-05
1.400000e+01 2.144096e+04 6.927031e+08 1.703673e+08 9.463264e-12 7.788229e-14 8.234107e-16 1.780662e-10 2.282840e+05 1.198393e+01 2.327377e+05 8.356519e+02 1.372281e-04
1.500000e+01 2.144108e+04 8.386295e+08 2.496253e+08 2.102978e-14 5.774516e-14 8.226506e-16 7.847558e-11 3.969640e+05 6.759843e-01 2.327389e+05 5.447992e+03 6.713111e-05
1.600000e+01 2.144097e+04 6.259410e+08 1.717469e+08 9.463277e-12 8.046655e-14 8.233754e-16 8.883806e-10 3.834217e+05 4.940236e-01 2.327377e+05 4.695526e+03 3.639430e-05
1.700000e+01 2.144105e+04 4.727022e+08 1.106985e+08 2.102992e-14 6.152018e-14 8.226248e-16 4.655868e-10 5.162198e+05 5.504214e+00 2.327386e+05 1.820642e+04 6.713753e-05
1.800000e+01 2.144096e+04 4.770538e+08 9.131965e+07 4.717421e-08 8.735120e-14 8.233548e-16 2.237300e-11 5.718159e+05 3.895508e+00 2.327377e+05 1.687894e+04 3.626527e-05
1.900000e+01 2.144104e+04 3.339411e+08 6.094346e+07 6.768020e-07 6.861658e-14 8.226061e-16 1.714160e-09 6.507129e+05 2.711115e+01 2.327381e+05 4.549626e+04 6.714207e-05
2.000000e+01 2.144096e+04 4.692474e+08 9.237340e+07 9.463247e-12 9.966150e-14 8.233347e-16 1.600107e-08 6.357743e+05 2.231862e+01 2.327377e+05 5.941347e+04 1.372563e-04
2.100000e+01 2.144105e+04 3.733543e+08 5.942181e+07 6.768020e-07 8.019300e-14 8.225815e-16 4.176898e-09 8.000062e+05 9.005534e+01 2.327381e+05 9.800876e+04 6.714676e-05
2.200000e+01 2.144096e+04 3.966160e+08 6.897912e+07 4.717421e-08 9.901241e-15 8.233015e-16 6.632420e-08 7.645685e+05 6.327556e+01 2.327377e+05 1.013128e+05 3.616409e-05
2.300000e+01 2.144107e+04 5.055907e+08 8.183784e+07 2.102992e-14 8.083930e-14 8.225343e-16 2.328461e-08 9.398299e+05 2.157278e+02 2.327386e+05 1.915447e+05 6.715160e-05
2.400000e+01 2.144096e+04 3.753372e+08 1.039182e+08 9.463277e-12 8.348109e-15 8.232323e-16 1.983120e-09 8.920197e+05 1.203193e+02 2.327377e+05 1.633927e+05 1.372736e-04
2.500000e+01 2.144105e+04 4.859889e+08 1.073302e+08 2.102978e-14 5.760804e-14 8.224320e-16 9.631440e-08 1.057257e+06 3.665466e+02 2.327386e+05 3.164964e+05 6.715659e-05
2.600000e+01 2.144091e+04 4.273722e+08 1.185884e+08 9.463239e-12 5.808527e-14 8.230798e-16 5.635756e-09 8.966803e+05 2.001979e+02 2.327377e+05 2.972131e+05 1.372853e-04
2.700000e+01 2.144086e+04 3.670618e+08 1.458611e+08 2.102974e-14 3.520366e-14 8.222049e-16 9.835798e-08 1.123156e+06 4.469503e+02 2.327386e+05 4.478275e+05 6.716378e-05
2.800000e+01 2.144026e+04 2.583316e+08 9.824939e+07 2.807483e-13 3.529976e-14 8.227395e-16 6.526229e-07 1.135397e+06 2.039097e+02 2.327381e+05 3.734025e+05 3.720175e-05
2.900000e+01 2.144105e+04 2.545744e+08 1.552764e+08 3.612334e-07 2.811728e-14 8.226179e-16 7.599618e-07 1.230173e+06 1.823382e+02 2.327385e+05 4.638188e+05 1.373083e-04
3.000000e+01 2.144027e+04 2.582259e+08 1.189255e+08 2.807426e-13 2.286742e-14 8.227421e-16 8.458289e-09 1.178241e+06 2.279384e+04 2.327381e+05 5.526144e+05 1.373172e-04
3.100000e+01 2.144084e+04 1.814589e+08 1.270630e+08 3.612304e-07 1.539464e-14 8.222104e-16 1.600492e-07 1.205959e+06 5.259904e+02 2.327385e+05 5.850836e+05 6.718092e-05
3.200000e+01 2.144090e+04 1.426843e+08 6.699313e+07 3.462624e-08 1.572410e-14 8.230893e-16 6.184382e-09 1.291738e+06 4.493715e+02 2.327377e+05 4.483734e+05 3.754843e-05
3.300000e+01 2.144102e+04 1.449475e+08 8.076891e+07 2.102991e-14 1.094255e-14 8.224469e-16 8.146061e-08 1.274793e+06 1.447388e+03 2.327385e+05 5.740394e+05 6.719089e-05
3.400000e+01 2.144096e+04 2.604656e+08 1.259814e+08 9.463308e-12 1.119526e-14 8.232552e-16 1.503912e-09 1.576757e+06 1.451341e+03 2.327377e+05 5.017055e+05 3.834883e-05
3.500000e+01 2.144103e+04 1.487477e+08 5.788127e+07 2.102992e-14 8.029057e-15 8.225687e-16 1.052479e-08 1.400587e+06 3.174864e+03 2.327383e+05 5.185198e+05 6.719911e-05
3.600000e+01 2.144096e+04 1.522199e+08 7.545584e+07 6.278118e-08 8.230289e-15 8.233533e-16 1.944905e-08 1.449385e+06 2.692848e+03 2.327377e+05 4.461407e+05 3.804820e-05
3.700000e+01 2.144105e+04 1.994427e+08 8.930740e+07 1.209152e-06 6.066127e-15 8.226591e-16 1.027192e-09 1.579478e+06 5.813915e+03 2.327384e+05 4.505656e+05 6.720559e-05
3.800000e+01 2.144096e+04 2.122696e+08 9.613252e+07 5.668594e-08 6.231839e-15 8.234511e-16 2.284872e-09 1.649207e+06 4.404035e+03 2.327377e+05 3.333219e+05 3.753864e-05
3.900000e+01 2.144106e+04 2.097836e+08 1.155795e+08 5.650268e+01 4.708332e-15 8.227799e-16 2.139947e-10 1.768593e+06 8.738968e+03 2.327383e+05 3.669118e+05 6.721030e-05
4.000000e+01 2.144096e+04 2.108892e+08 1.217012e+08 6.278097e-08 4.849004e-15 8.236154e-16 5.913222e-10 1.808749e+06 6.491770e+03 2.327377e+05 2.967713e+05 1.373961e-04
4.100000e+01 2.144104e+04 2.038534e+08 1.313456e+08 9.827175e-07 3.746574e-15 8.230141e-16 8.806617e-11 1.964944e+06 1.092979e+04 2.327381e+05 2.802704e+05 6.721522e-05
4.200000e+01 2.144097e+04 3.830219e+08 2.473099e+08 5.668633e-08 3.869348e-15 8.239589e-16 3.166800e-10 2.091168e+06 7.263224e+03 2.327377e+05 2.026532e+05 3.719999e-05
4.300000e+01 2.144105e+04 2.857961e+08 2.624460e+08 2.103007e-14 3.050734e-15 8.235223e-16 6.852012e-11 2.175771e+06 1.150000e+04 2.327384e+05 2.026236e+05 6.722032e-05
4.400000e+01 2.144096e+04 2.410960e+08 1.592177e+08 7.291007e-08 3.160656e-15 8.247173e-16 3.411523e-10 1.716612e+06 5.797154e+03 2.327377e+05 1.016696e+05 3.557571e-05
4.500000e+01 2.144108e+04 4.162584e+08 3.982525e+08 1.638200e-06 2.537756e-15 8.246536e-16 9.955091e-11 2.302914e+06 9.791906e+03 2.327387e+05 1.271599e+05 6.722354e-05
4.600000e+01 2.144096e+04 2.693013e+08 1.751599e+08 3.672821e-08 2.638530e-15 8.264124e-16 7.434610e-10 2.000319e+06 4.141725e+03 2.327377e+05 5.258467e+04 3.565709e-05
4.700000e+01 2.144105e+04 3.085270e+08 1.711084e+08 3.171611e+01 2.153372e-15 8.271879e-16 2.751095e-10 2.270927e+06 6.462050e+03 2.327382e+05 6.363107e+04 6.722480e-05
4.800000e+01 2.144097e+04 4.820241e+08 1.993058e+08 7.290959e-08 2.247829e-15 8.302168e-16 3.414039e-09 2.538206e+06 3.013758e+03 2.327377e+05 2.785640e+04 3.810763e-05
4.900000e+01 2.144103e+04 2.735741e+08 9.794792e+07 4.071492e-07 1.861361e-15 8.328870e-16 1.520586e-09 2.233433e+06 3.418726e+03 2.327382e+05 2.588124e+04 6.722422e-05
5.000000e+01 2.144097e+04 4.919748e+08 1.860676e+08 3.672834e-08 1.951770e-15 8.387945e-16 3.575221e-08 2.343215e+06 3.876413e+05 2.327377e+05 1.025450e+04 1.374279e-04
5.100000e+01 2.144108e+04 5.124205e+08 1.911102e+08 2.102991e-14 1.637076e-15 8.457847e-16 1.829139e-08 2.259489e+06 4.152844e+03 2.327319e+05 8.857817e+03 6.722386e-05
5.200000e+01 2.144097e+04 5.047608e+08 1.616510e+08 9.463277e-12 1.725352e-15 8.233665e-16 9.654658e-07 1.895576e+06 3.966758e+03 2.327377e+05 1.812674e+06 1.374319e-04
5.300000e+01 2.144110e+04 9.571176e+08 3.621444e+08 2.102978e-14 1.463453e-15 8.457955e-16 5.414833e-07 2.237027e+06 1.137127e+04 2.327322e+05 9.033704e+03 6.722570e-05
5.400000e+01 2.144098e+04 8.184415e+08 2.956158e+08 9.463247e-12 1.551320e-15 8.388178e-16 1.307969e-07 1.813216e+06 8.888246e+03 2.327377e+05 6.801428e+03 3.494792e-05
5.500000e+01 2.144110e+04 1.165196e+09 3.764093e+08 2.102978e-14 1.328507e-15 8.329264e-16 1.376694e-05 2.089960e+06 2.475317e+04 2.327388e+05 2.518345e+04 6.722764e-05
5.600000e+01 2.144097e+04 7.622259e+08 2.213236e+08 9.463265e-12 1.417617e-15 8.302788e-16 2.127383e-06 1.918203e+06 1.755582e+04 2.327377e+05 1.970771e+04 3.587159e-05
5.700000e+01 2.144109e+04 9.663891e+08 2.725407e+08 2.102986e-14 1.223718e-15 8.272823e-16 1.027975e-04 1.886166e+06 4.254983e+04 2.327385e+05 5.186802e+04 6.722760e-05
5.800000e+01 2.144096e+04 7.423046e+08 2.107257e+08 2.260891e-09 1.315768e-15 8.265552e-16 1.261660e-05 1.842500e+06 3.683537e+04 2.327377e+05 5.037040e+04 3.723783e-05
5.900000e+01 2.144103e+04 6.463073e+08 1.656785e+08 5.834945e-10 1.142986e-15 8.248674e-16 2.585104e-04 1.700358e+06 6.153436e+04 2.327380e+05 8.840785e+04 6.722569e-05
6.000000e+01 2.144104e+04 5.351691e+08 1.396014e+08 3.909467e-04 1.108403e-15 8.241121e-16 3.190457e-04 1.617982e+06 7.186628e+04 2.327381e+05 1.119892e+05 6.722428e-05
6.100000e+01 2.144098e+04 2.947169e+08 5.851147e+07 4.043717e-04 1.202976e-15 8.241607e-16 1.743991e-05 1.123524e+06 5.138186e+04 2.327378e+05 8.446424e+04 3.562952e-05
6.200000e+01 2.144102e+04 5.232790e+08 1.339171e+08 3.909447e-04 1.176108e-15 8.237845e-16 1.785984e-05 1.572440e+06 9.863069e+04 2.327381e+05 1.453962e+05 1.374395e-04
6.300000e+01 2.144105e+04 2.769372e+08 5.666704e+07 4.192811e-07 1.030385e-15 8.229233e-16 1.324273e-04 1.301025e+06 9.965500e+04 2.327379e+05 1.857384e+05 6.721920e-05
6.400000e+01 2.144096e+04 2.673268e+08 6.431125e+07 2.073701e-04 1.141028e-15 8.235925e-16 5.211731e-03 1.564774e+06 9.173636e+04 2.327377e+05 1.826439e+05 1.374380e-04
6.500000e+01 2.144103e+04 2.623206e+08 6.701113e+07 8.462887e-07 1.000178e-15 8.228215e-16 5.414164e-05 1.149673e+06 1.170160e+05 2.327379e+05 2.331521e+05 6.721773e-05
6.600000e+01 2.144098e+04 2.764591e+08 8.254100e+07 2.807445e-13 1.123417e-15 8.235638e-16 8.277680e-03 1.318467e+06 1.148268e+05 2.327380e+05 2.037550e+05 1.374413e-04
6.700000e+01 2.144097e+04 2.890456e+08 7.745274e+07 2.910230e-03 1.123178e-15 8.237848e-16 7.487219e-07 1.351483e+06 7.488750e+04 2.327378e+05 1.489327e+05 3.711288e-05
