long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 7.453708e-07 6.664071e+06 3.939224e-15 1.372796e+05 2.297734e+07 2.428056e-16 5.432014e+05 1.687357e-14 5.383696e-03 1.480918e-01
1.000000e+00 7.451728e-07 2.420445e+07 3.057215e-16 1.836526e+05 5.875173e+07 2.365176e-16 2.784037e+06 1.687305e-14 5.929657e-06 1.480906e-01
2.000000e+00 7.453756e-07 3.100974e+07 6.834533e-16 1.802985e+05 7.332072e+07 2.441454e-16 4.588342e+06 1.687373e-14 1.560292e-08 1.480915e-01
3.000000e+00 7.452010e-07 1.743358e+07 3.057073e-16 1.793621e+05 4.431489e+07 2.407414e-16 3.009266e+06 1.687328e-14 1.176695e-06 1.480906e-01
4.000000e+00 7.454273e-07 1.430778e+07 6.834263e-16 1.533705e+05 3.617904e+07 2.511724e-16 1.826857e+06 1.687403e-14 2.063753e-05 1.480917e-01
5.000000e+00 7.452763e-07 1.343258e+07 3.057073e-16 1.739771e+05 3.763389e+07 2.488854e-16 3.400263e+06 1.687365e-14 3.726704e-08 1.480882e-01
6.000000e+00 7.451034e-07 1.246931e+07 6.834368e-16 1.683452e+05 4.121989e+07 2.652253e-16 3.319052e+06 1.687447e-14 3.995024e-06 1.480917e-01
7.000000e+00 7.453449e-07 1.033334e+07 3.057129e-16 1.662167e+05 3.300659e+07 2.630217e-16 3.298212e+06 1.687416e-14 6.707498e-08 1.480906e-01
8.000000e+00 7.451415e-07 1.258787e+07 1.463867e-15 1.485470e+05 3.519302e+07 2.914131e-16 2.932165e+06 1.686882e-14 1.786181e-04 1.480917e-01
9.000000e+00 7.453527e-07 8.668403e+06 5.201512e-16 1.597046e+05 3.240297e+07 2.871755e-16 3.380954e+06 1.687414e-14 8.832056e-06 1.480924e-01
1.000000e+01 7.453411e-07 8.230226e+06 6.836138e-16 1.556877e+05 3.272454e+07 3.030260e-16 3.471524e+06 1.687382e-14 3.089360e-04 1.480919e-01
1.100000e+01 7.453287e-07 7.814199e+06 5.203183e-16 1.534680e+05 3.313611e+07 3.197513e-16 3.657778e+06 1.687351e-14 8.981180e-03 1.480924e-01
1.200000e+01 7.455168e-07 7.279047e+06 3.572465e-10 1.417121e+05 3.230242e+07 3.942828e-16 3.852070e+06 1.687380e-14 2.581431e-03 1.480918e-01
1.300000e+01 7.453279e-07 7.015472e+06 3.779872e-12 1.488218e+05 3.383210e+07 3.706573e-16 4.357390e+06 1.687296e-14 9.434958e-01 1.480924e-01
