long.t Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 5.135946e+08 1.977386e+06 2.256884e-16 1.223451e-15 1.185892e-15 1.361270e+04 1.490294e+04 3.763363e+02 8.971296e+04 7.387001e-04
1.000000e+00 4.560159e+08 1.590790e+06 2.252025e-16 1.223470e-15 1.185882e-15 4.608033e+03 1.412791e+04 3.603704e+02 8.947962e+04 7.386995e-04
2.000000e+00 4.682064e+08 1.870253e+06 2.248181e-16 1.223541e-15 1.185883e-15 2.393940e+02 1.491180e+04 3.777739e+02 9.461371e+04 7.387297e-04
3.000000e+00 4.653750e+08 2.100172e+06 2.245146e-16 1.223674e-15 1.185895e-15 3.025443e-01 1.441313e+04 3.590356e+02 8.967192e+04 7.387303e-04
4.000000e+00 4.955499e+08 2.178237e+06 2.242781e-16 1.223891e-15 1.185918e-15 4.869930e+04 1.407707e+04 3.630505e+02 8.965083e+04 7.387012e-04
5.000000e+00 5.220108e+08 2.655156e+06 2.240990e-16 1.224225e-15 1.185953e-15 2.869702e-03 1.382885e+04 3.582909e+02 8.976423e+04 7.387019e-04
6.000000e+00 5.079541e+08 2.480251e+06 2.237830e-16 1.224651e-15 1.185947e-15 6.715353e+00 1.578723e+04 4.067480e+02 9.013518e+04 7.387152e-04
7.000000e+00 5.378723e+08 3.202929e+06 2.238378e-16 1.223228e-15 1.186047e-15 3.264335e-02 1.348401e+04 3.328897e+02 8.989744e+04 7.387022e-04
8.000000e+00 4.915626e+08 3.090819e+06 2.237485e-16 1.224698e-15 1.186107e-15 6.551650e-05 1.321242e+04 3.434307e+02 9.012377e+04 7.387020e-04
9.000000e+00 5.413612e+08 4.196193e+06 2.236998e-16 1.224220e-15 1.186183e-15 1.687670e-01 1.285205e+04 3.280085e+02 9.012504e+04 7.387008e-04
1.000000e+01 5.351152e+08 6.416425e+06 2.236901e-16 1.223911e-15 1.186275e-15 1.826035e-01 1.238664e+04 8.301973e+02 9.014031e+04 7.386980e-04
1.100000e+01 5.313381e+08 5.697536e+06 2.237192e-16 1.223723e-15 1.186386e-15 4.521275e-07 1.203254e+04 3.174913e+02 9.017717e+04 7.386953e-04
