long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis g_Dialister g_Mobiluncus
0.000000e+00 2.489020e-16 1.128583e-15 2.765414e+07 7.664250e+05 8.343140e-16 9.271935e-14 2.012479e-15 8.685012e-15 4.283449e-15 9.918460e+05 5.704094e+01 1.401205e+01 2.852053e-12
1.000000e+00 2.485174e-16 1.148080e-15 2.836769e+07 5.829188e+05 3.665526e-16 1.689012e-13 2.014413e-15 8.660978e-15 4.283449e-15 2.263149e+05 2.083397e+00 7.132085e+02 3.412692e-12
2.000000e+00 2.484561e-16 1.172289e-15 2.788620e+07 5.195327e+05 3.111064e-16 3.001875e-12 2.055394e-15 8.833041e-15 4.283449e-15 1.183446e+05 1.983982e+00 1.352183e+01 1.083597e-11
3.000000e+00 2.487046e-16 3.787391e-16 5.445730e+07 6.689566e+05 2.972800e-16 8.533297e-10 2.136979e-15 4.625818e-16 4.283449e-15 7.150096e+05 2.950911e+00 2.463505e+01 1.569222e-14
4.000000e+00 2.492574e-16 1.130017e-15 1.961431e+07 5.076767e+05 2.936403e-16 4.772531e-13 2.263713e-15 7.570169e-15 4.283449e-15 9.936522e+03 5.045239e+01 7.060030e+02 3.001583e-11
5.000000e+00 2.501159e-16 1.066721e-15 3.403112e+07 5.506584e+05 2.934321e-16 2.912779e-06 2.443597e-15 6.359978e-15 4.283449e-15 1.785691e+03 3.633014e+00 3.929525e+01 2.823146e-11
6.000000e+00 2.512880e-16 1.010572e-15 2.344553e+07 4.548234e+05 2.963436e-16 3.950002e-04 2.689047e-15 5.453209e-15 4.283449e-15 5.304935e-06 4.082799e+00 5.425761e+01 7.226659e-11
7.000000e+00 2.527873e-16 9.606533e-16 1.734502e+07 3.945426e+05 3.085860e-16 4.698168e-06 3.018561e-15 4.766011e-15 4.283450e-15 7.571319e-06 5.257942e+00 8.335619e+01 5.523684e-10
8.000000e+00 2.546342e-16 9.161923e-16 1.808874e+07 3.616421e+05 3.797503e-16 1.300619e-03 3.459412e-15 4.241401e-15 4.283450e-15 4.170010e-13 5.264147e+00 9.939400e+01 1.991658e-12
9.000000e+00 2.544315e-16 8.479608e-16 1.458875e+07 3.314304e+05 3.345582e-16 9.819961e-01 3.410689e-15 3.308439e-15 4.283450e-15 9.701945e-16 9.157128e+00 1.964295e+02 9.967844e-10
1.000000e+01 2.565248e-16 8.124226e-16 1.315494e+07 2.787950e+05 3.345561e-16 3.248104e+00 3.965992e-15 3.018188e-15 4.283450e-15 5.083544e-16 9.424884e+00 2.432762e+02 1.251207e-09
1.100000e+01 2.612485e-16 8.026375e-16 1.138918e+07 1.871339e+05 3.797325e-16 2.769946e-01 5.527899e-15 3.141974e-15 4.283451e-15 4.239686e-16 5.874729e+00 2.031238e+02 3.525341e-08
1.200000e+01 2.638840e-16 7.702510e-16 1.429597e+07 1.640159e+05 3.085443e-16 1.852001e-01 6.613825e-15 2.885284e-15 4.283451e-15 2.484021e-16 6.180485e+00 2.637635e+02 1.665485e-07
1.300000e+01 2.670074e-16 7.411466e-16 1.606005e+07 1.164323e+05 2.962083e-16 1.423391e-03 6.369238e-16 2.688872e-15 4.283451e-15 2.275301e-16 5.812546e+00 2.882262e+02 1.448652e-09
1.400000e+01 2.706667e-16 7.149710e-16 1.273043e+07 7.394877e+04 2.929738e-16 1.763299e+00 7.182499e-15 2.541706e-15 4.283452e-15 2.232458e-16 4.892763e+01 4.495043e+03 1.063636e-05
