long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 2.371885e+08 8.460667e+05 9.268871e+05 1.481365e+05 6.173525e+08 8.906813e+07 3.044499e+04 6.178001e-16 1.046237e+07 2.142949e+08 1.086815e-09 1.717993e+05 1.148905e+05
1.000000e+00 9.935897e+08 3.574339e+06 2.928497e+06 2.569673e+05 1.812446e+09 3.048444e+08 3.836504e+07 6.177938e-16 1.403274e+08 7.002638e+08 1.291943e-07 3.040851e+07 1.285881e+06
2.000000e+00 4.333057e+08 1.706819e+06 1.887022e+06 2.056360e+05 1.031171e+09 1.602582e+08 3.116365e+05 6.177901e-16 4.578664e+07 3.636569e+08 1.504881e-09 2.444487e+06 5.151252e+05
3.000000e+00 5.988282e+08 1.791136e+06 1.612198e+06 2.182858e+05 1.149248e+09 1.782499e+08 8.045703e+06 6.177879e-16 6.889690e+07 4.020015e+08 5.858799e-08 1.173733e+07 6.461268e+05
4.000000e+00 5.023037e+08 1.875015e+06 1.491109e+06 1.771250e+05 1.080329e+09 1.472753e+08 9.766522e+06 6.177867e-16 7.794110e+07 3.563936e+08 4.185605e-08 1.119018e+07 4.647303e+05
5.000000e+00 4.436715e+08 1.347969e+06 8.732833e+05 1.358390e+05 8.551587e+08 1.124737e+08 5.703484e+06 6.177861e-16 5.808855e+07 2.730150e+08 9.344570e-10 1.005738e+07 2.287196e+05
6.000000e+00 4.794848e+08 2.350389e+06 1.147059e+06 1.409666e+05 1.043409e+09 1.598692e+08 3.646890e+06 6.177858e-16 1.046436e+08 3.625588e+08 2.292137e-08 3.218044e+07 1.223722e+05
7.000000e+00 4.238412e+08 2.375992e+06 8.977945e+05 1.215711e+05 9.005354e+08 1.095451e+08 9.367153e+06 6.177857e-16 8.057071e+07 3.176097e+08 1.740121e-08 3.731204e+07 7.058270e+04
8.000000e+00 2.800347e+08 1.112538e+06 5.245322e+05 8.005068e+04 6.299639e+08 9.056060e+07 5.442620e+06 6.177860e-16 4.052745e+07 2.268951e+08 1.559313e-08 1.977443e+07 6.648607e+03
9.000000e+00 1.883420e+08 7.032810e+05 2.548672e+05 6.274129e+04 4.834553e+08 6.700496e+07 2.338764e+05 6.177865e-16 2.285605e+07 1.758522e+08 6.176837e-10 2.591800e+06 5.507207e+02
