long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 5.634702e+06 1.056425e-05 3.388638e-15 5.843048e+03 1.204757e+05 1.262666e-04 8.095591e+00 4.038122e-09 4.667030e+00 3.930117e-09 1.231720e+02 5.326378e+00 3.911396e-12
1.000000e+00 2.730754e+06 1.910892e-09 3.134790e-15 5.526631e+03 1.227929e+05 1.261908e-04 3.090707e-05 4.038186e-09 1.482264e+00 3.920965e-09 1.231714e+02 1.823253e-02 9.147861e-13
2.000000e+00 2.458787e+06 3.404147e-04 3.388638e-15 1.153572e+04 8.423397e+04 1.261318e-04 7.059489e-08 4.038097e-09 1.000221e+00 3.904752e-09 1.231720e+02 2.821678e-03 4.104290e-12
3.000000e+00 3.114816e+06 9.617537e-06 3.134790e-15 3.020622e+04 1.752715e+05 1.261955e-04 1.034982e-03 4.038494e-09 1.494362e+00 3.919734e-09 1.231722e+02 4.890466e-02 1.348791e-12
4.000000e+00 4.614967e+06 8.988754e-06 3.388638e-15 4.646764e+04 1.620734e+05 1.261407e-04 3.735023e-06 4.038101e-09 1.170101e+00 3.927646e-09 1.231720e+02 1.338373e+01 6.252560e-12
5.000000e+00 3.641819e+06 1.197103e-01 3.134790e-15 1.082350e+05 2.042208e+05 1.261900e-04 1.952113e-04 4.038174e-09 1.502349e+00 3.917885e-09 1.231722e+02 2.429004e-01 2.611188e-12
6.000000e+00 3.263890e+06 1.142119e-01 3.388638e-15 2.144667e+04 1.228277e+05 1.262658e-04 1.107323e-08 4.038150e-09 4.640885e+00 3.926408e-09 1.231720e+02 2.045322e-01 1.360843e-11
7.000000e+00 4.318135e+06 2.439485e+01 3.134790e-15 3.700162e+04 2.041575e+05 1.261864e-04 1.765179e-07 4.038161e-09 1.516215e+00 3.917265e-09 1.231722e+02 2.682010e+00 6.775923e-12
8.000000e+00 6.552653e+06 3.010947e+01 3.388638e-15 5.231269e+04 2.082421e+05 1.261350e-04 2.634745e-07 4.038046e-09 1.161752e+00 3.926400e-09 1.231720e+02 2.730645e+00 4.266749e-11
9.000000e+00 5.249223e+06 4.989344e+02 3.134790e-15 1.163409e+04 1.991449e+05 1.261850e-04 6.503314e-11 4.038153e-09 1.535925e+00 3.917870e-09 1.231713e+02 1.599324e+01 2.428179e-11
1.000000e+01 4.766949e+06 4.123127e+02 3.388638e-15 9.971707e+03 1.188050e+05 1.262629e-04 1.173330e-10 4.038098e-09 1.205227e+00 3.927621e-09 1.231720e+02 1.323899e+01 1.261469e-12
1.100000e+01 6.500381e+06 2.637128e+03 3.134790e-15 1.572652e+04 1.902528e+05 1.261856e-04 9.083721e-13 4.037854e-09 1.552301e+00 3.919705e-09 1.231714e+02 5.949454e+01 6.158601e-11
1.200000e+01 5.467016e+06 2.165842e+03 3.388638e-15 2.327379e+04 1.157511e+05 1.262702e-04 2.430450e-12 4.038098e-09 1.159836e+00 3.930080e-09 1.231720e+02 4.949793e+01 2.955181e-10
1.300000e+01 7.394917e+06 5.505162e+03 3.134790e-15 2.211438e+04 1.368947e+05 1.261997e-04 1.401163e-13 4.038158e-09 1.565050e+00 3.922780e-09 1.231722e+02 1.482949e+02 1.138171e-10
1.400000e+01 7.052529e+06 5.865188e+03 3.388638e-15 1.762299e+04 1.151065e+05 1.261569e-04 7.438068e-13 4.038046e-09 1.196835e+00 3.933791e-09 1.231720e+02 1.253949e+02 6.941955e-10
1.500000e+01 7.900680e+06 7.750670e+03 3.134790e-15 2.904187e+04 9.746516e+04 1.262159e-04 1.391131e-13 4.038166e-09 1.573895e+00 3.927116e-09 1.231722e+02 2.763064e+02 3.172594e-10
1.600000e+01 6.226736e+06 4.371047e+03 3.388638e-15 2.409781e+04 7.895518e+04 1.261672e-04 2.375403e-12 4.038150e-09 1.180456e+00 3.938779e-09 1.231720e+02 2.074107e+02 2.618937e-09
1.700000e+01 7.907942e+06 7.418116e+03 3.134790e-15 2.139088e+04 7.598085e+04 1.262229e-04 8.871588e-13 4.038166e-09 1.578793e+00 3.932740e-09 1.231722e+02 4.048475e+02 1.377273e-09
1.800000e+01 7.305690e+06 4.868164e+03 3.388638e-15 5.449719e+04 7.299979e+04 1.263051e-04 1.104464e-10 4.038098e-09 1.214788e+00 3.945074e-09 1.231720e+02 2.804695e+02 2.303287e-10
1.900000e+01 7.458384e+06 4.615301e+03 3.134790e-15 5.081052e+04 6.382821e+04 1.262322e-04 6.205354e-11 4.038465e-09 1.579750e+00 3.939687e-09 1.231722e+02 4.723215e+02 4.966703e-09
2.000000e+01 6.967238e+06 2.616978e+03 3.388638e-15 4.237542e+04 6.037931e+04 1.261882e-04 4.766648e-14 4.038096e-09 1.206578e+00 3.928291e-09 1.231720e+02 2.894626e+02 4.147458e-08
2.100000e+01 6.916766e+06 2.274207e+03 3.134790e-15 1.218554e+05 5.864446e+04 1.262439e-04 2.840603e-10 4.038161e-09 1.576891e+00 3.946210e-09 1.231722e+02 4.415639e+02 1.548716e-08
2.200000e+01 6.782465e+06 8.461343e+02 3.388638e-15 1.460837e+05 5.685021e+04 1.261936e-04 6.528574e-09 4.038098e-09 1.177443e+00 3.933566e-09 1.231720e+02 2.213380e+02 1.891217e-07
2.300000e+01 6.399699e+06 7.617906e+02 3.134790e-15 1.385881e+05 5.580505e+04 1.262469e-04 1.320467e-10 4.037846e-09 1.570025e+00 3.950537e-09 1.231722e+02 3.214937e+02 8.492911e-08
2.400000e+01 5.143585e+06 7.061682e+01 3.388638e-15 4.191368e+03 4.299933e+04 1.261956e-04 2.609540e-08 4.038047e-09 1.197682e+00 3.961396e-09 1.231720e+02 1.427481e+02 2.256528e-08
2.500000e+01 5.736702e+06 8.976605e+01 3.134790e-15 5.614309e+03 4.817434e+04 1.262411e-04 2.855356e-09 4.037845e-09 1.559203e+00 3.954479e-09 1.231721e+02 1.778759e+02 4.248102e-07
2.600000e+01 9.751887e+06 2.726117e+01 3.388638e-15 2.881207e+05 9.941718e+04 1.263171e-04 1.012902e-10 4.038095e-09 4.554726e+00 3.944995e-09 1.231720e+02 1.268892e+02 5.971517e-06
2.700000e+01 5.602589e+06 5.495449e+00 3.134790e-15 9.782689e+03 5.794636e+04 1.262381e-04 3.476345e-08 4.038146e-09 1.554215e+00 3.958320e-09 1.231722e+02 8.740035e+01 2.038174e-06
2.800000e+01 5.548307e+06 8.871061e-02 3.388638e-15 5.528669e+05 6.872379e+04 1.261816e-04 8.268318e-06 4.037923e-09 1.140567e+00 3.944418e-09 1.231713e+02 2.630493e+01 7.778650e-07
2.900000e+01 3.959701e+06 3.831059e+03 3.388638e-15 1.184011e+06 6.596416e+04 1.263180e-04 1.951818e-04 4.038166e-09 4.548184e+00 3.969524e-09 1.231723e+02 5.377432e+03 8.824432e-05
3.000000e+01 5.613846e+06 1.469726e-01 3.388638e-15 1.154002e+07 1.180825e+05 1.263219e-04 1.079524e-06 4.037979e-09 4.566873e+00 3.945904e-09 1.231713e+02 3.753741e+01 5.080122e-06
3.100000e+01 5.441828e+06 1.623243e+01 3.134790e-15 2.084673e+06 1.218116e+05 1.262516e-04 4.439816e-03 4.037834e-09 1.576138e+00 3.961419e-09 1.231722e+02 1.545168e+02 5.523960e-05
3.200000e+01 4.813218e+06 2.610864e+01 3.388638e-15 9.425278e+05 1.528105e+05 1.262115e-04 3.877940e-03 4.038095e-09 4.654159e+00 3.946254e-09 1.231720e+02 1.562831e+02 2.285087e-05
3.300000e+01 4.762031e+06 3.444996e+02 3.134790e-15 8.231351e+05 1.829017e+05 1.262690e-04 7.492693e-01 4.038159e-09 1.613748e+00 3.960438e-09 1.231722e+02 4.797379e+02 1.760226e-04
3.400000e+01 3.979315e+06 2.682298e+02 3.388638e-15 8.892362e+05 1.220415e+05 1.262213e-04 3.483919e-01 4.038046e-09 1.215052e+00 3.968688e-09 1.231720e+02 4.478492e+02 5.601542e-05
3.500000e+01 4.029241e+06 1.932811e+03 3.134790e-15 4.752155e+05 2.500047e+05 1.262778e-04 9.431097e+00 4.038167e-09 1.658165e+00 3.959135e-09 1.231723e+02 1.127029e+03 3.277823e-04
3.600000e+01 2.818192e+06 1.981862e+03 3.388638e-15 4.258946e+05 1.403906e+05 1.262277e-04 1.934425e+00 4.038150e-09 1.274624e+00 3.943093e-09 1.231720e+02 8.450897e+02 8.022677e-05
3.700000e+01 3.170898e+06 4.426609e+03 3.134790e-15 5.404480e+05 2.258565e+05 1.262779e-04 1.541988e+01 4.038164e-09 1.699310e+00 3.957462e-09 1.231715e+02 2.020771e+03 3.601609e-04
3.800000e+01 2.419251e+06 4.685388e+03 3.388638e-15 1.000795e+06 1.342226e+05 1.262242e-04 1.676270e+00 4.038046e-09 1.335942e+00 3.965332e-09 1.231720e+02 2.316787e+03 6.948553e-05
3.900000e+01 2.313775e+06 7.217576e+03 3.134790e-15 1.054555e+06 1.553023e+05 1.262697e-04 4.257436e+00 4.038155e-09 1.737255e+00 3.955411e-09 1.231715e+02 3.147028e+03 2.358736e-04
4.000000e+01 1.368667e+06 7.430107e+03 3.388638e-15 2.001043e+06 8.663005e+04 1.263444e-04 7.273810e-02 4.038097e-09 1.374300e+00 3.938688e-09 1.231720e+02 1.989243e+03 3.156847e-05
4.100000e+01 1.539309e+06 9.801505e+03 3.134790e-15 4.409753e+06 8.814045e+04 1.262642e-04 1.492096e-01 4.037845e-09 1.771999e+00 3.952947e-09 1.231723e+02 4.249883e+03 9.120535e-05
4.200000e+01 7.566745e+05 6.067316e+03 3.388638e-15 1.807493e+06 3.371380e+04 1.262113e-04 1.017551e-04 4.038046e-09 1.322373e+00 3.960391e-09 1.231720e+02 3.892703e+03 6.247110e-04
4.300000e+01 8.740510e+05 9.445795e+03 3.134790e-15 4.101259e+06 3.331761e+04 1.262613e-04 1.925104e-04 4.037837e-09 1.802919e+00 3.950059e-09 1.231722e+02 4.888425e+03 4.044526e-05
4.400000e+01 4.298629e+05 9.668850e+03 3.388638e-15 2.010960e+06 9.664445e+03 1.262015e-04 8.187308e-03 4.038044e-09 1.367392e+00 3.958207e-09 1.231720e+02 4.641326e+03 4.090011e-04
4.500000e+01 4.218058e+05 7.527239e+03 3.134790e-15 9.856685e+05 6.365580e+03 1.262493e-04 8.953834e-07 4.037837e-09 1.829470e+00 3.948585e-09 1.231722e+02 5.537091e+03 4.033713e-05
4.600000e+01 2.005929e+05 8.516585e+03 3.388638e-15 2.366418e-05 1.116294e+03 1.261869e-04 9.976072e-11 4.038046e-09 1.386479e+00 3.957434e-09 1.231720e+02 4.908947e+03 6.501255e-04
4.700000e+01 1.774672e+05 7.105973e+03 3.134790e-15 1.142295e-05 4.541813e+02 1.262282e-04 4.197731e-09 4.037846e-09 1.851613e+00 3.948516e-09 1.231723e+02 6.156951e+03 9.046817e-05
4.800000e+01 1.005262e+05 7.397257e+03 3.388638e-15 1.277805e-05 5.279192e+04 1.262964e-04 4.200347e-09 4.038100e-09 1.474477e+00 3.933152e-09 1.231720e+02 3.544220e+03 2.565898e-05
4.900000e+01 6.864992e+04 7.415855e+03 3.134790e-15 2.463358e-16 2.957532e+02 1.262095e-04 4.215574e-12 4.038173e-09 1.869632e+00 3.948023e-09 1.231724e+02 5.960108e+03 2.279378e-04
5.000000e+01 3.728478e+04 3.245975e+03 3.388638e-15 3.334929e-16 5.207557e+02 1.262844e-04 4.220378e-12 4.038096e-09 1.425539e+00 3.956446e-09 1.231720e+02 2.967316e+03 5.253803e-05
5.100000e+01 2.544776e+04 5.316096e+03 3.134790e-15 2.458670e-16 1.729477e+03 1.262043e-04 7.282942e-14 4.038479e-09 1.883492e+00 3.947105e-09 1.231724e+02 4.499475e+03 3.260402e-04
5.200000e+01 1.654223e+04 4.293858e+03 3.388638e-15 3.328632e-16 2.370434e+03 1.262860e-04 7.297183e-14 4.038098e-09 1.544917e+00 3.931757e-09 1.231720e+02 2.411166e+03 6.768712e-05
5.300000e+01 9.346254e+03 2.766263e+03 3.134790e-15 2.458670e-16 3.881637e+03 1.262126e-04 6.704093e-15 4.038161e-09 1.893389e+00 3.945789e-09 1.231722e+02 2.764715e+03 2.781899e-04
5.400000e+01 1.098902e+04 1.467245e+04 3.388638e-15 3.328631e-16 9.939522e+03 1.261876e-04 6.726439e-15 4.038098e-09 1.754713e+00 3.953807e-09 1.231720e+02 3.745063e+03 6.548989e-05
5.500000e+01 3.911669e+03 3.739748e+03 3.134790e-15 2.458670e-16 7.517573e+03 1.262249e-04 1.651082e-15 4.037846e-09 1.900956e+00 3.944068e-09 1.231722e+02 1.860417e+03 1.553457e-04
5.600000e+01 1.451447e+03 2.226328e+03 3.388638e-15 3.328631e-16 1.035575e+04 1.263107e-04 1.660469e-15 4.038047e-09 1.450261e+00 3.952774e-09 1.231720e+02 1.072422e+03 2.156611e-03
5.700000e+01 1.655646e+03 7.430682e+03 3.134790e-15 2.458670e-16 1.503268e+04 1.262414e-04 7.258340e-16 4.037846e-09 1.905582e+00 3.943726e-09 1.231723e+02 1.363000e+03 1.101546e-04
5.800000e+01 7.708148e+02 9.979987e+03 3.388638e-15 3.328632e-16 2.297947e+04 1.262012e-04 7.328975e-16 4.038098e-09 1.504428e+00 3.953121e-09 1.231720e+02 6.869990e+02 2.816672e-03
5.900000e+01 6.024203e+02 9.778241e+03 3.134790e-15 2.458670e-16 2.600274e+04 1.262604e-04 4.492250e-16 4.038163e-09 1.905918e+00 3.944760e-09 1.231722e+02 8.340640e+02 1.812581e-04
6.000000e+01 1.843792e+05 3.017828e+04 3.388638e-15 3.334345e-16 4.111236e+04 1.262157e-04 4.567813e-16 4.038107e-09 1.500758e+00 3.954851e-09 1.231720e+02 3.065485e+02 3.808205e-05
6.100000e+01 5.370489e+02 2.136603e+04 3.134790e-15 2.462923e-16 4.890472e+04 1.262709e-04 3.407771e-16 4.038534e-09 1.902276e+00 3.947177e-09 1.231714e+02 4.011773e+02 3.555908e-04
6.200000e+01 2.725291e+02 2.317820e+04 3.388638e-15 1.339558e-06 2.166589e+04 1.261937e-04 3.509548e-16 4.038097e-09 1.120078e+00 3.929582e-09 1.231720e+02 3.775245e+01 1.476014e-05
6.300000e+01 1.059711e+03 5.716548e+04 3.134790e-15 1.176536e-06 5.645309e+04 1.262705e-04 2.925515e-16 4.038230e-09 1.892307e+00 3.948911e-09 1.231715e+02 1.114595e+02 3.760971e-04
6.400000e+01 6.105760e+02 1.592129e+05 9.489267e-16 2.327689e-09 6.776436e+04 1.262182e-04 3.093130e-16 4.038128e-09 5.960543e+00 3.933298e-09 1.231720e+02 1.077364e+01 2.260932e-05
6.500000e+01 1.641115e+03 1.529590e+05 3.134790e-15 1.059294e+04 4.503026e+04 1.262595e-04 2.719704e-16 4.037968e-09 1.887422e+00 3.948134e-09 1.231721e+02 1.553966e+01 2.127136e-04
6.600000e+01 1.947715e+03 2.783612e+05 3.134790e-15 2.036106e+04 4.409621e+04 1.262520e-04 2.664889e-16 4.038046e-09 1.889670e+00 3.947187e-09 1.231720e+02 5.026512e+00 1.409025e-04
6.700000e+01 2.311595e+03 5.065734e+05 3.134790e-15 4.056746e+04 4.309101e+04 1.262446e-04 2.611179e-16 4.037961e-09 1.891921e+00 3.946251e-09 1.231721e+02 1.623694e+00 9.333453e-05
6.800000e+01 3.232480e+02 1.981950e+04 7.929262e-16 1.396226e+03 4.691550e+04 1.263182e-04 2.943798e-16 4.038085e-09 1.428062e+00 3.954554e-09 1.231720e+02 2.196589e+03 2.283401e-02
