long.t Lactobacillus_iners Lactobacillus_crispatus Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 2.682216e+07 7.426886e-14 3.607953e+08 5.256032e+07 2.732757e+05 1.729711e+07 1.345141e+08 2.373639e+06 1.566147e-11 3.789828e+06 6.201760e+04
1.000000e+00 7.050713e+06 1.821811e-14 8.057655e+07 1.990737e+07 5.329984e+05 4.000360e+06 1.982090e+07 2.373365e+06 1.902718e-05 8.820119e+05 6.250308e+04
2.000000e+00 6.943621e+06 7.201723e-14 1.163630e+08 1.495861e+07 1.016495e+06 7.706054e+06 3.903985e+07 2.373101e+06 5.353552e-14 1.371704e+06 6.200225e+04
3.000000e+00 1.058331e+07 5.980111e-14 1.716884e+08 1.946413e+07 2.864115e+06 1.684293e+07 6.258051e+07 2.373417e+06 1.902557e-05 1.754988e+06 6.212350e+04
4.000000e+00 8.661598e+06 6.757249e-14 2.213690e+08 3.123712e+07 2.539131e+06 2.355493e+07 9.291783e+07 2.373303e+06 1.383279e-08 2.488337e+06 6.216276e+04
5.000000e+00 4.484453e+06 6.585816e-14 1.521220e+08 5.372682e+06 2.455479e+06 1.925310e+07 5.643544e+07 2.373253e+06 4.558441e-15 1.182733e+06 6.221725e+04
6.000000e+00 3.255244e+06 1.895299e-14 2.409834e+08 1.458564e+07 6.639106e+06 3.910773e+07 1.118413e+08 2.373229e+06 4.558174e-15 3.156611e+06 6.227474e+04
7.000000e+00 1.416586e+06 6.061416e-14 2.164188e+08 1.102599e+07 5.303857e+06 3.503232e+07 9.945046e+07 2.373101e+06 4.558174e-15 4.362033e+06 6.228324e+04
8.000000e+00 5.589945e+05 5.723516e-14 2.388718e+08 2.060585e+07 1.086566e+07 4.058901e+07 1.139891e+08 2.373092e+06 4.558174e-15 1.085607e+07 6.229543e+04
9.000000e+00 1.448674e+05 5.436658e-14 1.608674e+08 1.252909e+07 2.966748e+06 2.228216e+07 6.648946e+07 2.373023e+06 4.558207e-15 5.650533e+06 6.228999e+04
1.000000e+01 4.364811e+04 5.194571e-14 2.684561e+08 2.984401e+07 4.125303e+06 3.674855e+07 1.104044e+08 2.373206e+06 5.353552e-14 8.905070e+06 6.228977e+04
1.100000e+01 1.256753e+04 4.403131e-14 1.305892e+08 1.948625e+07 1.251248e+06 1.221105e+07 4.215776e+07 2.373328e+06 4.558174e-15 3.469889e+06 6.228449e+04
1.200000e+01 4.737942e+02 4.797337e-14 1.264772e+08 2.266600e+07 4.256982e+05 5.453161e+06 2.836721e+07 2.373288e+06 5.353552e-14 2.255553e+06 6.218064e+04
1.300000e+01 4.617245e+01 4.636479e-14 1.614333e+08 5.925002e+07 2.467869e+06 1.206910e+07 4.185752e+07 2.373487e+06 4.558207e-15 4.847599e+06 6.217457e+04
1.400000e+01 6.858324e+03 4.506402e-14 1.103122e+08 4.406073e+07 4.828070e+05 5.281240e+06 2.700493e+07 2.373244e+06 4.558174e-15 3.874795e+06 6.268293e+04
1.500000e+01 1.293828e+00 4.404603e-14 1.468422e+08 5.002334e+07 2.008753e-04 8.534960e+06 3.427538e+07 2.373165e+06 4.558694e-15 7.191155e+06 6.219146e+04
1.600000e+01 7.719606e-01 4.329158e-14 2.279109e+08 4.054999e+07 7.427195e-05 1.805793e+07 7.355187e+07 2.373196e+06 1.671447e-05 1.086183e+07 6.227473e+04
