long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 4.554735e+07 1.605779e-11 6.123417e+05 5.052088e+08 1.395970e+08 5.844437e-13 1.097454e-15 9.486479e+05 1.782116e+06 1.691668e+06 9.634007e+04 1.606878e+06 3.994407e-01
1.000000e+00 5.232263e+06 2.097624e-14 8.831903e-06 8.555844e+07 1.636144e+07 1.812986e-11 1.097569e-15 2.956995e+05 1.681179e+05 1.734648e+05 1.330995e+04 1.706948e+05 2.095374e-07
2.000000e+00 6.486851e+06 7.031889e-12 3.956963e+05 1.217627e+08 7.540403e+06 1.034340e-04 1.100618e-15 8.287031e+05 4.902815e+06 5.259834e+05 4.922396e+03 2.561658e+06 1.206445e+00
3.000000e+00 1.027795e+07 3.925504e-12 6.823160e+05 1.499511e+08 1.637665e+07 5.730308e-05 1.106609e-15 3.879646e+06 2.806173e+07 8.470425e+05 6.884937e+02 2.242668e+07 7.509272e-04
4.000000e+00 1.072138e+07 1.428494e-14 2.477445e+05 1.692887e+08 3.439075e+07 2.929916e+02 1.115578e-15 6.878510e+06 3.105492e+07 7.683059e+04 6.319648e+00 1.228924e+07 3.036444e-02
5.000000e+00 1.436903e+07 7.327329e-13 1.831456e-05 2.249837e+08 5.089271e+07 1.240032e+05 2.220915e-16 9.843059e+06 2.416127e+07 1.262031e+02 2.932684e-03 1.605026e+07 4.598638e-02
6.000000e+00 1.639146e+07 2.337973e-13 7.594370e-06 2.887062e+08 9.414686e+07 1.070225e+06 1.058436e-15 1.160666e+07 2.890019e+07 3.117564e-05 6.086156e-02 6.740077e+06 1.161188e+03
7.000000e+00 1.449583e+07 8.818550e-14 4.221645e-16 2.305557e+08 8.023739e+07 5.384758e+05 9.961796e-16 4.962078e+06 5.576991e+06 1.087964e-05 3.896974e-04 2.455419e+06 6.448182e-01
8.000000e+00 2.085869e+07 3.828306e-14 2.258561e-16 2.984050e+08 1.447929e+08 1.889886e+06 9.399800e-16 7.972771e+06 2.763155e+07 3.267996e-12 7.810378e-10 3.327048e+06 1.328976e+01
9.000000e+00 1.900810e+07 1.871752e-14 2.221447e-16 2.598954e+08 9.354446e+07 7.266493e+05 8.891147e-16 3.992826e+06 6.828693e+06 1.383618e-14 8.931299e-06 1.202036e+06 2.443065e+01
1.000000e+01 2.377105e+07 1.012446e-14 2.220473e-16 3.149348e+08 4.000473e+07 9.682536e+05 8.429625e-16 5.423601e+06 3.021526e+07 3.582959e-15 1.199983e-05 7.421760e+06 1.525476e+01
1.100000e+01 2.171949e+07 5.969382e-15 2.220447e-16 2.514922e+08 1.549232e+07 5.245780e+04 8.009874e-16 8.580837e+05 9.868407e+06 1.478521e-14 7.060285e-10 1.407529e+06 7.970467e-01
1.200000e+01 3.204566e+07 3.788864e-15 2.220446e-16 3.292101e+08 1.674574e+07 1.399116e+03 7.627254e-16 1.658496e+05 1.888389e+07 3.986443e-12 8.309280e-04 4.870976e+06 1.184424e-02
1.300000e+01 3.971018e+07 2.561762e-15 2.220446e-16 3.531449e+08 1.385640e+07 6.107764e-03 7.277737e-16 1.346031e+03 4.530957e+06 1.846386e-05 1.277599e-01 5.424210e+05 4.713387e-06
1.400000e+01 3.205304e+07 1.828672e-15 2.220446e-16 3.156597e+08 1.108790e+07 3.445669e+01 6.957810e-16 2.059069e-01 3.267805e+06 1.407219e-05 4.796879e-03 2.817651e+04 6.092814e-06
1.500000e+01 3.969814e+07 1.367698e-15 2.220446e-16 3.643681e+08 1.868427e+07 3.434160e-12 6.664405e-16 1.643654e+03 9.046459e+05 8.007528e+01 2.415329e+01 5.988939e-04 2.064067e-09
1.600000e+01 4.850668e+07 1.064810e-15 2.220446e-16 4.300366e+08 4.746506e+07 1.968369e-08 6.394834e-16 9.099206e-06 1.048853e+06 4.296064e+04 5.792945e+03 4.238349e+05 9.959052e-12
1.700000e+01 5.056300e+07 8.581372e-16 2.220446e-16 4.843010e+08 6.701673e+07 2.585415e-13 6.146731e-16 5.744169e+03 2.498021e+06 1.681743e+06 2.110361e+05 6.918498e-03 2.830108e-13
1.800000e+01 5.173155e+07 7.124632e-16 2.220446e-16 3.805120e+08 6.139299e+07 3.382919e-15 5.918013e-16 2.734211e-01 2.096620e+06 1.829488e+06 6.681506e+05 1.153648e+05 2.627075e-14
1.900000e+01 5.634902e+07 6.068771e-16 2.220446e-16 4.672931e+08 1.453054e+08 6.349895e-16 5.706840e-16 3.120911e+03 4.079248e+06 7.693719e+06 3.839983e+06 7.103810e+06 5.374358e-15
2.000000e+01 7.404363e+07 5.284859e-16 2.220446e-16 6.982573e+08 6.211338e+08 3.330305e-16 5.511580e-16 6.058653e+05 6.095400e+06 2.733354e+07 1.895883e+07 5.399009e+07 1.863284e-15
2.100000e+01 6.830569e+07 4.690684e-16 2.220446e-16 6.416593e+08 5.096270e+08 2.596303e-16 5.330786e-16 3.672835e+06 6.233093e+06 2.359120e+07 2.056432e+07 2.967186e+07 9.186928e-16
2.200000e+01 6.279493e+07 4.232225e-16 2.220446e-16 5.662353e+08 3.313017e+08 2.358528e-16 5.163168e-16 8.797837e+06 9.251755e+06 2.642358e+07 2.347506e+07 5.371132e+07 5.730063e-16
2.300000e+01 7.263119e+07 3.873011e-16 2.220446e-16 6.317110e+08 3.880742e+08 2.272732e-16 5.007578e-16 1.979356e+07 1.890357e+07 4.349962e+07 2.920653e+07 6.037201e+07 4.181262e-16
2.400000e+01 8.600908e+07 3.587812e-16 2.220446e-16 6.159690e+08 3.199656e+08 2.240477e-16 4.862987e-16 1.645127e+07 1.261647e+07 2.436124e+07 1.890564e+07 2.349735e+07 3.388120e-16
2.500000e+01 7.895238e+07 3.358783e-16 2.220446e-16 7.151316e+08 3.798522e+08 2.228161e-16 4.728476e-16 5.277149e+07 6.566110e+07 1.369452e+08 6.311948e+07 9.174772e+07 2.944362e-16
2.600000e+01 6.315023e+07 3.173047e-16 2.220446e-16 3.929415e+08 7.773880e+07 2.223441e-16 4.603219e-16 3.541165e+06 4.186411e+06 4.149643e+06 7.128849e+06 4.548358e+06 2.681091e-16
2.700000e+01 9.587209e+07 3.021141e-16 2.220446e-16 5.663933e+08 1.823086e+08 2.221659e-16 4.486473e-16 9.034620e+06 1.199357e+07 2.083252e+07 2.272609e+07 1.223695e+07 2.518752e-16
2.800000e+01 1.014211e+08 2.895997e-16 2.220446e-16 6.266408e+08 2.008585e+08 2.221063e-16 4.377570e-16 7.477645e+06 7.592250e+06 1.389987e+07 1.628769e+07 9.180225e+06 2.416141e-16
2.900000e+01 7.614008e+07 2.792251e-16 2.220446e-16 3.950333e+08 8.612942e+07 2.221071e-16 4.275906e-16 3.005619e+06 2.062312e+06 5.357071e+06 1.221620e+07 3.849399e+06 2.350345e-16
3.000000e+01 7.857707e+07 2.705782e-16 2.220446e-16 4.209342e+08 8.461019e+07 2.221691e-16 4.180935e-16 5.350992e+06 7.864337e+06 1.352498e+07 1.715456e+07 1.798140e+07 2.307961e-16
3.100000e+01 6.536126e+07 2.633378e-16 2.220446e-16 3.450857e+08 5.634386e+07 2.223530e-16 4.092166e-16 4.996603e+06 6.363096e+06 9.267839e+06 1.006900e+07 6.302385e+06 2.280892e-16
3.200000e+01 6.535406e+07 2.572512e-16 2.220446e-16 3.604959e+08 9.279712e+07 2.228393e-16 4.009149e-16 6.664403e+06 8.869412e+06 1.492661e+07 1.500947e+07 8.690319e+06 2.264185e-16
3.300000e+01 5.430470e+07 2.521173e-16 2.220446e-16 3.126441e+08 7.511251e+07 2.241083e-16 3.931480e-16 3.539309e+06 2.714635e+06 6.080946e+06 9.134375e+06 5.283196e+06 2.254871e-16
3.400000e+01 5.321233e+07 2.477747e-16 2.220446e-16 3.915926e+08 1.017682e+08 2.274326e-16 3.858790e-16 9.253397e+06 6.535971e+06 7.708301e+06 1.231685e+07 2.537621e+06 2.251321e-16
3.500000e+01 5.843925e+07 2.440927e-16 2.220446e-16 3.793614e+08 1.271417e+08 2.362818e-16 3.790742e-16 9.116565e+06 6.720624e+06 1.274532e+07 1.257371e+07 7.054732e+06 2.252921e-16
3.600000e+01 4.249421e+07 2.409648e-16 2.220446e-16 2.709346e+08 7.014545e+07 2.608563e-16 3.727031e-16 6.685554e+06 7.697021e+06 6.245827e+06 6.336164e+06 7.288569e+06 2.259948e-16
3.700000e+01 3.984659e+07 2.383036e-16 2.220446e-16 2.813923e+08 8.070890e+07 3.371223e-16 3.667379e-16 1.777739e+07 6.776900e+07 3.240780e+07 9.296942e+06 1.995698e+07 2.273624e-16
3.800000e+01 2.412282e+07 2.360369e-16 2.220446e-16 1.836436e+08 3.590378e+07 6.554107e-16 3.611530e-16 5.158951e+06 5.844531e+06 3.967793e+06 2.060365e+06 5.134489e+06 2.296364e-16
3.900000e+01 4.194189e+07 2.341049e-16 2.220446e-16 2.899288e+08 1.316409e+08 3.672193e-15 3.559254e-16 2.024213e+07 3.695641e+07 2.130416e+07 3.858566e+06 1.369065e+07 2.332275e-16
4.000000e+01 3.603118e+07 2.324578e-16 2.220446e-16 1.880825e+08 9.550481e+07 3.198139e-13 3.510336e-16 3.770172e+06 2.574210e+06 1.669085e+06 4.181357e+05 1.672038e+06 2.388099e-16
4.100000e+01 4.541780e+07 2.310541e-16 2.220446e-16 1.880257e+08 1.490965e+08 3.416127e-08 3.464585e-16 5.553749e+06 1.200706e+07 8.868044e+05 8.340062e+04 1.832230e+06 2.474916e-16
4.200000e+01 3.086340e+07 2.298589e-16 2.220446e-16 1.294667e+08 5.252999e+07 2.530841e-12 3.421822e-16 2.100935e+06 5.298918e+06 2.962221e+04 3.936217e+03 7.273148e+05 2.611421e-16
4.300000e+01 3.266849e+07 2.288431e-16 2.220446e-16 1.146017e+08 4.243933e+07 3.050682e+01 3.381885e-16 2.333999e+06 1.352502e+07 2.113333e+02 7.166742e+01 2.727178e+05 2.830608e-16
4.400000e+01 4.005655e+07 2.279823e-16 2.220446e-16 9.413465e+07 3.418832e+07 2.431517e-03 3.344625e-16 1.137533e+06 1.324236e+07 3.736245e-05 6.868476e-02 5.136012e+03 3.194662e-16
4.500000e+01 3.735977e+07 2.272559e-16 2.220446e-16 9.184651e+07 1.968921e+07 1.876009e+02 3.309909e-16 9.774463e+05 6.927546e+06 2.510217e-04 1.425511e+01 1.002556e-05 3.831931e-16
4.600000e+01 3.823945e+07 2.266470e-16 2.220446e-16 8.279024e+07 1.168293e+07 1.754244e+04 3.277610e-16 8.345753e+05 7.537885e+06 4.011352e-09 6.728073e-07 1.067376e-05 5.042363e-16
4.700000e+01 3.807923e+07 2.261414e-16 2.220446e-16 7.596628e+07 5.817279e+06 6.844387e+04 3.247618e-16 4.167582e+05 3.095950e+06 1.341738e-06 4.582492e-03 1.651125e-13 7.659451e-16
4.800000e+01 3.184455e+07 2.257275e-16 2.220446e-16 6.924280e+07 8.130479e+06 2.233668e+05 3.219829e-16 1.056721e+06 5.084406e+06 3.879159e-13 1.358359e-10 1.597915e-08 1.467182e-15
4.900000e+01 3.345357e+07 2.251161e-16 2.220446e-16 6.212512e+07 5.186745e+06 2.955500e+05 3.163935e-16 8.754563e+05 3.906015e+06 1.823266e-06 2.913051e-09 8.909452e-06 1.990719e-15
5.000000e+01 2.441593e+07 2.250536e-16 2.220446e-16 6.477764e+07 1.056835e+07 6.224811e+05 3.168603e-16 1.759530e+06 1.423675e+07 2.093835e+00 4.396568e-10 2.990343e-02 1.006404e-14
5.100000e+01 1.522428e+07 2.247801e-16 2.220446e-16 4.534925e+07 8.141472e+06 1.997678e+05 3.145029e-16 6.710953e+05 5.964754e+06 1.655322e-11 2.704814e-12 5.550155e+03 4.900214e-14
5.200000e+01 1.718063e+07 2.243570e-16 2.220446e-16 5.972144e+07 2.007182e+07 4.430394e+05 3.094346e-16 1.707295e+06 1.721237e+07 2.004226e-05 2.616039e-14 2.092202e+05 9.258889e-14
5.300000e+01 1.002539e+07 2.243497e-16 2.220446e-16 5.532936e+07 8.124806e+07 3.101248e+05 3.101760e-16 1.155301e+06 5.231761e+06 9.521512e+00 1.233551e-14 2.080491e+05 6.137743e-12
5.400000e+01 8.497526e+06 2.241835e-16 2.220446e-16 5.790842e+07 3.292469e+08 1.752882e+05 3.081954e-16 8.799729e+05 5.719670e+06 9.128858e-08 2.360994e-15 8.454350e+04 1.097173e-15
5.500000e+01 4.770443e+06 2.240659e-16 2.220446e-16 5.437866e+07 3.584560e+08 1.625966e+05 3.063871e-16 6.830562e+05 3.514643e+06 3.463861e-09 9.149058e-16 1.360173e+05 8.859672e-12
5.600000e+01 3.435650e+06 2.239936e-16 2.220446e-16 4.577517e+07 2.945324e+08 1.028926e+05 3.047457e-16 5.334300e+05 2.666728e+06 3.048346e-07 5.213269e-16 6.870458e+04 1.641763e-12
5.700000e+01 2.373374e+06 2.239649e-16 2.220446e-16 5.540901e+07 2.226863e+08 2.580231e+05 3.032662e-16 9.183100e+05 6.856580e+06 6.963828e-13 3.718688e-16 1.903411e+05 1.361018e-12
5.800000e+01 1.174678e+06 2.239791e-16 2.220446e-16 4.611031e+07 3.174168e+07 1.532297e+05 3.019445e-16 6.611986e+05 8.846238e+06 4.837220e-15 3.032951e-16 4.888488e+05 4.815171e-12
5.900000e+01 4.786885e+05 2.240367e-16 2.220446e-16 3.645571e+07 1.158239e+06 4.157442e+04 3.007769e-16 2.350512e+05 5.470562e+06 7.221042e-16 2.681456e-16 1.263003e+05 8.928453e-11
