long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis g_Dialister g_Mobiluncus
0.000000e+00 1.558105e+04 1.196496e+08 1.152169e-06 7.459314e-12 7.660735e-16 2.280483e-14 4.935166e-15 1.096918e-15 5.442261e-15 4.641470e-15 5.831880e-15
1.000000e+00 1.558123e+04 1.303655e+08 2.527274e-06 4.661318e-12 2.409034e-16 2.280411e-14 3.078745e-16 3.083595e-16 5.442157e-15 3.058137e-16 5.830856e-15
2.000000e+00 1.558108e+04 7.635724e+07 1.028674e-06 7.462835e-12 3.021757e-16 2.280477e-14 7.015377e-16 3.721432e-16 5.442263e-15 6.888715e-16 5.831883e-15
3.000000e+00 1.558128e+04 1.232967e+08 2.527270e-06 4.780841e-12 2.409034e-16 2.280410e-14 3.072700e-16 2.704536e-16 5.442162e-15 3.055323e-16 5.830891e-15
4.000000e+00 1.558112e+04 7.997602e+07 1.075897e-06 7.619178e-12 3.021757e-16 2.280477e-14 7.003418e-16 3.265389e-16 5.442272e-15 6.883221e-16 5.831949e-15
5.000000e+00 1.558126e+04 1.076183e+08 2.527263e-06 4.991945e-12 2.409034e-16 2.280410e-14 3.072692e-16 2.639600e-16 5.442175e-15 3.055321e-16 5.830987e-15
6.000000e+00 1.558108e+04 6.913815e+07 1.095490e-06 7.937038e-12 3.021757e-16 2.280477e-14 7.003402e-16 3.189468e-16 5.442288e-15 6.883217e-16 5.832077e-15
7.000000e+00 1.558119e+04 8.730711e+07 2.527254e-06 5.306876e-12 2.409034e-16 2.280410e-14 3.072692e-16 2.627741e-16 5.442195e-15 3.055321e-16 5.831146e-15
8.000000e+00 1.558098e+04 5.008987e+07 5.148911e-06 8.435834e-12 3.021757e-16 2.280479e-14 7.003402e-16 3.175650e-16 5.442312e-15 6.883217e-16 5.832267e-15
9.000000e+00 1.558105e+04 6.502100e+07 2.527244e-06 5.744594e-12 2.409034e-16 2.280420e-14 3.072692e-16 2.625549e-16 5.442223e-15 3.055321e-16 5.831368e-15
1.000000e+01 1.558082e+04 4.131856e+07 5.148889e-06 9.147775e-12 3.021757e-16 2.280545e-14 7.003676e-16 3.173098e-16 5.442344e-15 6.883279e-16 5.832520e-15
1.100000e+01 1.558084e+04 4.461050e+07 2.527236e-06 6.332757e-12 2.409034e-16 2.280843e-14 3.072830e-16 2.625143e-16 5.442258e-15 3.055352e-16 5.831652e-15
1.200000e+01 1.558051e+04 2.448674e+07 5.148873e-06 1.012147e-11 3.021757e-16 2.280477e-14 7.212005e-16 3.172626e-16 5.442383e-15 6.980699e-16 5.832836e-15
1.300000e+01 1.558051e+04 2.818214e+07 2.527231e-06 7.110750e-12 2.409034e-16 2.280843e-14 3.178395e-16 2.625068e-16 5.442301e-15 3.105311e-16 5.831999e-15
1.400000e+01 1.558004e+04 1.325949e+07 5.148861e-06 1.142772e-11 3.021757e-16 2.280545e-14 2.493807e-06 3.172539e-16 5.442430e-15 2.604533e-06 5.833215e-15
1.500000e+01 1.557997e+04 1.589919e+07 2.527228e-06 8.134247e-12 2.409034e-16 2.280420e-14 3.119833e-05 2.625055e-16 5.442352e-15 3.455808e-05 5.832410e-15
1.600000e+01 1.558068e+04 1.209071e+07 5.148855e-06 1.316838e-11 3.021757e-16 2.280479e-14 4.916499e-06 3.172528e-16 5.440720e-15 5.489203e-06 5.817284e-15
