long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 1.155651e+08 5.398290e-04 1.238552e-05 2.102340e-04 4.104296e-07 1.965883e-06 1.948630e-11 5.494332e-16 4.860773e-08 1.392178e-08 6.079438e-13 2.365142e-09 3.078047e-07
1.000000e+00 1.232978e+08 5.398546e-04 1.238546e-05 2.111396e-04 3.496531e-01 2.105456e-06 1.984550e-11 5.494319e-16 4.938247e-08 1.956777e-08 6.079497e-13 2.509638e-09 3.689254e-07
2.000000e+00 1.153523e+08 5.399159e-04 1.238658e-05 2.138879e-04 1.799601e-01 4.213172e-06 2.531337e-11 5.494312e-16 6.107171e-08 1.229526e-06 6.079757e-13 2.896802e-09 2.417544e-06
3.000000e+00 2.182230e+08 5.386796e-04 1.238180e-05 8.198564e-05 1.046073e-04 5.393167e-08 4.014468e-11 5.494312e-16 9.152966e-08 8.083123e-09 6.075076e-13 3.637929e-09 1.610675e-08
4.000000e+00 1.058497e+08 5.400756e-04 1.238946e-05 2.215001e-04 4.465079e+01 3.116794e-05 7.922125e-11 5.494317e-16 1.660907e-07 1.138926e-01 6.079561e-13 4.974865e-09 4.535519e-04
5.000000e+00 1.239861e+08 5.390076e-04 1.238498e-05 9.900169e-05 1.966935e-01 8.552519e-07 2.412573e-12 5.494328e-16 1.400789e-08 6.744926e-04 6.079101e-13 1.167652e-09 6.419938e-06
6.000000e+00 1.137637e+08 5.395620e-04 1.238855e-05 1.427602e-04 1.855476e+02 1.995659e-05 8.249362e-11 5.494323e-16 1.546894e-07 6.015017e+00 6.077993e-13 4.881590e-09 1.138601e-03
7.000000e+00 9.859489e+07 5.391458e-04 1.238596e-05 9.940886e-05 9.082113e+02 5.449400e-06 3.417728e-10 5.494359e-16 5.495166e-08 3.078535e+01 6.078541e-13 1.944492e-09 5.878026e-04
8.000000e+00 8.877066e+07 5.403689e-04 1.239162e-05 2.361810e-04 2.855141e+04 7.103308e-04 5.709414e-10 5.494382e-16 1.534906e-06 1.054695e+03 6.078430e-13 1.368612e-08 2.665144e+00
9.000000e+00 1.011540e+08 5.392854e-04 1.238589e-05 1.078545e-04 2.060334e+05 1.545741e-05 2.318987e-11 5.494421e-16 1.153614e-07 5.809390e+03 6.078502e-13 2.869021e-09 3.509034e-02
1.000000e+01 7.156819e+07 5.405116e-04 1.239161e-05 1.053988e-04 9.947697e+05 2.397374e-03 1.396822e-09 5.494481e-16 3.437829e-06 6.871445e+03 6.078757e-13 1.750027e-08 2.789976e-01
1.100000e+01 9.263612e+07 5.394435e-04 1.238602e-05 1.104633e-04 3.555703e+06 7.158497e-05 4.999090e-11 5.494570e-16 2.875079e-07 4.666176e+03 6.079201e-13 2.020467e-08 1.123868e+00
1.200000e+01 6.023754e+07 5.406768e-04 1.239191e-05 2.450576e-04 7.899578e+06 9.946925e-03 1.665130e-09 5.494701e-16 6.980962e-06 3.193726e+02 6.079841e-13 2.562415e-08 1.600757e+00
1.300000e+01 9.375309e+07 5.394631e-04 1.238585e-05 1.034328e-04 1.875383e+07 5.874070e-04 1.747941e-09 5.494891e-16 1.087257e-05 3.250364e+06 6.075392e-13 6.438143e-09 1.034241e+00
1.400000e+01 5.007276e+07 5.396756e-04 1.239228e-05 1.080064e-04 2.418118e+07 6.483132e-02 2.397657e-09 5.495167e-16 2.115845e-05 5.707291e+02 6.080376e-13 4.312893e-08 2.881987e+02
1.500000e+01 6.944246e+07 5.395348e-04 1.238572e-05 1.011863e-04 2.395101e+07 4.552033e-03 4.317353e-09 5.494273e-16 3.509419e-06 1.811684e+04 6.080281e-13 8.370764e-09 6.536578e-01
1.600000e+01 4.624449e+07 5.409179e-04 1.239232e-05 1.073612e-04 5.369975e+07 8.330971e-01 1.030342e-08 5.495167e-16 1.010949e-04 9.908944e+04 6.080399e-13 6.419358e-08 1.462852e+03
