long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
0.000000e+00 2.266557e-16 6.351115e+07 1.314990e-15 5.460740e-16 8.361137e-07 5.416848e-16 1.227675e-15 1.398412e-15 2.253897e-09 1.727185e-12
1.000000e+00 2.247868e-16 7.399715e+08 2.659233e-16 4.972977e-16 9.257105e-08 4.943113e-16 2.630333e-16 2.672073e-16 2.190902e-09 1.725610e-12
2.000000e+00 2.280083e-16 3.430192e+08 4.231313e-16 5.442664e-16 8.539619e-07 5.408756e-16 4.078764e-16 4.308495e-16 2.254500e-09 1.727200e-12
3.000000e+00 2.274161e-16 4.649894e+08 2.659233e-16 5.012462e-16 1.210279e-07 4.989044e-16 2.630333e-16 2.672070e-16 2.191852e-09 1.725635e-12
4.000000e+00 2.341892e-16 7.571814e+07 4.231312e-16 5.482748e-16 1.103348e-06 5.456171e-16 4.078764e-16 4.308492e-16 2.255817e-09 1.727234e-12
5.000000e+00 2.339267e-16 1.049009e+08 2.659233e-16 5.093642e-16 1.897446e-07 5.075090e-16 2.630333e-16 2.672070e-16 2.193493e-09 1.725679e-12
6.000000e+00 2.497109e-16 2.371812e+08 4.231312e-16 5.580747e-16 1.794977e-06 5.559229e-16 4.078764e-16 4.308492e-16 2.257849e-09 1.727289e-12
7.000000e+00 2.494926e-16 1.089437e+08 2.659233e-16 5.219374e-16 3.581702e-07 5.204174e-16 2.630333e-16 2.672070e-16 2.195828e-09 1.725744e-12
8.000000e+00 2.898993e-16 7.043008e+06 4.231313e-16 5.739583e-16 3.677454e-06 5.720993e-16 4.078764e-16 4.308493e-16 2.260600e-09 1.727364e-12
9.000000e+00 2.885237e-16 3.095932e+07 2.659233e-16 5.394204e-16 8.187226e-07 5.380805e-16 2.630333e-16 2.672071e-16 2.198859e-09 1.725829e-12
1.000000e+01 4.231027e-16 1.013977e+08 6.692405e-16 5.965451e-16 1.808665e-07 5.947588e-16 6.315891e-16 6.914940e-16 2.264071e-09 1.727459e-12
1.100000e+01 4.002032e-16 5.203887e+06 3.615429e-16 5.624692e-16 1.865630e-06 5.611394e-16 3.515962e-16 3.664997e-16 2.202588e-09 1.725935e-12
1.200000e+01 5.019523e-16 1.345048e+07 4.231313e-16 5.756653e-16 2.678252e-06 5.742939e-16 4.078764e-16 4.308493e-16 2.204629e-09 1.725992e-12
1.300000e+01 6.295705e-16 3.870338e+07 3.615430e-16 5.891698e-16 3.844831e-06 5.877565e-16 3.515962e-16 3.664998e-16 2.206671e-09 1.726050e-12
1.400000e+01 2.803940e-15 7.609425e+06 1.348127e-15 6.581181e-16 4.960859e-07 6.559934e-16 1.237586e-15 1.426856e-15 2.080327e-09 1.719436e-12
1.500000e+01 1.538489e-15 7.653074e+07 3.615430e-16 6.202324e-16 6.976177e-06 6.186179e-16 3.515962e-16 3.664999e-16 2.210028e-09 1.726123e-12
1.600000e+01 2.997521e-15 5.654226e+07 4.231313e-16 6.379667e-16 8.817224e-06 6.361863e-16 4.078764e-16 4.308494e-16 2.211341e-09 1.726138e-12
1.700000e+01 5.840235e-15 5.417239e+07 3.615430e-16 6.562070e-16 1.114413e-05 6.542533e-16 3.515962e-16 3.664999e-16 2.212656e-09 1.726153e-12
