long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 4.990711e+05 9.596189e-16 1.936674e-05 5.969279e-16 2.716120e+08 2.120332e+00 9.781270e+05 4.228712e-03 6.877205e+07 2.060015e-11 1.357990e-06 8.547962e+02 3.835723e-07
1.000000e+00 8.640281e+05 9.596189e-16 2.693044e-03 3.341781e-16 3.456539e+08 1.569448e+00 1.063344e+06 2.861392e-12 6.862032e+07 2.063077e-11 5.569169e+05 8.547965e+02 7.570792e-14
2.000000e+00 7.016062e+05 9.596189e-16 1.163999e-06 4.360156e-16 4.488551e+08 7.318483e+06 1.268309e+06 6.948227e-04 1.266080e+08 2.113997e-11 1.159875e-02 8.549173e+02 4.283244e-08
3.000000e+00 1.426799e+06 9.596189e-16 6.997458e+00 3.341773e-16 2.972520e+08 3.997511e+01 1.163479e+06 9.733021e-07 8.025908e+07 1.193812e-11 2.221780e+03 8.548196e+02 3.973197e-10
4.000000e+00 7.712914e+05 9.596189e-16 8.705842e-02 6.413908e-16 3.151831e+08 8.784865e+00 1.172168e+06 2.091718e-01 9.131283e+07 2.322278e-11 8.470692e+02 8.548015e+02 1.634256e-08
5.000000e+00 1.547998e+06 9.596189e-16 3.044094e+01 3.341776e-16 5.525843e+08 2.604342e+03 1.143332e+06 5.634819e-03 8.487624e+07 1.368559e-11 4.422893e+05 8.548240e+02 8.630037e-10
6.000000e+00 8.878699e+05 9.596189e-16 1.893913e-03 6.413911e-16 5.866173e+08 9.293416e+01 9.638139e+05 8.286221e-03 8.618440e+07 1.749407e-12 6.749141e+04 8.548039e+02 2.611317e-07
7.000000e+00 1.408063e+06 9.596189e-16 3.845651e-03 3.341776e-16 6.583596e+08 2.046601e+03 1.115241e+06 2.375472e+02 9.105294e+07 1.488330e-11 1.938248e+06 8.548265e+02 4.030452e-08
8.000000e+00 1.123269e+06 9.596189e-16 3.114227e+01 6.413911e-16 4.246234e+08 7.247979e+00 8.951152e+05 2.075615e+02 7.650680e+07 1.896535e-12 1.895095e+05 8.548065e+02 2.017714e-10
9.000000e+00 1.499229e+06 9.596189e-16 1.812719e-03 3.341776e-16 5.211856e+08 2.356468e+01 1.067382e+06 7.228518e+04 9.364323e+07 1.399690e-11 1.652925e+06 8.548272e+02 5.459854e-07
1.000000e+01 7.570797e+05 9.596189e-16 1.416964e-04 6.413911e-16 8.662838e+08 1.455858e+07 9.877485e+05 1.068835e+05 1.088875e+08 2.247846e-11 7.154087e+04 8.549274e+02 2.008962e-04
1.100000e+01 1.593187e+06 9.596189e-16 8.634626e-01 3.341776e-16 6.098375e+08 9.436956e+01 1.007813e+06 1.664172e+06 9.548140e+07 1.248235e-11 3.620287e+05 8.548314e+02 3.633789e-06
1.200000e+01 6.314478e+05 9.596189e-16 7.402299e-06 6.413911e-16 5.818363e+08 5.973178e+01 8.541681e+05 3.180084e+06 8.818772e+07 2.001723e-11 1.331345e+03 8.548133e+02 3.664628e-02
1.300000e+01 1.114337e+06 9.596189e-16 3.517734e-05 3.341776e-16 1.142647e+09 9.574383e+04 9.415746e+05 1.422939e+07 9.828663e+07 1.157860e-11 3.760848e+03 8.548391e+02 2.811132e-03
1.400000e+01 4.753995e+05 9.596189e-16 8.406230e-05 6.413911e-16 8.182126e+08 8.767636e+04 7.016884e+05 1.237910e+07 7.641676e+07 1.862281e-11 1.422951e-04 8.548166e+02 3.596046e-03
1.500000e+01 5.483111e+05 9.596189e-16 1.942934e-10 3.341776e-16 1.154409e+09 2.666303e+06 8.597076e+05 5.616512e+07 9.427995e+07 1.116849e-11 2.127387e-04 8.548447e+02 5.978929e+00
1.600000e+01 1.875524e+05 9.596189e-16 9.173585e-09 6.413911e-16 7.696029e+08 1.277382e+06 6.818812e+05 5.011085e+07 7.829058e+07 1.784966e-12 5.441952e-04 8.548197e+02 5.248709e+00
1.700000e+01 1.809001e+05 9.596189e-16 1.372015e-11 3.341776e-16 8.342157e+08 1.006638e+07 7.647508e+05 1.028927e+08 8.364755e+07 1.021732e-11 1.622416e-11 8.548480e+02 8.426031e+02
1.800000e+01 4.710687e+04 9.596189e-16 4.698138e-09 6.413911e-16 4.203705e+08 8.421799e+06 5.951553e+05 6.276258e+07 5.875859e+07 1.513511e-11 1.381441e-09 8.548270e+02 7.992896e+02
1.900000e+01 2.874431e+04 9.596189e-16 6.582202e-11 3.341776e-16 3.597115e+08 1.291006e+07 6.651439e+05 1.062977e+08 6.829192e+07 8.862269e-12 3.176309e-12 8.548493e+02 1.876045e+04
2.000000e+01 3.162031e+03 9.596189e-16 3.009570e-06 6.413911e-16 2.604411e+08 6.672499e+06 5.189261e+05 8.073031e+07 5.365261e+07 1.458786e-12 6.300367e-07 8.548269e+02 1.021108e+04
2.100000e+01 1.089902e+03 9.596189e-16 4.755418e-07 3.341776e-16 1.149530e+08 9.811038e+06 5.656130e+05 7.521275e+07 5.158598e+07 7.293541e-12 8.494966e-08 8.548487e+02 1.080001e+05
2.200000e+01 5.164701e+04 9.596189e-16 1.707920e-10 6.413911e-16 1.584106e+08 2.306043e+07 4.637087e+05 8.916011e+07 4.202766e+07 9.944759e-12 6.012362e-14 8.548227e+02 3.417875e+04
2.300000e+01 2.669633e+02 9.596189e-16 5.490860e-07 3.341776e-16 6.194226e+07 9.340829e+06 4.723447e+05 5.961599e+07 3.770868e+07 5.691319e-12 5.750948e-08 8.548461e+02 1.765579e+05
2.400000e+01 1.264614e+02 9.596189e-16 5.121376e-06 6.413911e-16 1.596300e+08 1.014160e+07 3.412887e+05 4.667857e+07 2.937234e+07 7.795935e-12 1.251218e-07 8.548223e+02 7.047882e+04
2.500000e+01 2.326837e+02 9.596189e-16 1.346269e-10 3.341776e-16 9.166416e+07 1.429220e+07 3.858280e+05 5.091940e+07 2.680886e+07 4.606334e-12 4.885432e-13 8.548415e+02 1.155512e+05
2.600000e+01 3.782832e+04 9.596189e-16 3.899642e-08 6.413911e-16 1.218866e+08 3.016076e+07 2.878567e+05 3.249572e+07 1.591027e+07 6.356538e-12 2.980502e-12 8.548161e+02 1.526464e+04
2.700000e+01 6.749945e+02 9.596189e-16 2.044078e-10 3.341776e-16 1.481957e+08 2.647148e+07 3.068002e+05 3.385358e+07 1.753407e+07 3.863983e-12 1.954800e-14 8.548350e+02 3.111101e+04
2.800000e+01 1.528344e+03 9.596189e-16 2.577808e-05 6.413915e-16 3.008268e+08 1.794889e+07 2.130213e+05 1.329416e+07 9.217993e+06 6.024422e-13 2.101008e-13 8.548040e+02 7.079095e+02
2.900000e+01 1.066137e+04 9.596189e-16 4.386507e-06 3.341780e-16 2.343326e+08 4.397751e+07 2.372783e+05 1.444815e+07 9.956370e+06 3.059462e-12 1.127208e-14 8.548264e+02 1.791191e+03
3.000000e+01 8.597152e+03 9.596189e-16 7.188272e-09 8.734379e-16 3.092878e+08 2.603667e+07 1.625654e+05 4.652313e+06 4.983314e+06 3.905061e-12 5.988442e-13 8.548005e+02 1.687936e+01
3.100000e+01 2.473288e+04 9.596189e-16 4.443820e-04 5.076677e-16 4.721616e+08 3.935732e+07 1.778343e+05 3.678783e+06 4.900448e+06 2.284652e-12 3.479543e-14 8.548157e+02 1.672840e+01
3.200000e+01 2.345762e+04 9.596189e-16 9.020557e-06 6.413911e-16 6.081723e+08 3.307965e+07 1.527595e+05 1.661407e+06 3.323360e+06 1.991002e-12 6.278647e-14 8.548099e+02 1.052419e+00
3.300000e+01 1.968067e+04 9.596189e-16 1.009321e-07 5.076677e-16 8.207167e+08 2.780330e+07 1.312203e+05 7.503222e+05 2.253818e+06 1.735095e-12 4.643287e-14 8.548041e+02 6.620983e-02
3.400000e+01 3.823849e+03 9.596189e-16 3.772861e-05 8.734379e-16 5.037359e+08 4.853020e+06 8.160725e+04 1.565894e+04 6.059837e+05 2.204595e-12 2.219389e-12 8.547736e+02 9.304097e+01
3.500000e+01 4.121068e+03 9.596189e-16 3.519414e-09 3.341780e-16 9.017443e+08 1.044962e+07 9.484355e+04 4.550738e+04 8.776625e+05 1.338827e-12 4.500975e-14 8.547914e+02 5.759304e-03
3.600000e+01 7.221411e+05 9.596189e-16 2.784529e-03 6.413915e-16 4.998745e+08 2.462418e+06 5.552114e+04 2.954417e+01 1.776836e+05 1.713020e-12 2.054620e-11 8.547593e+02 8.093962e-06
3.700000e+01 8.391948e+03 9.596189e-16 4.802565e-04 3.341776e-16 4.358453e+08 1.563960e+06 6.561228e+04 7.754442e+01 2.391026e+05 1.065937e-12 2.818481e-12 8.547765e+02 1.130616e-03
3.800000e+01 1.356544e+04 9.596189e-16 2.236513e-04 6.413955e-16 5.323449e+08 1.289083e+05 4.562496e+04 5.697574e-04 6.213405e+04 1.376274e-12 3.420931e-05 8.548688e+02 1.297872e-07
3.900000e+01 1.757245e+05 9.596189e-16 1.197848e+02 3.341817e-16 2.946573e+08 9.296361e+04 4.388404e+04 4.612224e-04 4.821155e+04 8.749604e-13 1.944607e-05 8.547649e+02 2.170072e-06
4.000000e+01 1.017366e+05 9.596189e-16 1.221890e+00 1.508863e-14 3.818928e+08 3.530810e+02 4.133775e+05 1.383910e-02 1.173649e+04 1.142347e-12 3.552179e-07 8.548615e+02 1.343702e-05
4.100000e+01 6.125043e+05 9.596189e-16 4.155926e+02 5.741462e-14 3.887376e+08 6.262215e+02 3.384767e+04 7.974897e-09 7.879677e+03 7.399225e-13 3.902470e+01 8.547619e+02 2.626593e-09
4.200000e+01 8.356247e+05 9.596189e-16 4.081664e+02 1.037957e-10 4.603929e+08 2.375264e+01 3.209169e+04 2.941619e-10 3.030321e+03 6.854642e-13 4.543700e+02 8.547625e+02 2.351713e-10
4.300000e+01 1.300822e+06 9.596189e-16 2.007261e+03 7.348562e-05 5.459069e+08 9.009399e-01 3.042680e+04 1.085045e-11 1.165384e+03 6.350140e-13 9.000254e+03 8.547631e+02 2.105599e-11
4.400000e+01 6.492493e+05 9.596189e-16 1.891524e+01 8.734379e-16 3.421750e+08 6.101645e-07 1.816780e+04 2.168143e-11 1.703822e+05 8.376539e-13 1.637094e+02 8.547351e+02 3.557455e-11
4.500000e+01 2.489522e+06 9.596189e-16 1.818574e+04 4.277439e-07 4.533531e+08 1.581281e-05 2.659119e+04 7.176685e-14 5.047561e+02 5.527651e-13 1.880951e+05 8.547631e+02 4.212987e-13
4.600000e+01 1.190889e+06 9.596189e-16 4.267802e+02 1.037964e-10 5.724619e+08 3.370787e-05 1.602189e+04 8.662072e-14 1.386268e+02 7.392437e-13 2.433239e+02 8.547405e+02 5.732645e-13
4.700000e+01 2.829026e+06 9.596189e-16 1.327404e+04 3.341940e-16 3.801464e+08 1.620602e-10 2.202221e+04 5.432997e-15 4.921963e+02 4.949042e-13 3.041283e+03 8.547607e+02 3.878598e-14
4.800000e+01 1.485769e+06 9.596189e-16 3.830275e+02 6.414091e-16 5.726219e+08 3.408438e-10 1.516115e+04 6.602170e-15 1.107584e+02 6.725851e-13 8.203565e-04 8.548593e+02 5.480774e-14
4.900000e+01 2.713079e+06 9.596189e-16 1.044756e+04 3.341776e-16 6.964256e+08 6.931610e-13 1.750007e+04 1.584687e-15 2.859741e+02 4.555667e-13 4.101490e-04 8.547617e+02 1.014282e-14
5.000000e+01 9.711463e+05 9.596189e-16 2.755863e+01 6.413911e-16 4.668496e+08 2.611884e-12 2.098828e+05 2.234104e-15 4.749227e+01 6.307192e-13 3.646331e-02 8.547395e+02 1.676274e-14
5.100000e+01 2.002445e+06 9.596189e-16 9.513932e+02 3.341776e-16 8.338309e+08 1.080841e-13 1.591100e+04 1.059016e-15 9.884024e+01 4.310262e-13 3.087272e-09 8.547659e+02 5.744496e-15
5.200000e+01 5.486643e+05 9.596189e-16 2.131506e-02 6.413908e-16 6.966693e+08 1.348032e-12 9.987148e+03 2.012341e-15 1.164969e+04 6.095569e-13 4.530957e-02 8.547477e+02 1.245340e-14
