long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.424425e-08 3.677716e+07 2.220446e-16 1.250241e+06 6.072432e-04 7.996714e-02 6.410877e-11 5.058950e-03 8.954258e-13 1.168068e+04 3.653065e+05 1.189676e-06
1.000000e+00 1.424428e-08 7.128264e+07 2.220446e-16 1.474568e+06 6.072624e-04 7.995498e-02 6.408965e-11 5.055494e-03 5.645551e-13 3.536599e+04 2.203659e+05 2.999028e-08
2.000000e+00 1.424428e-08 6.262305e+07 2.220446e-16 1.508575e+06 6.072486e-04 7.995825e-02 6.408966e-11 5.057872e-03 5.645560e-13 3.186039e+04 2.434502e+05 3.527112e-08
3.000000e+00 1.424427e-08 5.524539e+07 2.220446e-16 1.549784e+06 6.072423e-04 7.996102e-02 6.408967e-11 5.058715e-03 5.645568e-13 2.870228e+04 2.689527e+05 4.148184e-08
4.000000e+00 1.424427e-08 4.889838e+07 2.220446e-16 1.598971e+06 6.072347e-04 7.996346e-02 6.408968e-11 5.059230e-03 5.645576e-13 2.585721e+04 2.971267e+05 4.878618e-08
5.000000e+00 1.424426e-08 4.338749e+07 2.220446e-16 1.657098e+06 6.072145e-04 7.996574e-02 6.408969e-11 5.060151e-03 5.645584e-13 2.329415e+04 3.282520e+05 5.737670e-08
6.000000e+00 1.424429e-08 1.196903e+08 2.220446e-16 4.903274e+06 6.072487e-04 7.996119e-02 6.404021e-11 5.057878e-03 8.954263e-13 6.922300e+03 5.383505e+05 1.417079e-06
7.000000e+00 1.424426e-08 7.456502e+07 2.220446e-16 3.678386e+06 6.072292e-04 7.996688e-02 6.408969e-11 5.057244e-03 5.645608e-13 1.574208e+04 5.170086e+05 9.413825e-08
8.000000e+00 1.424422e-08 8.831385e+07 2.220446e-16 3.879480e+06 6.072236e-04 7.995981e-02 6.410880e-11 5.060034e-03 5.798735e-14 3.515264e+03 2.968579e+05 3.183098e-09
9.000000e+00 1.424425e-08 1.725243e+08 2.220446e-16 8.406635e+06 6.072289e-04 7.996163e-02 6.408966e-11 5.057447e-03 5.645601e-13 7.037614e+03 4.383881e+05 1.462559e-07
1.000000e+01 1.424427e-08 9.247111e+07 2.220446e-16 1.598291e+06 6.072476e-04 7.997332e-02 6.410878e-11 5.057934e-03 8.954195e-13 1.063988e+03 4.808428e-02 2.693624e-06
1.100000e+01 1.424424e-08 1.363149e+08 2.220446e-16 2.639064e+06 6.072112e-04 7.996048e-02 6.408966e-11 5.060552e-03 5.645561e-13 1.923765e+03 1.999416e+00 2.168318e-07
1.200000e+01 1.424423e-08 9.035183e+07 2.220446e-16 7.749418e+05 6.072242e-04 7.996344e-02 6.408967e-11 5.059908e-03 5.645545e-13 8.824000e+02 1.533243e-05 2.886535e-07
1.300000e+01 1.424423e-08 6.028905e+07 2.220446e-16 2.276834e+05 6.072096e-04 7.996623e-02 6.408967e-11 5.060640e-03 5.645530e-13 4.047427e+02 1.175761e-10 3.842649e-07
1.400000e+01 1.424425e-08 1.079129e+08 2.220446e-16 1.712607e+06 6.072424e-04 7.996320e-02 6.404225e-11 5.058995e-03 8.954057e-13 4.688061e+01 1.273860e+05 8.433336e-06
1.500000e+01 1.424423e-08 4.022523e+07 2.220446e-16 6.953113e+04 6.072123e-04 7.996904e-02 6.408965e-11 5.060507e-03 5.645506e-13 6.749271e+01 1.878130e-13 8.222080e-07
1.600000e+01 1.424422e-08 4.010947e+07 2.220446e-16 7.181065e+04 6.072335e-04 7.996924e-02 6.408963e-11 5.059453e-03 5.645499e-13 2.453699e+01 3.912232e-11 1.321535e-06
1.700000e+01 1.424422e-08 4.003818e+07 2.220446e-16 7.326128e+04 6.072403e-04 7.996965e-02 6.408961e-11 5.059124e-03 5.645491e-13 8.920427e+00 8.149360e-09 2.124104e-06
1.800000e+01 1.424422e-08 4.001064e+07 2.220446e-16 7.383853e+04 6.072429e-04 7.997031e-02 6.408959e-11 5.059049e-03 5.645483e-13 3.243023e+00 1.697549e-06 3.414073e-06
1.900000e+01 1.424422e-08 4.002656e+07 2.220446e-16 7.352464e+04 6.072448e-04 7.997126e-02 6.408957e-11 5.059122e-03 5.645476e-13 1.179002e+00 3.536074e-04 5.487441e-06
2.000000e+01 1.424422e-08 4.008610e+07 2.220446e-16 7.232926e+04 6.072489e-04 7.997255e-02 6.408955e-11 5.059447e-03 5.645468e-13 4.286263e-01 7.365804e-02 8.819965e-06
2.100000e+01 1.424422e-08 4.018988e+07 2.220446e-16 7.028911e+04 6.072612e-04 7.997429e-02 6.408953e-11 5.060489e-03 5.645461e-13 1.558272e-01 1.534331e+01 1.417633e-05
2.200000e+01 1.424424e-08 3.648921e+07 2.220446e-16 1.109666e+05 6.072439e-04 7.997082e-02 6.410864e-11 5.058837e-03 8.953904e-13 8.043422e-04 3.077294e-16 2.294995e-06
2.300000e+01 1.424422e-08 3.893136e+07 2.220446e-16 7.789548e+04 6.072630e-04 7.997658e-02 6.408950e-11 5.060184e-03 5.645454e-13 9.790343e-03 6.420410e-02 3.080432e-05
2.400000e+01 1.424422e-08 3.760664e+07 2.220446e-16 8.887976e+04 6.072553e-04 7.997728e-02 6.408949e-11 5.058402e-03 5.645454e-13 1.691952e-03 1.289756e-06 4.164495e-05
2.500000e+01 1.424422e-08 3.635095e+07 2.220446e-16 1.002925e+05 6.072648e-04 7.997874e-02 6.408948e-11 5.055844e-03 5.645455e-13 2.924007e-04 2.590911e-11 5.630061e-05
