long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 4.727987e+09 4.866599e+08 1.305939e+08 1.315417e+07 1.370348e+09 7.303395e+02 1.056679e+06 2.220446e-16 4.393172e+06 3.415275e+07 4.818562e+03 1.961253e+00 1.772962e-13
1.000000e+00 4.456269e+09 1.537627e+08 5.627941e+07 9.156394e+06 8.677324e+08 7.303389e+02 1.057067e+06 2.220446e-16 3.785298e+06 3.745351e+07 4.634359e+03 8.537163e+06 1.772973e-13
2.000000e+00 7.186474e+09 2.762448e+08 1.059237e+08 1.338825e+07 2.291247e+09 7.303396e+02 1.057407e+06 2.220446e-16 1.094308e+07 7.264588e+07 1.079825e+07 3.690116e+02 1.772971e-13
3.000000e+00 5.016352e+09 3.677686e+07 1.997094e+07 6.396275e+06 1.049514e+09 7.303389e+02 1.057050e+06 2.220446e-16 1.685505e+07 7.987520e+07 1.001662e+04 6.406646e+03 1.772970e-13
4.000000e+00 5.499759e+09 4.616721e+07 3.010334e+07 8.332833e+06 2.301600e+09 7.303389e+02 1.056973e+06 2.220446e-16 1.767797e+07 9.863243e+07 2.890673e+04 5.812591e+04 1.772970e-13
5.000000e+00 5.742602e+09 3.986194e+07 2.678969e+07 6.778084e+06 2.625248e+09 7.303388e+02 1.056839e+06 2.220446e-16 2.880844e+07 1.311274e+08 5.128485e+04 2.794108e+05 1.772973e-13
6.000000e+00 6.501454e+09 3.625722e+07 2.254047e+07 8.187113e+06 2.265070e+09 7.303380e+02 1.056655e+06 2.220446e-16 2.592749e+07 1.632625e+08 7.315558e+04 7.292737e+05 1.772977e-13
7.000000e+00 6.649135e+09 5.439162e+07 5.493170e+07 1.385700e+07 3.979892e+09 7.303763e+02 1.056965e+06 2.220446e-16 3.160137e+07 2.853234e+08 1.101054e+05 1.800063e+06 1.772968e-13
8.000000e+00 6.049243e+09 3.568089e+08 5.162328e+08 4.030464e+07 8.870491e+09 7.303384e+02 1.056585e+06 2.220446e-16 1.501792e+07 2.887891e+08 6.979643e+04 1.453103e+06 1.772967e-13
9.000000e+00 3.730360e+09 9.802784e+07 1.749928e+08 1.982921e+07 2.800075e+09 7.303320e+02 1.054875e+06 2.220446e-16 3.512562e+05 5.032322e+07 1.437163e+04 2.505802e+05 1.772976e-13
