long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
0.000000e+00 1.350411e+09 2.227516e-16 3.914229e+08 7.821920e-16 9.362918e+06 8.435033e-16 8.412050e-16 3.884634e-16 2.936649e-15 7.514811e-16
1.000000e+00 1.419950e+09 2.220598e-16 5.280091e+08 7.821840e-16 2.391136e+07 2.557443e-16 2.547333e-16 3.207928e-16 2.936639e-15 2.377217e-16
2.000000e+00 2.140790e+09 2.220602e-16 5.409594e+08 7.821910e-16 3.425133e+07 3.645208e-16 3.623218e-16 4.160802e-16 2.936646e-15 2.883437e-16
3.000000e+00 1.664411e+09 2.220456e-16 4.979362e+08 7.821838e-16 1.612874e+07 2.554657e-16 2.547333e-16 3.814982e-16 2.936637e-15 2.377177e-16
4.000000e+00 1.373168e+09 2.220543e-16 5.670259e+08 7.821910e-16 1.346906e+07 3.643034e-16 3.623217e-16 5.755221e-16 2.936646e-15 2.883400e-16
5.000000e+00 1.967940e+09 2.220537e-16 4.832483e+08 7.821839e-16 1.462869e+07 2.555683e-16 2.547333e-16 5.422874e-16 2.936638e-15 2.377185e-16
6.000000e+00 2.210958e+09 2.223292e-16 5.009754e+08 7.821919e-16 2.485753e+07 5.147620e-16 5.117018e-16 1.148369e-15 2.936648e-15 3.622575e-16
7.000000e+00 2.078482e+09 2.222638e-16 4.822159e+08 7.821881e-16 1.622330e+07 3.230354e-16 3.215533e-16 1.034607e-15 2.936643e-15 2.702665e-16
8.000000e+00 2.184958e+09 2.224657e-16 4.831590e+08 7.821909e-16 1.989457e+07 3.641751e-16 3.623217e-16 1.567639e-15 2.936645e-15 2.883390e-16
9.000000e+00 2.296957e+09 2.226677e-16 4.841039e+08 7.821881e-16 2.439662e+07 3.230354e-16 3.215533e-16 2.375291e-15 2.936644e-15 2.702665e-16
1.000000e+01 2.877093e+09 2.359165e-16 4.667882e+08 7.821919e-16 3.935278e+07 5.147621e-16 5.117018e-16 1.263967e-14 2.936651e-15 3.622575e-16
1.100000e+01 2.727706e+09 2.324524e-16 4.828245e+08 7.821839e-16 4.189912e+07 2.555683e-16 2.547333e-16 8.630070e-15 2.936644e-15 2.377185e-16
1.200000e+01 2.594749e+09 6.713198e-16 4.057557e+08 7.821910e-16 3.934203e+07 3.643265e-16 3.623217e-16 1.285674e-13 2.936655e-15 2.885320e-16
1.300000e+01 3.211477e+09 6.710034e-16 4.638170e+08 7.821837e-16 6.527806e+07 2.554844e-16 2.547333e-16 1.047630e-13 2.936653e-15 2.378844e-16
1.400000e+01 2.931036e+09 8.937049e-05 3.807816e+08 7.821909e-16 9.613871e+07 3.781944e-16 3.623249e-16 1.084415e-11 2.936672e-15 4.456897e-06
1.500000e+01 3.271052e+09 8.936875e-05 4.188144e+08 7.821837e-16 9.539796e+07 2.668314e-16 2.547358e-16 9.674522e-12 2.936682e-15 1.288191e-05
1.600000e+01 2.154918e+09 7.819857e-05 3.209427e+08 7.821909e-16 1.292162e+08 1.233926e-06 1.350555e-06 3.221085e-08 2.936720e-15 7.725225e-06
1.700000e+01 2.575058e+09 1.047274e+07 3.525133e+08 7.821837e-16 1.676602e+08 2.455333e-05 2.620061e-05 3.020284e-08 2.936761e-15 1.245198e+06
1.800000e+01 2.174164e+09 1.499293e+07 3.778012e+08 7.821909e-16 5.733564e+07 8.667039e-07 1.099833e-06 3.531640e-11 2.936643e-15 1.568341e+05
1.900000e+01 1.710121e+09 3.732124e+07 2.954753e+08 7.821837e-16 1.331253e+08 1.504811e+06 2.127756e+06 5.211339e-06 2.936761e-15 2.966420e+06
2.000000e+01 8.544507e+08 8.949591e+07 2.700790e+08 7.821909e-16 8.255144e+06 1.188909e-06 1.350543e-06 3.509833e-11 2.936719e-15 7.725045e-06
