long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 4.025660e+06 9.841402e+04 2.415710e-03 9.145020e+02 1.680229e+08 3.550572e+06 2.353434e+04 9.318737e-16 4.195250e+05 6.480475e+07 1.494599e-04 1.336043e-06 1.027104e+06 1.951039e-01
1.000000e+00 4.024839e+06 9.823119e+04 2.415699e-03 9.144977e+02 1.971039e+08 3.550571e+06 2.353318e+04 9.356429e-16 4.194667e+05 6.485588e+07 1.302012e-04 1.359977e-06 1.027082e+06 2.440461e-05
2.000000e+00 4.025656e+06 9.840801e+04 2.415711e-03 9.145017e+02 1.765126e+08 3.550572e+06 2.353434e+04 9.405925e-16 4.195249e+05 6.483575e+07 1.494708e-04 1.785653e-08 1.027104e+06 1.837690e-01
3.000000e+00 4.025728e+06 9.843298e+04 2.415704e-03 9.145028e+02 1.699674e+08 3.550572e+06 2.353441e+04 9.177363e-16 4.195296e+05 6.482460e+07 1.388080e-04 2.751889e-07 1.027106e+06 4.864141e-03
4.000000e+00 4.025621e+06 9.841562e+04 2.415700e-03 9.145022e+02 1.656664e+08 3.550572e+06 2.353426e+04 9.529566e-16 4.195238e+05 6.481787e+07 1.300785e-04 1.717034e-06 1.027105e+06 1.549460e-03
5.000000e+00 4.025652e+06 9.843188e+04 2.415712e-03 9.145029e+02 1.904785e+08 3.550572e+06 2.353443e+04 9.604124e-16 4.195319e+05 6.485176e+07 1.306292e-04 4.924165e-08 1.027107e+06 3.612605e-03
6.000000e+00 4.025693e+06 9.843307e+04 2.415701e-03 9.145028e+02 1.738089e+08 3.550572e+06 2.353437e+04 9.691458e-16 4.195277e+05 6.482055e+07 1.303311e-04 2.082116e-06 1.027106e+06 3.827484e-03
7.000000e+00 4.025636e+06 9.843153e+04 2.415714e-03 9.145029e+02 1.739846e+08 3.550572e+06 2.353438e+04 9.791979e-16 4.195309e+05 6.483627e+07 1.494714e-04 6.956722e-08 1.027107e+06 2.823598e-03
8.000000e+00 4.025787e+06 9.843959e+04 2.415702e-03 9.145029e+02 1.975693e+08 3.550572e+06 2.353444e+04 9.906168e-16 4.195297e+05 6.484625e+07 1.304949e-04 2.437574e-06 1.027107e+06 7.218745e-04
9.000000e+00 4.025734e+06 9.843483e+04 2.415702e-03 9.145029e+02 1.857491e+08 3.550572e+06 2.353442e+04 1.003458e-15 4.195302e+05 6.482751e+07 1.494494e-04 8.735107e-08 1.027107e+06 4.050702e-02
1.000000e+01 4.025803e+06 9.843543e+04 2.415703e-03 9.145030e+02 1.843655e+08 3.550572e+06 2.353442e+04 3.666953e-16 4.195288e+05 6.482750e+07 1.494455e-04 8.633584e-08 1.027106e+06 1.884403e-02
1.100000e+01 4.025800e+06 9.843482e+04 2.415703e-03 9.145028e+02 1.925391e+08 3.550572e+06 2.353439e+04 9.922885e-16 4.195282e+05 6.484088e+07 1.494537e-04 2.029242e-06 1.027106e+06 2.777343e-02
1.200000e+01 4.025712e+06 9.842147e+04 2.415703e-03 9.145022e+02 2.097176e+08 3.550572e+06 2.353432e+04 9.686813e-16 4.195243e+05 6.485857e+07 1.494741e-04 1.856146e-06 1.027105e+06 2.069226e-04
1.300000e+01 4.025695e+06 9.842082e+04 2.415708e-03 9.145021e+02 1.909713e+08 3.550572e+06 2.353428e+04 9.197015e-16 4.195235e+05 6.484374e+07 1.388387e-04 4.374016e-07 1.027104e+06 3.886074e-03
1.400000e+01 4.025713e+06 9.841743e+04 2.415707e-03 9.145022e+02 1.933937e+08 3.550572e+06 2.353432e+04 8.994605e-16 4.195255e+05 6.484570e+07 1.388695e-04 4.688251e-07 1.027105e+06 6.916595e-03
1.500000e+01 4.025623e+06 9.840768e+04 2.415702e-03 9.145015e+02 1.969404e+08 3.550572e+06 2.353422e+04 9.046730e-16 4.195213e+05 6.484329e+07 1.304689e-04 2.493478e-06 1.027103e+06 4.953093e-04
1.600000e+01 4.025713e+06 9.841702e+04 2.415707e-03 9.145022e+02 1.980430e+08 3.550572e+06 2.353432e+04 8.613523e-16 4.195255e+05 6.484845e+07 1.389216e-04 6.408557e-07 1.027105e+06 1.167652e-02
1.700000e+01 4.025623e+06 9.840796e+04 2.415706e-03 9.145015e+02 2.005405e+08 3.550572e+06 2.353422e+04 8.434165e-16 4.195213e+05 6.484930e+07 1.389429e-04 8.172954e-07 1.027103e+06 1.107524e-02
1.800000e+01 4.025623e+06 9.840768e+04 2.415706e-03 9.145015e+02 2.030968e+08 3.550572e+06 2.353422e+04 8.258765e-16 4.195213e+05 6.485023e+07 1.389642e-04 1.042312e-06 1.027103e+06 1.050493e-02
1.900000e+01 4.025623e+06 9.840768e+04 2.415705e-03 9.145015e+02 2.058649e+08 3.550572e+06 2.353422e+04 8.087211e-16 4.195213e+05 6.485125e+07 1.389856e-04 1.329281e-06 1.027103e+06 9.963985e-03
2.000000e+01 4.025623e+06 9.840808e+04 2.415705e-03 9.145015e+02 2.090171e+08 3.550572e+06 2.353422e+04 7.919394e-16 4.195213e+05 6.485239e+07 1.390069e-04 1.695257e-06 1.027103e+06 9.450902e-03
2.100000e+01 4.025702e+06 9.842075e+04 2.415704e-03 9.145022e+02 2.127576e+08 3.550572e+06 2.353434e+04 7.755211e-16 4.195255e+05 6.485368e+07 1.390282e-04 2.161994e-06 1.027105e+06 8.964243e-03
2.200000e+01 4.025623e+06 9.840768e+04 2.415699e-03 9.145015e+02 2.101400e+08 3.550572e+06 2.353422e+04 7.781359e-16 4.195213e+05 6.486087e+07 1.497285e-04 4.276045e-07 1.027103e+06 2.029261e+00
2.300000e+01 4.025703e+06 9.842129e+04 2.415703e-03 9.145022e+02 2.193013e+08 3.550572e+06 2.353434e+04 7.444758e-16 4.195255e+05 6.485839e+07 1.390821e-04 2.858735e-06 1.027105e+06 2.294976e-02
2.400000e+01 4.025694e+06 9.842497e+04 2.415702e-03 9.145022e+02 2.224637e+08 3.550572e+06 2.353434e+04 7.298000e-16 4.195249e+05 6.486191e+07 1.391147e-04 2.963974e-06 1.027105e+06 6.194442e-02
2.500000e+01 4.025704e+06 9.842721e+04 2.415697e-03 9.145023e+02 2.340791e+08 3.550572e+06 2.353437e+04 7.318652e-16 4.195262e+05 6.488372e+07 1.309233e-04 5.018309e-07 1.027105e+06 1.863399e-02
