long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 1.279212e+07 2.043910e-13 8.049945e+04 5.543957e+02 2.933626e+05 1.073769e-14 2.220455e-16 4.212648e-15 8.340656e-16 2.349209e-08 1.485940e-14
1.000000e+00 7.999952e+06 1.221581e-13 1.043868e+02 7.992655e-06 1.737994e+05 1.391648e-06 2.220450e-16 2.425038e-16 8.338378e-16 4.371414e-09 3.103392e-16
2.000000e+00 1.071194e+07 2.053857e-13 8.404152e+01 3.161308e-04 4.655907e+05 1.071394e-06 2.220545e-16 3.143054e-16 8.339504e-16 2.313334e-08 7.450754e-16
3.000000e+00 8.730023e+06 1.299204e-13 2.864972e+02 1.322126e+05 3.997398e+05 2.637800e-16 2.220545e-16 2.425037e-16 8.337437e-16 4.092945e-09 3.085605e-16
4.000000e+00 7.961392e+06 2.168995e-13 1.725036e+02 2.450788e+04 5.402086e+05 4.305806e-16 2.222927e-16 3.143074e-16 8.338750e-16 2.083136e-08 7.915879e-16
5.000000e+00 9.596471e+06 1.439526e-13 6.676785e+02 5.961073e+05 1.142999e+06 2.631423e-16 2.222927e-16 2.425053e-16 8.336856e-16 3.669753e-09 3.316208e-16
6.000000e+00 9.500408e+06 1.062056e-14 4.488161e+02 1.848809e+05 6.418928e+06 4.295745e-16 2.283473e-16 1.065471e-04 8.338328e-16 1.718571e-08 4.884237e-06
7.000000e+00 1.036615e+07 1.438217e-13 1.297099e+03 1.140449e+06 5.786998e+06 2.631423e-16 2.283473e-16 1.310230e-04 8.336584e-16 3.153478e-09 1.629681e-05
8.000000e+00 7.653782e+06 7.562054e-15 6.882315e+02 8.461459e+04 5.760552e+05 4.295744e-16 4.477798e-16 1.574131e-05 8.338200e-16 1.306863e-08 1.480971e-06
9.000000e+00 1.076331e+07 1.101621e-13 2.076128e+03 1.115738e+06 8.075401e+06 2.631423e-16 4.477798e-16 1.011327e+07 8.336596e-16 2.600168e-09 2.184078e+05
1.000000e+01 8.497923e+06 1.305894e-13 1.449813e+03 1.584964e+03 7.562334e+05 4.295744e-16 9.558728e-09 1.968422e+04 8.338353e-16 9.249469e-09 5.626557e+01
1.100000e+01 1.052075e+07 7.466357e-14 2.785745e+03 1.951210e+03 6.050201e+05 2.631423e-16 9.558728e-09 4.830415e+03 8.336894e-16 2.060235e-09 2.488630e+02
1.200000e+01 2.409496e+07 8.692198e-14 5.664415e+03 9.146747e+04 8.423525e+06 4.295744e-16 2.220446e-16 3.077732e+05 8.338803e-16 3.748876e-10 1.508471e-06
1.300000e+01 1.103256e+07 5.253224e-14 3.775037e+03 2.189173e+03 2.399255e+05 2.631423e-16 9.558729e-09 1.854862e+03 8.337504e-16 1.571497e-09 1.820776e-08
1.400000e+01 9.488386e+06 6.037330e-14 2.217064e+03 2.730610e+02 1.589174e+05 4.295744e-16 9.558846e-09 2.913570e+02 8.339588e-16 3.974890e-09 1.025769e-08
1.500000e+01 1.241110e+07 3.828267e-14 5.021606e+03 1.523278e+05 5.990194e+05 2.631423e-16 4.477808e-16 5.338287e+04 8.338481e-16 1.156371e-09 3.464990e-16
1.600000e+01 1.373475e+07 4.361604e-14 3.580801e+03 1.077248e+04 1.076845e+06 4.295891e-16 4.479188e-16 6.145264e-06 8.340779e-16 2.469826e-09 3.579683e-07
1.700000e+01 1.369582e+07 2.883728e-14 5.728175e+03 1.047666e+04 9.650590e+05 2.631515e-16 2.283594e-16 1.801068e-06 8.339913e-16 8.227974e-10 8.912019e-07
1.800000e+01 1.395480e+07 3.268323e-14 4.754353e+03 5.536761e-01 9.013135e+05 7.853534e-16 2.306667e-16 2.412677e-03 8.342483e-16 9.443053e-11 1.928395e-15
1.900000e+01 1.515157e+07 2.241255e-14 5.984809e+03 4.640120e-01 1.654154e+06 3.646084e-16 2.225879e-16 2.882291e-16 8.341926e-16 5.675946e-10 2.347325e-02
2.000000e+01 1.590467e+07 1.990961e-14 6.026769e+03 3.272947e-05 1.948532e+06 4.295745e-16 2.226311e-16 3.143071e-16 8.343073e-16 4.679476e-10 3.319721e-07
2.100000e+01 1.669520e+07 1.768618e-14 6.069022e+03 4.243226e-10 2.295300e+06 3.646085e-16 2.226743e-16 2.882275e-16 8.344171e-16 3.857947e-10 8.923899e-12
2.200000e+01 2.072389e+07 1.962330e-14 4.776979e+03 2.275317e+03 3.583626e+06 7.878714e-16 2.337176e-16 4.380129e-16 8.347024e-16 5.578569e-10 1.194624e-10
2.300000e+01 1.877526e+07 1.414887e-14 5.950488e+03 1.294340e-05 3.642535e+06 2.638252e-16 2.306838e-16 2.425051e-16 8.346847e-16 2.591419e-10 3.179108e-16
2.400000e+01 2.066147e+07 1.566605e-14 3.767920e+03 9.292331e-13 4.450383e+06 3.610403e-06 5.773893e-16 2.168619e-06 8.350267e-16 3.419155e-10 7.615571e-16
2.500000e+01 2.162187e+07 1.162536e-14 5.310564e+03 1.294457e-05 6.256667e+06 4.891575e-06 5.771578e-16 2.490540e-06 8.350727e-16 1.702670e-10 3.085171e-16
2.600000e+01 2.221129e+07 1.287133e-14 3.170123e+05 2.629315e+04 6.028070e+06 5.565951e-06 5.530670e-06 4.303817e-06 8.354873e-16 2.089683e-10 7.410629e-16
2.700000e+01 2.484004e+07 9.798061e-15 8.102319e+03 2.420211e-05 8.643932e+06 1.419400e+05 5.530581e-06 5.137629e+04 8.356159e-16 1.097839e-10 3.085536e-16
2.800000e+01 2.351200e+07 1.086667e-14 9.379374e+03 1.534407e-04 1.625155e+07 1.261167e+05 1.807551e-05 1.737043e+05 8.361256e-16 2.259081e-11 7.902793e-16
2.900000e+01 2.793371e+07 8.461457e-15 2.129872e+04 1.684028e+05 1.399917e+07 6.230465e+05 1.652130e+05 6.226706e+05 8.363632e-16 6.969942e-11 3.310279e-16
3.000000e+01 2.468872e+07 9.414903e-15 2.401447e+04 5.911580e+04 1.101305e+07 1.467274e+05 2.741513e+05 5.398018e+05 8.369992e-16 1.438075e-11 2.791118e-06
3.100000e+01 3.023422e+07 7.480181e-15 5.057456e+04 2.377787e+05 2.149587e+07 1.299605e+06 2.192874e+06 5.929597e+06 8.373820e-16 4.372406e-11 8.845353e-06
3.200000e+01 2.624116e+07 8.362077e-15 5.144488e+04 3.902612e+04 8.997840e+06 1.615846e+05 8.798475e+05 2.117125e+06 8.381869e-16 9.682040e-12 1.277179e-06
3.300000e+01 3.129099e+07 6.763897e-15 1.079652e+05 3.989319e+05 1.342758e+07 3.826649e+05 1.645181e+06 6.230627e+06 8.387646e-16 2.720015e-11 1.008959e+05
3.400000e+01 3.082113e+07 7.606979e-15 1.071734e+05 1.193443e+05 6.259442e+06 1.157317e+05 1.981407e+06 1.017751e+07 8.335506e-16 6.660030e-12 8.508738e+03
3.500000e+01 3.158704e+07 6.251997e-15 2.065042e+05 6.553854e+05 4.250417e+06 1.434780e+05 8.090788e+05 1.298867e+07 8.387632e-16 1.684102e-11 9.175999e+04
3.600000e+01 3.168073e+07 7.082943e-15 1.763714e+05 1.645960e+05 2.142774e+05 2.991965e+04 1.303670e+05 3.061050e+06 8.381842e-16 4.145860e-12 2.176571e+03
3.700000e+01 3.179603e+07 5.904154e-15 3.505133e+05 2.189866e+06 2.945677e+05 8.509053e+04 1.629456e+05 1.798843e+07 8.373779e-16 1.041631e-11 9.056812e+04
3.800000e+01 3.565556e+07 6.746856e-15 3.093053e+05 1.533672e+05 9.288171e+02 4.389162e-06 1.549229e-05 3.340315e+05 8.369935e-16 2.617050e-12 2.403746e-06
3.900000e+01 3.247244e+07 5.694480e-15 5.282363e+05 1.800095e+06 5.875267e+02 3.749343e-06 6.325160e-06 2.667194e+05 8.363559e-16 6.459724e-12 3.988225e-06
4.000000e+01 3.485373e+07 6.572561e-15 5.383082e+05 3.894351e+05 5.297237e-02 2.798893e-06 6.325256e-06 3.640037e-05 8.361165e-16 7.125135e-12 1.345868e-06
4.100000e+01 3.387945e+07 5.607985e-15 7.383210e+05 1.511243e+06 6.774944e-03 2.644765e-16 5.802573e-16 1.472493e-06 8.356048e-16 4.031490e-12 3.302583e-16
4.200000e+01 3.195350e+07 6.547085e-15 5.931338e+05 3.478185e-04 1.852052e+02 2.847619e-06 5.804783e-16 1.293842e-06 8.354739e-16 4.514281e-12 7.898269e-16
