long.t Lactobacillus_crispatus Lactobacillus_gasseri g_Megasphaera g_Gemella Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 2.396795e+05 2.182357e+08 1.642916e-13 2.328338e-16 8.167769e-10 1.758805e+06 2.812406e+03 2.592463e-14
1.000000e+00 3.332618e+05 2.313608e+08 1.642915e-13 3.364378e-11 2.522372e-09 2.188329e-05 6.979879e+04 2.591082e-14
2.000000e+00 2.090262e+05 2.338072e+08 1.642915e-13 8.502486e-11 4.416818e-09 3.094537e-06 7.291174e+03 2.592872e-14
3.000000e+00 3.044697e+05 2.342730e+08 1.642914e-13 1.262405e-12 2.522241e-09 5.995225e+04 5.526199e+04 2.591868e-14
4.000000e+00 2.068731e+05 2.232040e+08 1.642915e-13 1.786249e-12 4.416517e-09 4.522137e-06 9.449360e+03 2.594049e-14
5.000000e+00 2.593875e+05 2.358442e+08 1.642914e-13 1.173905e-13 2.522196e-09 1.330294e-05 7.140597e+04 2.593455e-14
6.000000e+00 1.811055e+05 2.280218e+08 1.642915e-13 1.348643e-13 4.416384e-09 1.330295e-05 7.248790e+03 2.596075e-14
7.000000e+00 2.080782e+05 2.343228e+08 1.642915e-13 2.108239e-14 2.522238e-09 1.074847e-15 8.919508e+04 2.595951e-14
8.000000e+00 1.469095e+05 2.390148e+08 1.642916e-13 2.248710e-14 4.416420e-09 1.074847e-15 1.285292e+04 2.599089e-14
9.000000e+00 1.580632e+05 2.333819e+08 1.642916e-13 6.106311e-15 2.522368e-09 2.454517e-16 1.258035e+05 2.599531e-14
1.000000e+01 7.868953e+04 2.092176e+08 1.642918e-13 6.361868e-15 7.912249e-10 2.454547e-16 1.001013e+04 2.603300e-14
1.100000e+01 1.094049e+05 2.293590e+08 1.642920e-13 2.504492e-15 2.522451e-09 2.234663e-16 1.890716e+05 2.604439e-14
1.200000e+01 5.163876e+04 2.161084e+08 1.642915e-13 2.602395e-15 4.416514e-09 2.235094e-16 1.175617e+04 2.592809e-14
1.300000e+01 6.618886e+04 2.194356e+08 1.642920e-13 1.324680e-15 2.522487e-09 2.221803e-16 1.127003e+05 2.606793e-14
1.400000e+01 2.928201e+04 2.115833e+08 1.642918e-13 1.387415e-15 4.416572e-09 2.228574e-16 1.002871e+04 2.608048e-14
