long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Gemella Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 2.019387e-14 7.075248e-14 9.445769e-16 1.019551e-15 4.322739e-15 5.755595e-16 7.454894e-13 3.194682e-10 3.945945e-01
1.000000e+00 1.410629e-14 7.074321e-14 9.431957e-16 1.019492e-15 4.319801e-15 5.303455e-16 1.472735e-13 1.991969e-11 3.927227e-05
2.000000e+00 2.024428e-14 7.075354e-14 9.439353e-16 1.019535e-15 4.322740e-15 5.753982e-16 8.351941e-13 3.700136e-10 5.532343e-08
3.000000e+00 1.475195e-14 7.074491e-14 9.427275e-16 1.019484e-15 4.319802e-15 5.357930e-16 2.765182e-13 5.489327e-11 3.219647e-04
4.000000e+00 2.106387e-14 7.075586e-14 9.435922e-16 1.019532e-15 4.322743e-15 5.806673e-16 1.825541e-12 1.308143e-09 3.029935e+01
5.000000e+00 1.590301e-14 7.074787e-14 9.424771e-16 1.019483e-15 4.319805e-15 5.454121e-16 8.271013e-13 3.306253e-10 1.046251e-02
6.000000e+00 2.273001e-14 7.075947e-14 9.434089e-16 1.019531e-15 4.322746e-15 5.913838e-16 7.600437e-12 1.353976e-08 6.788671e-03
7.000000e+00 1.768232e-14 7.075212e-14 9.423437e-16 1.019483e-15 4.319809e-15 5.595108e-16 4.233691e-12 4.873709e-09 6.486491e+01
8.000000e+00 2.543250e-14 7.076437e-14 9.433116e-16 1.019531e-15 4.322751e-15 6.078096e-16 6.416205e-11 1.727577e-10 7.640295e+00
9.000000e+00 2.029375e-14 7.075767e-14 9.422733e-16 1.019483e-15 4.319814e-15 5.785535e-16 4.126097e-11 4.390939e-08 4.211396e+02
1.000000e+01 2.951275e-14 7.077058e-14 9.432609e-16 1.019531e-15 4.271939e-15 6.304564e-16 6.338920e-13 8.875058e-10 3.637984e+00
1.100000e+01 2.406477e-14 7.076455e-14 9.422376e-16 1.019483e-15 4.319811e-15 6.031912e-16 1.808355e-10 5.881666e-08 2.554668e+01
1.200000e+01 3.554243e-14 7.069501e-14 9.432366e-16 1.019531e-15 4.322743e-15 6.601148e-16 1.719680e-09 7.299810e-07 9.804855e-04
1.300000e+01 2.952117e-14 7.076737e-14 9.422223e-16 1.019483e-15 4.319798e-15 6.343055e-16 3.925378e-10 5.660197e-08 7.561901e-04
1.400000e+01 4.446891e-14 7.077622e-14 9.432287e-16 1.019531e-15 4.322731e-15 6.979086e-16 6.826406e-09 1.335820e-06 6.698899e-02
1.500000e+01 3.751976e-14 7.076614e-14 9.422211e-16 1.019483e-15 4.319787e-15 6.730726e-16 2.181058e-09 1.843202e-07 3.588178e-07
1.600000e+01 5.788365e-14 7.077568e-14 9.432340e-16 1.019531e-15 4.322721e-15 7.453813e-16 8.466697e-08 1.029331e-05 9.807226e-02
1.700000e+01 4.948974e-14 7.076627e-14 9.422335e-16 1.019483e-15 4.319777e-15 7.210524e-16 3.469785e-08 2.187893e-06 1.367605e-03
1.800000e+01 7.852793e-14 7.077649e-14 9.432549e-16 1.019531e-15 4.322711e-15 8.046248e-16 3.869422e-06 3.788981e-04 1.600422e-03
1.900000e+01 6.788434e-14 7.076777e-14 9.422647e-16 1.019483e-15 4.319768e-15 7.803158e-16 1.893646e-06 1.106314e-04 7.400636e+01
2.000000e+01 1.112763e-13 7.077867e-14 9.432996e-16 1.019531e-15 4.322703e-15 8.784689e-16 5.129830e-07 5.631218e-05 2.452690e+01
2.100000e+01 9.705478e-14 7.077063e-14 9.423271e-16 1.019483e-15 4.319760e-15 8.536259e-16 9.114081e-05 6.330966e-03 2.888735e+03
2.200000e+01 1.651206e-13 7.070030e-14 9.433861e-16 1.019531e-15 4.322695e-15 9.707595e-16 1.785406e-05 3.458246e-03 6.337380e+02
2.300000e+01 1.450044e-13 7.076954e-14 9.424460e-16 1.019484e-15 4.319753e-15 9.446998e-16 9.978596e-04 1.159146e-01 9.105484e+03
2.400000e+01 2.573387e-13 7.077648e-14 9.435494e-16 1.019534e-15 4.322689e-15 1.086770e-15 1.197564e-04 4.754160e-02 1.597469e+03
2.500000e+01 2.270515e-13 7.076449e-14 9.426691e-16 1.019490e-15 4.319748e-15 1.058590e-15 2.942453e-03 8.414440e-01 1.153499e+04
2.600000e+01 4.226586e-13 7.077211e-14 9.438555e-16 1.019547e-15 4.322684e-15 1.233821e-15 2.288807e-04 3.854754e-01 8.693261e+02
2.700000e+01 3.738152e-13 7.076079e-14 9.430865e-16 1.019518e-15 4.319743e-15 1.202249e-15 2.635348e-03 2.895604e+00 6.990879e+03
2.800000e+01 4.859104e-13 7.075928e-14 9.432313e-16 1.019531e-15 4.319741e-15 1.285707e-15 1.881110e-03 4.599377e+00 5.929510e+03
2.900000e+01 6.316193e-13 7.075779e-14 9.431088e-16 1.019518e-15 4.319740e-15 1.374958e-15 1.342736e-03 7.306020e+00 9.711372e+03
3.000000e+01 1.270087e-12 7.076611e-14 9.439023e-16 1.019547e-15 4.322677e-15 1.637080e-15 3.404616e-05 3.017547e+00 1.206612e+03
3.100000e+01 1.099434e-12 7.075548e-14 9.427449e-16 1.019490e-15 4.319736e-15 1.585312e-15 3.495691e-04 1.411786e+01 2.659371e+04
3.200000e+01 1.824574e-13 7.076446e-14 9.436619e-16 1.019534e-15 4.322674e-15 1.917743e-15 4.027953e-06 3.956686e+00 3.099237e+03
3.300000e+01 1.708304e-12 7.075449e-14 9.426057e-16 1.019484e-15 4.319734e-15 1.859006e-15 2.273987e-05 1.549161e+01 2.556747e+04
3.400000e+01 2.554815e-13 7.076412e-14 9.436095e-16 1.019532e-15 4.322672e-15 2.289568e-15 1.635580e-04 3.328687e+00 3.856778e+03
3.500000e+01 1.997600e-12 7.075481e-14 9.426352e-16 1.019484e-15 4.319733e-15 2.220152e-15 1.565298e-06 9.389217e+00 1.609421e+04
3.600000e+01 3.254086e-12 7.076510e-14 9.437240e-16 1.019534e-15 4.322672e-15 2.790423e-15 1.873691e-05 1.047497e+00 1.130605e+03
3.700000e+01 2.096805e-12 7.075645e-14 9.428453e-16 1.019490e-15 4.319733e-15 2.704479e-15 4.740814e-07 2.942482e+00 5.748047e+03
3.800000e+01 2.703839e-13 7.068435e-14 9.440515e-16 1.019547e-15 4.322673e-15 3.478132e-15 3.945603e-09 1.436987e-01 3.560502e+01
3.900000e+01 1.972350e-12 7.075399e-14 9.433208e-16 1.019518e-15 4.319735e-15 3.366047e-15 1.174629e-07 4.101953e-01 2.102700e+02
4.000000e+01 1.781242e-12 7.075039e-14 9.435271e-16 1.019531e-15 4.319735e-15 3.776325e-15 3.708619e-08 1.226002e-01 2.028799e+01
4.100000e+01 1.608650e-12 7.074680e-14 9.434953e-16 1.019518e-15 4.319736e-15 4.236611e-15 1.170911e-08 3.664441e-02 2.775998e+00
4.200000e+01 2.325373e-12 7.075300e-14 9.444181e-16 1.019547e-15 4.322676e-15 5.664513e-15 5.570379e-08 1.681028e+00 4.559775e-05
4.300000e+01 1.354414e-12 7.074025e-14 9.434388e-16 1.019490e-15 4.319739e-15 5.403035e-15 2.009365e-09 8.836599e-03 2.518945e-04
4.400000e+01 2.009885e-12 7.074707e-14 9.446049e-16 1.019534e-15 4.322679e-15 7.431962e-15 1.248460e-08 8.811720e-01 2.132149e-02
4.500000e+01 1.214635e-12 7.073495e-14 9.438870e-16 1.019485e-15 4.319742e-15 7.082352e-15 9.820125e-10 1.531600e-02 1.320323e-07
4.600000e+01 1.859579e-12 7.074239e-14 9.453602e-16 1.019533e-15 4.322683e-15 1.006098e-14 9.523527e-09 3.444342e-03 1.475789e-02
4.700000e+01 1.159317e-12 7.073088e-14 9.450213e-16 1.019487e-15 4.319747e-15 9.564197e-15 1.304315e-09 4.447419e-02 1.803537e-04
4.800000e+01 1.840909e-12 7.073893e-14 9.469902e-16 1.019539e-15 4.322689e-15 1.409449e-14 2.398471e-08 4.566351e-03 2.186154e-05
4.900000e+01 1.177263e-12 7.072802e-14 9.473024e-16 1.019500e-15 4.319753e-15 1.334052e-14 4.796329e-09 4.806621e-02 5.526510e-01
