long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
0.000000e+00 4.379936e+08 1.721479e-13 2.021019e+07 3.208992e+00 6.634153e-13 3.889578e-15 4.061226e-15 2.183486e-14 4.025295e-16 2.227457e-16 1.888194e-15 5.845153e-13
1.000000e+00 4.904009e+08 1.398318e-13 4.100540e+07 1.278848e+01 2.473088e-14 1.821643e-15 1.499072e-15 2.183420e-14 3.149950e-16 2.224204e-16 2.432897e-16 6.902890e-16
2.000000e+00 2.510830e+08 1.721479e-13 2.705100e+07 9.746525e+02 1.036295e-11 2.992281e-15 5.873586e-15 2.183485e-14 4.956499e-16 2.233478e-16 3.168988e-16 9.556009e-15
3.000000e+00 4.165588e+08 1.398318e-13 2.822624e+07 1.451014e+01 3.950049e-12 1.864017e-15 3.833986e-15 2.183422e-14 4.615394e-16 2.232900e-16 2.432897e-16 6.902791e-16
4.000000e+00 3.575311e+08 1.721479e-13 2.485538e+07 3.045135e+00 2.165617e-06 3.260186e-15 3.261841e-14 2.183490e-14 1.253965e-15 2.264950e-16 3.168988e-16 9.555899e-15
5.000000e+00 1.378131e+08 1.398318e-13 1.868202e+07 1.946855e+01 1.475470e-06 2.374345e-15 2.617932e-14 2.183430e-14 1.219098e-15 2.264791e-16 2.432897e-16 6.902791e-16
6.000000e+00 2.338835e+08 1.721479e-13 2.361027e+07 6.709480e+00 4.027102e-07 4.814658e-15 1.040143e-12 2.183501e-14 1.283744e-14 2.382203e-16 3.168988e-16 9.555899e-15
7.000000e+00 1.371764e+08 1.398318e-13 1.468785e+07 2.069912e+01 2.942324e-01 3.867272e-15 9.254247e-13 2.183443e-14 1.269191e-14 2.382157e-16 2.432897e-16 6.902791e-16
8.000000e+00 3.135033e+08 1.721479e-13 1.791951e+07 8.365615e+00 1.316771e-03 9.870225e-15 6.064764e-10 2.183517e-14 3.439184e-12 2.851138e-16 3.168988e-16 9.555899e-15
9.000000e+00 3.038724e+08 1.398318e-13 1.452937e+07 1.842532e+01 1.068394e+00 8.502308e-15 5.788192e-10 2.183462e-14 3.436678e-12 2.851172e-16 2.432897e-16 6.902791e-16
1.000000e+01 1.175782e+08 1.721479e-13 9.963663e+06 5.916671e+00 1.884071e-06 3.007033e-14 5.460843e-05 2.183539e-14 2.086498e-06 5.398805e-16 3.168988e-16 9.556604e-15
1.100000e+01 6.002685e+07 1.398318e-13 1.349832e+07 1.365876e+01 3.644565e-05 2.753578e-14 5.894472e-05 2.183487e-14 2.203198e-06 5.403059e-16 2.432897e-16 6.903432e-16
1.200000e+01 3.445832e+08 1.721479e-13 2.718985e+07 2.044444e+02 7.508851e-04 1.515593e-13 5.910777e-05 2.182854e-14 2.495171e-07 5.067359e-15 3.168988e-16 1.028960e-06
1.300000e+01 3.388578e+07 1.398318e-13 1.463942e+07 1.238880e+01 1.565371e-09 1.496605e-13 5.154818e+00 2.183485e-14 3.151700e-01 5.248618e-15 2.432897e-16 9.036844e-06
1.400000e+01 8.943652e+07 1.721479e-13 1.480350e+07 5.200223e+00 9.282724e-07 2.906281e-16 3.440316e+00 2.183536e-14 6.291565e-04 4.206603e-12 2.660379e-16 1.325946e-02
1.500000e+01 3.663063e+08 1.721479e-13 2.270861e+07 5.751745e+00 3.962669e-04 3.016323e-13 5.006353e+01 2.183524e-14 6.261706e-06 1.050098e-06 2.660379e-16 8.552545e+03
1.600000e+01 5.496860e+08 1.398318e-13 2.373414e+07 1.234271e+01 1.385966e-03 4.016506e-14 1.390347e+03 2.183449e-14 2.154205e-06 2.902049e-04 2.432897e-16 1.136204e+05
1.700000e+01 8.100744e+08 1.721479e-13 2.623476e+07 4.798241e+00 2.463780e-02 2.922128e-14 8.645856e+01 2.183506e-14 3.282695e-08 9.042152e-02 2.660379e-16 1.296996e+04
1.800000e+01 2.231393e+09 1.721479e-13 2.987886e+07 3.882663e+00 7.728147e+01 1.191559e-14 1.797551e+01 2.183500e-14 3.925732e-12 1.936113e+04 2.432897e-16 7.988823e-06
1.900000e+01 1.064637e+09 1.721479e-13 2.606997e+07 2.668327e+00 1.488940e+02 6.144731e-15 3.732504e-01 2.183496e-14 4.947479e-14 5.835602e+04 2.432897e-16 1.142141e-05
2.000000e+01 7.495808e+08 1.721479e-13 3.365738e+07 1.937441e+00 8.484568e-01 3.832730e-15 1.955758e+03 2.183496e-14 6.270046e-15 2.399006e+01 2.660379e-16 1.129654e-09
2.100000e+01 2.361301e+08 1.398318e-13 3.254628e+07 2.667063e+00 9.422307e-02 1.919677e-15 9.870720e-02 2.183432e-14 1.038658e-15 4.887867e-01 2.432897e-16 6.310970e-06
2.200000e+01 4.425161e+08 1.721479e-13 3.751532e+07 1.843737e+01 2.881008e+02 1.990413e-15 1.100124e-04 2.183500e-14 1.010924e-15 2.939541e+07 3.168988e-16 9.555865e-15
2.300000e+01 3.070777e+08 1.398318e-13 3.150345e+07 1.276115e+00 8.594819e-05 1.173779e-15 9.276376e-03 2.183439e-14 4.239043e-16 1.031429e-01 2.432897e-16 6.310998e-06
2.400000e+01 3.803435e+08 1.721479e-13 2.416671e+07 3.878764e-01 2.673074e-11 1.261998e-15 2.879024e+01 2.183510e-14 4.231450e-16 2.423845e-02 3.168988e-16 7.737682e-07
2.500000e+01 1.265525e+09 1.398318e-13 2.961037e+07 7.279205e-01 1.150977e-07 8.487267e-16 3.740242e-03 2.183452e-14 2.912301e-16 1.492321e+04 2.432897e-16 6.903422e-16
2.600000e+01 5.757838e+08 1.721479e-13 1.648035e+07 5.932351e+00 1.255796e-07 9.427072e-16 6.154731e-06 2.183525e-14 2.913513e-16 2.909679e+01 3.168988e-16 9.556593e-15
2.700000e+01 1.813708e+09 1.398318e-13 2.096432e+07 4.906452e-01 1.194480e-12 7.000830e-16 5.029590e-03 2.183470e-14 2.489290e-16 1.651533e+03 2.432897e-16 6.902791e-16
2.800000e+01 4.465633e+08 1.721479e-13 8.778489e+06 1.551172e-01 1.509128e-12 8.082397e-16 1.308860e-07 2.183546e-14 2.492639e-16 2.188236e-05 3.168988e-16 9.555899e-15
2.900000e+01 6.432829e+08 1.398318e-13 1.004447e+07 3.864420e-01 1.123377e-14 6.448440e-16 3.612045e-06 2.183494e-14 2.332868e-16 2.209855e-05 2.432897e-16 6.902791e-16
3.000000e+01 5.809998e+08 1.721479e-13 7.679417e+06 1.387034e-01 1.982184e-14 7.847065e-16 2.396744e-05 2.183573e-14 2.340571e-16 3.323387e-05 3.168988e-16 9.555952e-15
3.100000e+01 4.585278e+08 1.398318e-13 4.171658e+06 2.449591e-01 2.369436e-15 6.572388e-16 1.241822e-09 2.183523e-14 2.274993e-16 3.307008e-13 2.432897e-16 6.902839e-16
3.200000e+01 3.204232e+08 1.721479e-13 1.133685e+06 5.888660e-02 1.075231e-14 8.640198e-16 4.644629e-08 2.183605e-14 2.295091e-16 1.769612e-12 4.392498e-16 8.270393e-14
