long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.765557e+00 5.501277e+08 8.612119e-16 8.755724e-11 2.220590e-16 8.957426e-16 6.905499e-16 1.013763e-15 4.313790e-16 3.537738e-14 8.979214e-16 2.220507e-16
1.000000e+00 1.523296e+00 7.696595e+07 1.098525e-15 8.997062e-11 2.220624e-16 2.491260e-16 6.903138e-16 1.025345e-15 2.334310e-16 3.639704e-14 2.460209e-16 2.220485e-16
2.000000e+00 1.769105e+00 1.691747e+08 3.564669e-15 1.163464e-10 2.220797e-16 2.786608e-16 6.905304e-16 1.039808e-15 2.449139e-16 4.636299e-14 2.720621e-16 2.220477e-16
3.000000e+00 1.589754e+00 2.677027e+08 5.545552e-15 3.920475e-11 2.220867e-16 2.490881e-16 6.671897e-16 1.037394e-15 2.333304e-16 3.003083e-14 2.460209e-16 2.220467e-16
4.000000e+00 1.776973e+00 2.387416e+08 6.743680e-13 3.001394e-10 2.221644e-16 3.469673e-16 6.918659e-16 1.075755e-15 2.693296e-16 1.115824e-13 3.314693e-16 2.220475e-16
5.000000e+00 1.599422e+00 3.515604e+08 8.202184e-13 1.247812e-10 2.221673e-16 2.490912e-16 6.693414e-16 1.076537e-15 2.333379e-16 8.081665e-14 2.460209e-16 2.220470e-16
6.000000e+00 1.543092e+00 3.867257e+08 1.350520e-07 5.698637e-12 2.223894e-16 3.469715e-16 6.941040e-16 1.120661e-15 2.693380e-16 4.056776e-13 3.314693e-16 2.220485e-16
7.000000e+00 1.610651e+00 3.836473e+08 1.464250e-07 2.963970e-10 2.223904e-16 2.490912e-16 6.723065e-16 1.125083e-15 2.333379e-16 3.179111e-13 2.460209e-16 2.220482e-16
8.000000e+00 1.556129e+00 5.120305e+08 6.108976e-10 1.124779e-11 2.230163e-16 3.469715e-16 6.972532e-16 1.176181e-15 2.693380e-16 1.774801e-15 3.314693e-16 2.220511e-16
9.000000e+00 1.620269e+00 4.828961e+08 9.857266e-04 2.761292e-10 2.230166e-16 2.490912e-16 6.760990e-16 1.184865e-15 2.333379e-16 4.389773e-13 2.460209e-16 2.220510e-16
1.000000e+01 1.555996e+00 4.212251e+08 3.544938e-10 4.768260e-12 2.247820e-16 3.469715e-16 7.013266e-16 6.873195e-16 2.693380e-16 7.989571e-13 3.314693e-16 2.220563e-16
1.100000e+01 1.628165e+00 5.824486e+08 2.070367e-07 9.552199e-11 2.247821e-16 2.490912e-16 6.807370e-16 1.176362e-15 2.333379e-16 2.172358e-13 2.460209e-16 2.220562e-16
1.200000e+01 1.567559e+00 6.563718e+08 2.069936e-07 1.458977e-10 2.298092e-16 3.469715e-16 7.063426e-16 1.159011e-15 2.693380e-16 4.564315e-13 3.314693e-16 2.220662e-16
1.300000e+01 1.634260e+00 6.371219e+08 9.939836e-13 2.321647e-11 2.298092e-16 2.490912e-16 6.862429e-16 1.100928e-15 2.333379e-16 1.674703e-13 2.460209e-16 2.220662e-16
1.400000e+01 1.571348e+00 5.724854e+08 9.939695e-13 3.640951e-11 2.445184e-16 3.469715e-16 7.123250e-16 1.087970e-15 2.693380e-16 4.290867e-13 3.314693e-16 2.220849e-16
1.500000e+01 1.638586e+00 6.810354e+08 6.799835e-15 7.865963e-12 2.445184e-16 2.490912e-16 6.926432e-16 1.037956e-15 2.333379e-16 1.977819e-13 2.460209e-16 2.220848e-16
1.600000e+01 1.572316e+00 5.080521e+08 6.799833e-15 1.297801e-11 2.909983e-16 3.469715e-16 7.193026e-16 1.028514e-15 2.693380e-16 6.586897e-13 3.314693e-16 2.221197e-16
1.700000e+01 1.641075e+00 5.799244e+08 8.939589e-16 3.601312e-12 2.909983e-16 2.490912e-16 6.999692e-16 9.850438e-16 2.333379e-16 3.616841e-13 2.460209e-16 2.221197e-16
1.800000e+01 1.580239e+00 5.993652e+08 8.939604e-16 6.385130e-12 4.741243e-16 3.469716e-16 7.273105e-16 9.784486e-16 2.693380e-16 1.694375e-12 3.314693e-16 2.221849e-16
1.900000e+01 1.641777e+00 4.737567e+08 3.914237e-16 2.178568e-12 4.741243e-16 2.490913e-16 7.082573e-16 9.403364e-16 2.333379e-16 1.064736e-12 2.460209e-16 2.221849e-16
2.000000e+01 1.579780e+00 4.058682e+08 3.914252e-16 4.237033e-12 1.864507e-15 3.477903e-16 7.363894e-16 9.360683e-16 2.693380e-16 7.755222e-12 3.314693e-16 2.223067e-16
2.100000e+01 1.640774e+00 4.031979e+08 2.796773e-16 1.716363e-12 1.864507e-15 2.497000e-16 7.175491e-16 9.023812e-16 2.333379e-16 5.408934e-12 2.460209e-16 2.223067e-16
2.200000e+01 1.827030e+00 2.753031e+08 2.796797e-16 3.741607e-12 8.682375e-14 8.490851e-07 7.465869e-16 9.000343e-16 2.693380e-16 6.963009e-11 4.958707e-06 2.225344e-16
2.300000e+01 1.641331e+00 2.768665e+08 2.439143e-16 1.749033e-12 8.682376e-14 1.315431e-06 7.278917e-16 8.700313e-16 2.333379e-16 5.264780e-11 7.191935e-06 2.225344e-16
2.400000e+01 1.830242e+00 5.363140e+08 2.439193e-16 4.377088e-12 4.146132e-09 1.853239e-06 7.579574e-16 8.692858e-16 2.693380e-16 1.027454e-12 3.275152e-06 2.229604e-16
2.500000e+01 1.646726e+00 2.597454e+08 2.307058e-16 2.306606e-12 4.146132e-09 1.554964e+04 7.393387e-16 8.423723e-16 2.333379e-16 2.263897e-10 1.372245e+05 2.229604e-16
2.600000e+01 1.593741e+00 3.531022e+08 2.307174e-16 6.810094e-12 1.598673e-15 8.470141e-07 7.705630e-16 8.429744e-16 2.693380e-16 1.956472e-09 4.958707e-06 2.237582e-16
2.700000e+01 1.653784e+00 4.056533e+08 2.255459e-16 3.968161e-12 1.476816e-08 2.959164e-06 7.519502e-16 8.186694e-16 2.333379e-16 4.724136e-10 4.694158e-06 2.237582e-16
2.800000e+01 1.591765e+00 4.032399e+08 2.255736e-16 1.690056e-13 5.209744e-07 1.857611e-06 7.844739e-16 8.204166e-16 2.693380e-16 7.590485e-09 3.275152e-06 2.252559e-16
2.900000e+01 1.659180e+00 5.786014e+08 2.235017e-16 4.552251e-12 1.715884e-11 2.497220e-16 7.657937e-16 7.983281e-16 2.333379e-16 2.518584e-09 2.460209e-16 2.252559e-16
3.000000e+01 1.595438e+00 5.289269e+08 2.235688e-16 1.042317e-13 3.760530e-07 3.478200e-16 7.997695e-16 8.010577e-16 2.693380e-16 7.987315e-11 3.314693e-16 2.280804e-16
3.100000e+01 1.662774e+00 6.555726e+08 2.227306e-16 1.746884e-12 9.490521e-09 2.490913e-16 7.809450e-16 7.808638e-16 2.333379e-16 7.944374e-09 2.460209e-16 2.280804e-16
3.200000e+01 1.601296e+00 6.121879e+08 2.228949e-16 1.755948e-12 1.708994e-15 3.469716e-16 8.165393e-16 7.844454e-16 2.693380e-16 1.006109e-10 3.314693e-16 2.334510e-16
