long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.392335e+04 2.652386e-16 1.574458e-05 1.331622e+08 2.422751e+07 1.635424e+03 6.386351e-16 1.436088e+07 3.989693e+07 1.095333e-15 3.984893e-07 2.880383e+06 1.355831e-06
1.000000e+00 7.015506e+03 2.653185e-16 5.931994e-09 1.376772e+08 8.432770e+07 1.879134e+03 5.699652e-16 1.125606e+07 1.001701e+08 1.160501e-15 2.717827e-08 2.774821e+06 1.431646e-06
2.000000e+00 1.291564e+03 2.662223e-16 8.192701e-09 1.111351e+08 1.483331e+07 1.330526e+03 5.630723e-16 2.575129e+07 9.435124e+07 1.608900e-15 2.687906e-08 2.670882e+06 2.484375e-06
3.000000e+00 8.494401e+01 2.679336e-16 2.342148e-06 8.838946e+07 1.750933e+07 8.144699e+02 6.086207e-16 6.244019e+06 2.946262e+07 2.944045e-15 3.174967e-08 2.312209e+06 3.586031e-08
4.000000e+00 9.034103e+03 2.704693e-16 4.107298e-09 9.787597e+07 8.632556e+06 6.765861e+02 7.329825e-16 1.293950e+07 2.435608e+07 7.684607e-15 4.847056e-07 2.469097e+06 9.443406e-08
5.000000e+00 1.929571e+00 2.738770e-16 2.982403e-07 7.900889e+07 5.677421e+06 2.946562e+02 1.035606e-15 7.257688e+06 1.244900e+07 3.326694e-14 5.510441e-07 1.815823e+06 1.310586e-05
6.000000e+00 2.679957e+00 2.732339e-16 1.725990e-08 5.072351e+07 7.192027e+06 2.050439e+02 1.257501e-15 6.248120e+06 1.136976e+07 6.485182e-14 1.783175e-07 1.394672e+06 2.547764e-06
7.000000e+00 5.408660e-02 2.825431e-16 5.796503e-08 4.350021e+07 3.014959e+06 3.364826e+01 3.269774e-15 4.041780e+06 5.407443e+06 2.102000e-12 7.555710e-07 1.090934e+06 5.251126e-07
8.000000e+00 6.432345e+00 2.879712e-16 3.095349e-10 3.874972e+07 4.227922e+06 1.003357e+03 9.434700e-15 5.536796e+06 5.940628e+06 4.753673e-11 9.107910e-07 1.145995e+06 4.301435e-05
9.000000e+00 4.651089e+00 2.946581e-16 1.341914e-08 3.927651e+07 1.961616e+06 9.782272e+00 5.908530e-14 2.832350e+06 2.425767e+06 5.390866e-09 1.129359e-06 1.132781e+06 7.684330e-05
1.000000e+01 5.000033e-02 3.027882e-16 7.542998e-11 4.641048e+07 2.200193e+06 7.308644e+00 1.252855e-12 5.351725e+06 3.686543e+06 1.894592e-10 1.439970e-06 1.058492e+06 2.279065e-04
1.100000e+01 2.141129e-01 3.126009e-16 1.486549e-09 3.369813e+07 1.907554e+06 3.143145e+00 1.611663e-14 3.071757e+06 4.335851e+06 9.267238e-05 1.887060e-06 9.554790e+05 2.040918e-05
1.200000e+01 6.365646e+02 3.244059e-16 4.971717e-10 3.965285e+07 2.089805e+06 8.248695e+01 5.936453e-11 9.316148e+06 1.073731e+07 1.171068e-06 2.540368e-06 1.121788e+06 8.671514e-05
1.300000e+01 8.276591e+00 3.386045e-16 2.162054e-12 4.410186e+07 4.899307e+06 1.330817e+00 1.961477e-14 1.287631e+07 1.302350e+07 1.913678e-05 3.510925e-06 1.309629e+06 1.805304e-04
1.400000e+01 4.333457e+02 3.441173e-16 1.441566e-11 4.848527e+07 4.976557e+06 2.559624e+00 8.771925e-13 1.920632e+07 1.155941e+07 1.792806e-03 1.782929e-06 1.368569e+06 1.280863e-03
1.500000e+01 1.856246e+03 3.734095e-16 7.854140e-12 4.735912e+07 9.061608e+06 5.374847e+01 1.386919e-13 1.128298e+07 2.080485e+07 1.564875e-05 7.069806e-06 1.318587e+06 3.716356e-04
1.600000e+01 9.830701e+03 3.950687e-16 1.828646e-12 5.484182e+07 2.417126e+07 1.092574e+00 1.472906e-14 3.367775e+07 2.471932e+07 1.598322e-01 1.028412e-05 1.603733e+06 2.615626e-02
1.700000e+01 2.289196e+04 4.216597e-16 5.495050e-13 4.321336e+07 2.652253e+06 1.334171e+00 3.953372e-15 2.793796e+06 1.948725e+07 4.012691e-06 1.531076e-05 1.169259e+06 8.973610e-04
1.800000e+01 4.015375e+04 4.544836e-16 2.055747e-13 5.082534e+07 3.466048e+07 1.179445e+00 1.884793e-15 2.470214e+07 3.706625e+07 1.554281e-01 2.330919e-05 2.275037e+06 7.451611e-02
1.900000e+01 1.122506e+05 4.678234e-16 5.179250e-14 4.674449e+07 2.126219e+06 3.263942e+00 9.347819e-16 2.907877e+06 1.758001e+07 1.056847e-03 1.519918e-05 1.622569e+06 1.304013e-02
2.000000e+01 6.489006e+04 5.391768e-16 4.101098e-14 3.739799e+07 2.530864e+06 7.764334e-01 8.622726e-16 1.413677e+06 4.778987e+06 7.780869e-05 1.238670e-05 1.348066e+06 8.808520e-03
2.100000e+01 5.741623e+04 5.949269e-16 2.100437e-14 4.188363e+07 5.064475e+06 3.686671e+01 6.956280e-16 6.590065e+06 1.488770e+07 4.641965e-05 2.155729e-05 1.445493e+06 1.525704e-02
2.200000e+01 4.824878e+04 6.158589e-16 8.244194e-15 3.218243e+07 4.095583e+06 1.538228e+00 5.279619e-16 2.393360e+06 3.844168e+06 4.095113e-04 6.618417e-05 1.327744e+06 7.673819e-02
2.300000e+01 2.525866e+04 7.453882e-16 7.019411e-15 3.075299e+07 4.950897e+06 7.193056e-01 5.543939e-16 3.638012e+06 9.096892e+06 2.964756e-02 6.407048e-05 1.249553e+06 2.434585e-02
2.400000e+01 1.170097e+04 8.491331e-16 4.450516e-15 2.447271e+07 2.612206e+06 5.100197e+01 5.185006e-16 2.025477e+06 7.583424e+06 7.123403e-02 1.112210e-04 1.155475e+06 2.543307e-02
