long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella Atopobium_vaginae Prevotella_bivia g_Dialister
0.000000e+00 4.619601e+08 2.457562e-16 2.242589e+03 7.771765e+06 9.945773e-12 3.885991e+06 9.422413e-08 2.832884e-07
1.000000e+00 3.892292e+08 2.343534e-16 1.995035e+05 5.264846e+06 1.082218e-11 7.742458e+05 2.171770e-09 3.585342e-09
2.000000e+00 2.600484e+08 2.650299e-16 1.187684e+01 1.828300e+07 1.104288e-11 1.402561e+06 1.126632e-07 3.697409e-07
3.000000e+00 2.796244e+08 2.567811e-16 1.091865e+02 1.205372e+07 1.077162e-11 3.718564e+06 6.002017e-09 1.356262e-08
4.000000e+00 2.290195e+08 2.754984e-16 4.213642e-01 2.331490e+07 1.075380e-11 7.605542e+06 1.187513e-08 3.318210e-08
5.000000e+00 1.875728e+08 2.955800e-16 1.626097e-03 4.509686e+07 1.073642e-11 1.555554e+07 2.349523e-08 8.118281e-08
6.000000e+00 1.600878e+08 4.936407e-16 3.384405e+06 3.837633e+07 1.097001e-11 1.680127e+07 1.877165e-10 7.485389e-10
7.000000e+00 1.398916e+08 4.301264e-16 2.605451e-02 1.111310e+08 1.071633e-11 4.530551e+07 4.654832e-08 2.197517e-07
8.000000e+00 3.041532e+08 1.555870e-15 2.481418e-02 8.164408e+07 1.096369e-11 2.897175e+07 3.466020e-10 1.881819e-09
9.000000e+00 1.308062e+08 1.493669e-15 2.400204e+03 1.285020e+08 1.072464e-11 5.224653e+07 2.390426e-08 1.248933e-07
1.000000e+01 8.927358e+07 6.462725e-14 6.934662e+02 8.280691e+07 1.098655e-11 1.020926e+07 1.657822e-07 1.476744e-06
1.100000e+01 1.475243e+08 6.365841e-14 7.356803e+04 8.526581e+07 1.076145e-11 1.236450e+07 9.172812e-09 5.570541e-08
1.200000e+01 2.139687e+08 4.858908e-09 1.941188e+05 1.300115e+08 9.961683e-12 3.055063e+07 9.208873e-11 9.998017e-07
1.300000e+01 1.776496e+08 4.634993e-09 2.121489e+05 7.240480e+07 1.076685e-11 4.871280e+06 2.702137e-09 7.044824e-08
1.400000e+01 9.855844e+07 2.220449e-16 1.604130e+05 5.677958e+07 1.099729e-11 6.246054e+05 9.593246e-09 9.668122e-10
1.500000e+01 2.064091e+08 9.693103e-09 4.973138e+05 7.711657e+07 1.074083e-11 1.723764e+06 5.802231e-10 6.819980e-08
1.600000e+01 2.503705e+08 1.192566e-05 2.174619e+06 3.925964e+07 9.807872e-12 2.561819e+05 2.589388e-09 3.148948e-10
1.700000e+01 2.280291e+08 1.536679e-12 1.126627e+06 5.044777e+07 1.067725e-11 9.075031e+04 2.330436e-10 1.363928e-08
1.800000e+01 2.377193e+08 5.095362e-13 2.272837e+06 3.599002e+07 1.061999e-11 1.820230e+04 1.716159e-10 4.103937e-09
1.900000e+01 2.478214e+08 1.689534e-13 4.585183e+06 2.567569e+07 1.056336e-11 3.650939e+03 1.263799e-10 1.234838e-09
2.000000e+01 2.583527e+08 5.602201e-14 9.250073e+06 1.831734e+07 1.050728e-11 7.322893e+02 9.306757e-11 3.715516e-10
2.100000e+01 2.693315e+08 1.857593e-14 1.866095e+07 1.306780e+07 1.045173e-11 1.468794e+02 6.853600e-11 1.117965e-10
2.200000e+01 2.807769e+08 6.159455e-15 3.764633e+07 9.322725e+06 1.039666e-11 2.946043e+01 5.047068e-11 3.363857e-11
2.300000e+01 2.927087e+08 2.042369e-15 7.594718e+07 6.650942e+06 1.034202e-11 5.909045e+00 3.716717e-11 1.012154e-11
2.400000e+01 2.261715e+08 3.543501e-15 3.288980e+07 1.896599e+05 9.466522e-12 4.350367e-11 1.473592e-13 1.439421e-11
2.500000e+01 3.616701e+08 4.675660e-16 1.592621e+08 8.572255e+05 1.018753e-11 2.762739e-06 9.219460e-12 1.184499e-12
2.600000e+01 5.778909e+08 4.756132e-16 1.184159e+08 1.483798e+04 1.032106e-11 4.763994e-06 1.096524e-11 1.456453e-12
2.700000e+01 5.135726e+08 2.850821e-16 1.402452e+08 6.819911e+03 1.000232e-11 1.813147e-13 1.280567e-12 2.201209e-13
2.800000e+01 3.866001e+08 2.852624e-16 1.505955e+08 3.720874e-01 1.014531e-11 2.797231e-13 1.406769e-12 2.539364e-13
2.900000e+01 6.381779e+08 2.414691e-16 1.170934e+08 1.948106e-01 9.844432e-12 2.529272e-15 2.567358e-13 5.932569e-14
3.000000e+01 5.398759e+08 2.414750e-16 6.299415e+07 2.089577e+06 9.996708e-12 1.136465e-14 2.703368e-13 6.697684e-14
3.100000e+01 5.827534e+08 2.283827e-16 7.711335e+07 2.468112e-01 9.712201e-12 3.023558e-15 6.940330e-14 2.160705e-14
3.200000e+01 4.825457e+08 2.283834e-16 5.105960e+07 2.094379e+00 9.873696e-12 6.235866e-13 7.145162e-14 2.444052e-14
3.300000e+01 4.594649e+08 2.241524e-16 3.423052e+07 2.985465e+04 9.604253e-12 4.293671e-13 2.393358e-14 1.007122e-14
3.400000e+01 1.031648e+09 2.241539e-16 6.619922e+07 4.898848e+04 9.775005e-12 6.970218e-05 2.434977e-14 1.158698e-14
3.500000e+01 4.833703e+08 2.227517e-16 3.001108e+07 1.143319e+07 9.519489e-12 6.274270e-05 1.006408e-14 5.765528e-15
3.600000e+01 7.646197e+08 2.227561e-16 7.200223e+07 1.561387e+07 9.699632e-12 3.782349e-04 1.017747e-14 6.826652e-15
