long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 4.140484e+03 1.114946e-07 8.245287e-11 6.496546e+07 9.374128e+06 3.725520e+05 9.180179e+06 3.034964e+07 8.123733e-13 6.515626e-16 1.231128e+05 6.991201e+06
1.000000e+00 4.284719e+03 1.114949e-07 8.245550e-11 6.924339e+07 9.545476e+06 3.966459e+05 9.803969e+06 3.348764e+07 8.123751e-13 6.461310e-16 1.303797e+05 1.105527e+07
2.000000e+00 4.341963e+03 1.114946e-07 8.245245e-11 6.818738e+07 7.690700e+06 3.865732e+05 9.353678e+06 3.125208e+07 8.123787e-13 6.425263e-16 1.257021e+05 1.221596e+07
3.000000e+00 3.626132e+03 1.114949e-07 8.245390e-11 7.275542e+07 9.820656e+06 3.857450e+05 1.075312e+07 3.445880e+07 8.123841e-13 6.406913e-16 1.311098e+05 1.481002e+07
4.000000e+00 1.464329e+05 1.114946e-07 8.245248e-11 6.540222e+07 9.123621e+06 3.650935e+05 8.995860e+06 2.981333e+07 8.123913e-13 6.405907e-16 1.186530e+05 4.855354e+06
5.000000e+00 3.846337e+03 1.114948e-07 8.245274e-11 7.368463e+07 1.359095e+07 3.961937e+05 1.059864e+07 3.409959e+07 8.124003e-13 6.422103e-16 1.225407e+05 1.000276e+07
6.000000e+00 6.626080e+03 1.114946e-07 8.245234e-11 7.047120e+07 8.967304e+06 3.912166e+05 9.989089e+06 3.234211e+07 8.109009e-13 6.213362e-16 1.233698e+05 4.003520e+06
7.000000e+00 6.241680e+03 1.114948e-07 8.245273e-11 7.522938e+07 1.221402e+07 3.916553e+05 1.126858e+07 3.473145e+07 8.124220e-13 6.488255e-16 1.154465e+05 9.229216e+06
8.000000e+00 5.339627e+03 1.114946e-07 8.245237e-11 6.652830e+07 8.004776e+06 3.495542e+05 8.932278e+06 2.809208e+07 8.124346e-13 6.538588e-16 2.735482e+05 1.969020e+06
9.000000e+00 7.658307e+03 1.114947e-07 8.245235e-11 7.754621e+07 1.266724e+07 3.980490e+05 1.232680e+07 3.572516e+07 8.124491e-13 6.607012e-16 1.277233e+05 1.229685e+07
1.000000e+01 5.725701e+03 1.114946e-07 8.245234e-11 6.687805e+07 7.859359e+06 3.556719e+05 9.889832e+06 2.892183e+07 8.124653e-13 6.694182e-16 1.204708e+05 2.427738e+06
1.100000e+01 7.743606e+03 1.114946e-07 8.245235e-11 7.810760e+07 1.260472e+07 3.900875e+05 1.230962e+07 3.506311e+07 8.124834e-13 6.800978e-16 1.503714e+05 1.517737e+07
1.200000e+01 5.781676e+03 1.114946e-07 8.245245e-11 6.877547e+07 8.356948e+06 3.504151e+05 1.018626e+07 2.923808e+07 8.125032e-13 6.928516e-16 1.426415e+05 3.108816e+06
1.300000e+01 5.396757e+03 1.114947e-07 8.245391e-11 7.630202e+07 1.133971e+07 3.739023e+05 1.257169e+07 3.344671e+07 8.038485e-13 7.078176e-16 1.691265e+05 1.349158e+07
1.400000e+01 3.884507e+03 1.114946e-07 8.245245e-11 7.133051e+07 9.085251e+06 3.535319e+05 1.108246e+07 2.928632e+07 8.125380e-13 7.251627e-16 1.688088e+05 4.472485e+06
1.500000e+01 3.493913e+03 1.114949e-07 8.245548e-11 7.547326e+07 9.980417e+06 3.619825e+05 1.280651e+07 3.219452e+07 8.036270e-13 7.450864e-16 1.855223e+05 5.713197e+06
1.600000e+01 2.085493e+03 1.114946e-07 8.245256e-11 7.005483e+07 9.835596e+06 3.524981e+05 1.199970e+07 2.958087e+07 8.125588e-13 7.678260e-16 1.867317e+05 5.449704e+06
