long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
0.000000e+00 4.431182e+05 5.131413e+07 1.036003e+06 1.616150e+02 1.390312e+01 2.664857e-16 5.039922e-15 2.225197e-16 5.605703e-03 2.325776e-16 7.734346e-06
1.000000e+00 6.725745e+05 7.263902e+07 1.582251e+06 1.616132e+02 4.777753e-03 2.580942e-16 4.957206e-15 2.223015e-16 1.118352e-06 2.272550e-16 1.610660e-07
2.000000e+00 6.171977e+05 5.911480e+07 1.408225e+06 1.616150e+02 2.669584e-04 2.667983e-16 5.039992e-15 2.229193e-16 2.391278e-11 4.779594e-16 9.010659e-06
3.000000e+00 5.144208e+05 6.718100e+07 1.383463e+06 1.616157e+02 2.428346e-02 2.606953e-16 4.957329e-15 2.228797e-16 3.222342e-06 4.777871e-16 4.966879e-07
4.000000e+00 5.808024e+05 5.496354e+07 1.121835e+06 1.616150e+02 4.434268e+01 2.699307e-16 5.040148e-15 2.249651e-16 3.032479e-01 2.244368e-05 3.170315e-05
5.000000e+00 4.577824e+05 6.007273e+07 1.165722e+06 1.616157e+02 2.785566e-01 2.652886e-16 4.957535e-15 2.249540e-16 3.076205e-06 2.244344e-05 3.398343e-06
6.000000e+00 2.983721e+05 4.336693e+07 7.693450e+05 1.616150e+02 1.885848e-01 2.758503e-16 5.040389e-15 2.323609e-16 1.147514e-11 9.879393e-06 4.289432e-07
7.000000e+00 3.677343e+05 5.116023e+07 8.900052e+05 1.616157e+02 9.146225e+00 2.721984e-16 4.957823e-15 2.323576e-16 4.381820e-07 4.757318e+05 2.270044e-05
8.000000e+00 1.057943e+05 3.836740e+07 5.699385e+05 1.616150e+02 7.256415e+00 2.848873e-16 5.040715e-15 2.601582e-16 9.941275e-07 2.892497e+04 3.525839e-06
9.000000e+00 1.376861e+05 4.114962e+07 5.928990e+05 1.616153e+02 1.028408e+02 2.819369e-16 4.958194e-15 2.601571e-16 2.384093e-13 2.915718e+04 6.717932e-05
1.000000e+01 9.462689e+05 7.720014e+07 1.593754e+06 1.616150e+02 2.708190e+02 2.977125e-16 5.041127e-15 3.859146e-16 1.548291e-11 8.172511e+04 1.618718e-05
1.100000e+01 1.236007e+05 3.584012e+07 5.002245e+05 1.616152e+02 7.406836e+02 2.952741e-16 4.958648e-15 3.859141e-16 4.448289e-14 4.817646e+03 1.036709e-04
1.200000e+01 2.662193e+05 3.331773e+07 4.812180e+05 1.616150e+02 1.095303e+03 3.154133e-16 5.041625e-15 1.527773e-15 1.875692e-11 4.387425e+03 2.536721e-03
1.300000e+01 4.838622e+05 3.438320e+07 5.558965e+05 1.616156e+02 4.537470e+03 3.133547e-16 4.959185e-15 1.527772e-15 3.151448e-13 1.132051e+04 2.004252e-04
1.400000e+01 1.076212e+06 3.137130e+07 5.152412e+05 1.616150e+02 9.718381e+03 3.396710e-16 5.042208e-15 1.858572e-13 5.004321e-06 9.003403e+04 5.542156e-05
1.500000e+01 2.106866e+06 3.238934e+07 5.843298e+05 1.616156e+02 2.345621e+04 3.378943e-16 4.959804e-15 1.858572e-13 3.479411e-06 7.924959e+04 4.696081e-04
1.600000e+01 4.320973e+06 3.608848e+07 7.129789e+05 1.616150e+02 2.152300e+04 3.730884e-16 5.042876e-15 3.506581e-06 2.153144e-05 8.177533e+04 7.567223e-05
1.700000e+01 9.422937e+06 3.087668e+07 6.259137e+05 1.616157e+02 9.420796e+04 3.715155e-16 4.960507e-15 3.506581e-06 2.050767e+02 6.472547e+05 5.698163e-04
1.800000e+01 9.555835e+06 3.275204e+07 7.230091e+05 1.616150e+02 6.324868e+04 4.197823e-16 5.043630e-15 1.124624e-06 4.970172e+00 4.113878e+05 5.871715e-05
1.900000e+01 2.829343e+07 3.042657e+07 7.192026e+05 1.616157e+02 2.292580e+05 4.183444e-16 4.961292e-15 2.939344e+01 1.046798e+04 4.581411e+05 3.353139e-04
2.000000e+01 2.862595e+07 3.299642e+07 8.722627e+05 1.616150e+02 1.547976e+05 4.864860e-16 5.044470e-15 3.635813e-01 8.506480e+01 1.586046e+06 2.201567e-05
2.100000e+01 4.857434e+07 3.071856e+07 8.694995e+05 1.616157e+02 3.573980e+05 4.851115e-16 4.962160e-15 5.484234e+01 9.966293e+03 9.740836e+05 9.218964e-05
2.200000e+01 3.107627e+07 2.984244e+07 8.123530e+05 1.616150e+02 1.811977e+05 5.846910e-16 5.045395e-15 1.040581e-06 2.794662e+01 2.094782e+04 2.970474e-06
2.300000e+01 5.025534e+07 3.122061e+07 1.033845e+06 1.616156e+02 3.739758e+05 5.832845e-16 4.963111e-15 8.849935e-06 1.295450e+03 8.025623e+04 1.099471e-05
2.400000e+01 4.393920e+07 3.384580e+07 1.171512e+06 1.616150e+02 3.533311e+05 7.350384e-16 5.046406e-15 1.361064e-05 4.831165e+00 2.995198e-05 3.713532e-05
