long.t Lactobacillus_iners Lactobacillus_crispatus Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 4.144820e+04 4.803187e-16 1.532310e+08 1.984205e+07 4.108561e-11 5.213760e+05 6.642803e+07 3.254987e+06 2.008891e-14 1.304724e+03 6.539291e+04
1.000000e+00 2.652393e+05 4.800623e-16 1.433181e+08 9.985662e+06 9.979293e-05 5.213760e+05 6.262149e+07 3.544482e+06 2.852062e-14 5.668659e+02 6.467911e+04
2.000000e+00 6.657852e+05 4.798409e-16 2.116033e+08 2.711472e+07 9.274932e-05 5.213760e+05 1.146818e+08 6.184902e+06 1.618326e-13 3.163152e+01 6.706691e+04
3.000000e+00 2.758114e+05 4.796505e-16 1.236230e+08 6.276286e+06 8.210154e+05 5.213760e+05 5.744191e+07 9.039088e+05 4.503369e-12 7.688837e+05 6.508899e+04
4.000000e+00 7.284042e+05 4.794878e-16 1.888355e+08 1.723100e+07 1.939951e+06 5.213760e+05 8.754177e+07 1.902434e+06 6.437253e-16 2.665467e+01 7.120777e+04
5.000000e+00 3.446320e+05 4.793502e-16 1.293155e+08 5.175299e+06 3.712685e+05 5.213759e+05 5.897493e+07 5.650506e+05 9.504501e-12 4.699039e+02 6.431590e+04
6.000000e+00 8.061880e+05 4.792351e-16 1.621367e+08 1.180028e+07 1.785615e+06 5.213759e+05 7.403032e+07 1.137410e+06 8.764805e-13 5.059999e+03 6.625844e+04
7.000000e+00 3.161684e+05 4.791406e-16 1.156731e+08 5.945048e+06 5.046968e+05 5.213759e+05 5.233723e+07 8.582460e+05 5.647718e-13 3.151530e+03 6.171952e+04
8.000000e+00 5.912988e+05 4.790651e-16 1.441076e+08 1.058886e+07 1.177692e+06 5.213758e+05 6.237739e+07 1.065587e+06 2.282397e-12 1.014608e+03 6.169507e+04
9.000000e+00 1.907810e+05 4.790074e-16 1.218517e+08 6.573971e+06 1.698649e+06 5.213758e+05 5.768595e+07 2.296367e+06 8.022380e-11 2.818707e+01 5.867307e+04
1.000000e+01 2.984571e+04 4.789663e-16 1.171255e+08 7.848851e+06 1.883913e+06 5.213757e+05 5.274415e+07 4.632352e+06 5.677691e-08 9.890359e+05 5.203714e+04
1.100000e+01 2.558542e+02 4.789412e-16 9.380472e+07 2.413987e+06 3.837370e+06 5.213756e+05 4.232525e+07 3.367084e+06 5.488771e-10 1.924374e+01 4.898625e+04
1.200000e+01 2.595982e-02 4.789316e-16 1.141142e+08 1.835460e+06 1.367221e-04 5.213755e+05 5.250832e+07 1.284422e+07 6.407809e-02 1.253251e+03 4.699586e+04
1.300000e+01 5.510381e-01 4.789375e-16 9.705290e+07 3.129707e+05 9.240643e-05 5.213761e+05 4.435438e+07 3.757249e+06 1.880796e-04 5.010479e+03 4.381788e+04
1.400000e+01 1.948699e-02 4.789589e-16 1.059403e+08 1.220900e+05 6.877931e-08 5.213755e+05 5.231390e+07 6.613180e+06 2.967428e-02 9.683322e+03 4.206679e+04
1.500000e+01 1.329570e-04 4.786921e-16 8.923156e+07 2.325827e+04 1.525009e-04 5.213755e+05 4.216780e+07 4.791881e+06 7.548556e+00 1.343019e+04 4.212930e+04
1.600000e+01 2.347869e-08 4.789702e-16 7.455150e+07 3.260202e+01 2.487934e-12 5.213755e+05 3.613189e+07 5.697506e+05 1.855644e-01 2.249727e+02 3.483826e+04
1.700000e+01 1.012845e-05 4.786564e-16 7.797888e+07 4.160575e+01 1.525005e-04 5.213755e+05 3.859154e+07 1.771345e+06 3.903825e+00 6.679722e+02 3.596221e+04
1.800000e+01 5.105156e-06 4.788869e-16 8.481442e+07 2.924863e+05 6.809606e-08 5.213755e+05 3.920701e+07 1.486544e+06 5.161525e-03 2.433008e+00 3.131683e+04
1.900000e+01 2.386264e-08 4.788280e-16 8.065050e+07 8.728664e-01 3.591122e-15 5.213755e+05 3.652744e+07 7.081912e+05 1.818772e+02 1.835875e+05 1.026295e+05
2.000000e+01 1.060232e-07 4.787827e-16 8.270600e+07 7.265194e+00 3.602946e-15 5.213761e+05 4.416581e+07 2.244226e+06 8.368309e-04 5.839244e+00 2.889464e+04
2.100000e+01 6.054885e-04 4.787503e-16 5.779925e+07 1.556394e+00 2.410932e-05 5.213755e+05 2.934421e+07 6.899719e+05 7.890157e+02 1.025580e+02 2.681746e+04
2.200000e+01 3.675025e-04 4.787302e-16 8.301462e+07 2.296371e+05 4.145228e-05 5.213757e+05 4.268550e+07 6.539046e+06 1.149195e+00 1.182101e+03 2.676504e+04
2.300000e+01 2.983416e+00 4.787221e-16 7.045533e+07 2.259998e+01 4.753481e+05 5.213758e+05 3.676600e+07 8.208422e+05 2.294467e+02 5.618424e+02 8.861355e+04
2.400000e+01 1.054528e+02 4.787257e-16 8.090142e+07 2.254401e+03 8.542198e+05 5.213759e+05 4.351354e+07 5.767182e+06 5.598939e+03 1.488072e+02 2.660316e+04
2.500000e+01 3.474574e+01 4.787413e-16 6.668695e+07 9.555281e+03 1.082273e+06 5.213759e+05 3.769271e+07 1.198218e+06 1.728351e+04 1.353489e+00 2.706786e+04
2.600000e+01 1.481775e-01 4.787689e-16 7.932992e+07 8.408457e+04 7.582943e+05 5.213760e+05 4.737217e+07 6.121896e+06 3.064035e+04 1.294953e-03 2.849343e+04
2.700000e+01 4.938950e+02 4.788092e-16 6.503024e+07 5.599871e+04 9.296699e+05 5.213761e+05 3.947297e+07 2.697458e+06 9.218335e+03 4.599437e-02 2.838721e+04
2.800000e+01 8.471777e-05 4.788628e-16 6.990864e+07 6.395627e+04 4.154783e+05 5.213761e+05 4.955257e+07 4.356125e+06 6.215879e+02 9.048941e-04 2.906614e+04
2.900000e+01 1.081767e+03 4.789306e-16 6.187258e+07 1.375231e+04 2.220302e+06 5.213761e+05 4.374847e+07 4.321231e+06 5.904671e+00 4.444624e-02 2.955170e+04
3.000000e+01 3.711350e-01 4.790138e-16 6.571742e+07 3.414735e+03 1.073867e+06 5.213762e+05 5.197575e+07 5.782407e+06 5.604965e-03 1.746081e-03 2.895546e+04
3.100000e+01 4.395151e+02 4.791138e-16 5.438250e+07 5.989117e+01 1.820623e+06 5.213762e+05 4.173460e+07 3.724050e+06 1.150098e-01 2.263512e+00 2.909096e+04
3.200000e+01 1.435881e+04 4.792324e-16 5.811159e+07 1.731497e+06 1.530553e+06 5.213762e+05 5.498149e+07 5.721107e+06 1.013200e-09 4.919526e+02 2.926994e+04
3.300000e+01 4.943627e+04 4.793715e-16 5.126558e+07 1.071416e+02 9.814810e+05 5.213762e+05 4.650554e+07 7.958749e+06 2.720738e-08 6.362345e+03 2.950255e+04
3.400000e+01 8.390808e+04 4.795336e-16 4.725553e+07 6.397716e+03 4.439693e+05 5.213763e+05 4.543135e+07 4.775590e+06 2.272841e-11 3.532763e+04 2.727306e+04
3.500000e+01 1.162336e+05 4.797214e-16 4.186947e+07 4.195232e+04 5.215444e+05 5.213763e+05 3.851150e+07 4.431645e+06 2.819052e-13 1.079656e+05 2.746778e+04
3.600000e+01 1.453770e+05 4.799382e-16 4.575634e+07 5.689542e+05 4.659328e+05 5.213763e+05 4.558556e+07 1.912677e+07 1.859726e-14 3.762847e+05 2.605782e+04
3.700000e+01 4.657891e+04 4.801877e-16 3.616408e+07 3.076996e+05 1.030781e+05 5.213762e+05 3.346773e+07 1.408301e+06 3.455437e-15 1.907340e+05 2.476872e+04
3.800000e+01 2.795962e+04 4.804743e-16 4.715259e+07 1.954273e+06 3.086835e+05 5.213763e+05 4.357626e+07 1.004719e+07 1.219916e-15 7.033150e+05 2.561801e+04
3.900000e+01 1.154628e+03 4.808029e-16 3.973551e+07 1.562442e+06 7.945048e+04 5.213762e+05 3.288965e+07 9.609564e+05 6.414887e-16 4.771560e+05 2.292405e+04
4.000000e+01 2.893215e+00 4.811792e-16 4.351132e+07 2.767234e+06 2.581013e+05 5.213763e+05 3.293628e+07 2.041481e+04 4.323301e-16 5.972607e+05 2.240257e+04
4.100000e+01 1.006116e+05 4.816097e-16 3.407818e+07 1.101257e+06 2.055045e-05 5.213762e+05 2.739015e+07 1.494847e-04 3.405583e-16 1.878929e+05 2.001129e+04
4.200000e+01 8.479379e-01 4.821020e-16 4.988458e+07 8.201668e+06 1.572675e+05 5.213763e+05 3.716016e+07 1.038702e-01 2.967177e-16 8.233556e+05 2.009579e+04
4.300000e+01 8.836114e+02 4.823554e-16 4.327013e+07 3.066893e+06 1.824284e-05 5.213762e+05 2.722958e+07 3.001901e-13 2.592250e-16 2.746952e+05 1.941117e+04
4.400000e+01 1.190707e+04 4.832263e-16 4.552824e+07 5.737148e+06 2.385862e-01 5.213762e+05 3.164069e+07 3.041070e-13 2.528894e-16 1.603735e+05 1.625209e+04
4.500000e+01 4.049387e+04 4.838779e-16 3.526831e+07 2.265397e+06 3.711029e+04 5.213762e+05 2.083417e+07 1.292299e-14 2.402386e-16 3.490840e+04 1.500190e+04
