long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 2.768782e+07 2.608580e-16 6.766061e-16 8.850843e-16 2.308837e-16 2.253557e-12 7.457892e-13 5.570717e-16 4.769303e-16 1.390831e-12 5.885687e-06 4.773155e-10
1.000000e+00 2.768779e+07 2.609823e-16 6.767278e-16 8.721277e-16 2.308390e-16 2.253482e-12 7.458360e-13 5.570620e-16 4.768926e-16 1.391734e-12 5.876009e-06 5.235790e-10
2.000000e+00 2.768941e+07 2.566433e-16 6.368844e-16 8.374862e-16 2.298908e-16 1.912468e-12 7.456509e-13 5.570358e-16 4.534470e-16 9.838199e-13 5.880525e-06 1.073465e-10
3.000000e+00 2.768936e+07 2.637983e-16 6.828758e-16 8.501462e-16 2.312118e-16 2.269712e-12 7.460094e-13 5.570474e-16 4.815349e-16 1.436349e-12 5.874937e-06 2.048231e-09
4.000000e+00 2.768946e+07 2.664732e-16 6.889168e-16 8.409315e-16 2.316186e-16 2.286127e-12 7.444451e-13 5.570387e-16 4.862147e-16 1.481278e-12 5.882617e-06 7.183405e-09
5.000000e+00 2.768914e+07 2.705353e-16 6.980072e-16 8.336765e-16 2.322563e-16 2.311038e-12 7.443350e-13 5.570350e-16 4.933338e-16 2.153537e-13 5.881639e-06 4.723653e-08
6.000000e+00 2.768961e+07 2.761301e-16 7.102684e-16 8.282971e-16 2.331361e-16 2.344721e-12 7.457875e-13 5.570355e-16 5.030075e-16 1.515452e-12 5.881662e-06 1.539776e-09
7.000000e+00 2.768888e+07 2.834966e-16 7.258831e-16 8.247317e-16 2.342787e-16 2.387556e-12 7.455493e-13 5.570404e-16 5.154153e-16 1.503443e-12 5.882686e-06 5.759175e-09
8.000000e+00 2.768978e+07 2.851492e-16 7.043818e-16 8.020614e-16 2.344331e-16 2.081207e-12 7.450781e-13 5.570230e-16 5.058137e-16 1.112053e-12 5.879815e-06 3.318386e-07
9.000000e+00 2.768819e+07 3.024491e-16 7.646589e-16 8.203740e-16 2.371136e-16 2.493568e-12 7.451470e-13 5.570401e-16 5.464653e-16 1.524305e-12 5.876303e-06 6.350176e-06
1.000000e+01 2.768795e+07 3.147591e-16 7.882969e-16 8.195457e-16 2.388690e-16 2.557598e-12 7.449809e-13 5.570350e-16 5.656014e-16 1.557681e-12 5.887346e-06 8.575436e-08
