long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Parvimonas Prevotella_bivia g_Dialister
0.000000e+00 2.350327e+07 5.606970e+08 1.203620e+07 2.220462e-16 2.316773e-16 2.114994e-15 1.282814e-13 7.681451e-15
1.000000e+00 4.952017e+07 7.614151e+08 1.648489e+07 2.220454e-16 2.275315e-16 1.886835e-15 1.248440e-13 6.180478e-15
2.000000e+00 6.547743e+07 1.319082e+09 2.024751e+07 2.220507e-16 2.359520e-16 2.116041e-15 1.282855e-13 7.706837e-15
3.000000e+00 4.085803e+07 8.537677e+08 1.572794e+07 2.220506e-16 2.348351e-16 1.906648e-15 1.248511e-13 6.355819e-15
4.000000e+00 5.892434e+07 5.881006e+08 1.377328e+07 2.220904e-16 2.563192e-16 2.133969e-15 1.282947e-13 7.895487e-15
5.000000e+00 4.177663e+07 9.546741e+08 1.522858e+07 2.220904e-16 2.558862e-16 1.940095e-15 1.248631e-13 6.654248e-15
6.000000e+00 8.243244e+07 1.593861e+09 1.874837e+07 2.223928e-16 3.198069e-16 2.227562e-16 1.283088e-13 8.256692e-15
7.000000e+00 5.809772e+07 1.096421e+09 1.514200e+07 2.223929e-16 3.198975e-16 1.836659e-15 1.248798e-13 7.094321e-15
8.000000e+00 5.795140e+07 1.016612e+09 1.342965e+07 2.246915e-16 5.606609e-16 1.883295e-15 1.283280e-13 8.812430e-15
9.000000e+00 8.936653e+07 1.465954e+09 1.530539e+07 2.247046e-16 5.696227e-16 1.617374e-15 1.249014e-13 7.704699e-15
1.000000e+01 1.306712e+08 2.417744e+09 1.473369e+07 2.382656e-16 1.962779e-15 1.648226e-15 1.283521e-13 9.599739e-15
1.100000e+01 1.395704e+08 1.633675e+09 1.089401e+07 2.872531e-16 8.890124e-15 1.547546e-15 1.283667e-13 1.012514e-14
1.200000e+01 1.685165e+08 1.875052e+09 9.694390e+06 7.258998e-16 2.457563e-13 1.458032e-15 1.283838e-13 1.079482e-14
1.300000e+01 2.506431e+08 2.481692e+09 8.564184e+06 5.462292e-14 2.036611e-10 1.378260e-15 1.284034e-13 1.163487e-14
1.400000e+01 2.699866e+08 1.629885e+09 5.712759e+06 2.911638e-05 1.334300e-04 1.307022e-15 1.284255e-13 1.267990e-14
1.500000e+01 2.878015e+08 1.722047e+09 4.008776e+06 2.442438e-05 9.945224e-05 1.243296e-15 1.284501e-13 1.397572e-14
1.600000e+01 4.724685e+08 2.060031e+09 2.567320e+06 6.743796e+04 1.387621e+02 1.186207e-15 1.048111e-13 1.558297e-14
