long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 9.412807e+03 6.881864e+08 8.968339e-10 2.300376e-12 2.809077e-15 7.648018e-16 2.952565e-15 2.769993e-15 3.740465e-10
1.000000e+00 9.412726e+03 2.162361e+09 1.005502e-09 2.305166e-12 2.809074e-15 7.647996e-16 2.954029e-15 2.768800e-15 4.301100e-16
2.000000e+00 9.412820e+03 1.585520e+09 1.789667e-13 2.318895e-12 2.809074e-15 7.647987e-16 2.958100e-15 2.768221e-15 2.101533e-11
3.000000e+00 9.412810e+03 1.160849e+09 1.307047e-09 2.341719e-12 2.809079e-15 7.647992e-16 2.964802e-15 2.768255e-15 3.288915e-12
4.000000e+00 9.412813e+03 2.363871e+09 1.253439e-10 1.940426e-12 2.809077e-15 7.647962e-16 2.950963e-15 2.759022e-15 2.001857e-13
5.000000e+00 9.412810e+03 1.720202e+09 1.355083e-10 1.969240e-12 2.809083e-15 7.647966e-16 2.960276e-15 2.759607e-15 9.032061e-14
6.000000e+00 9.412799e+03 1.767798e+09 1.495618e-09 2.439428e-12 2.809099e-15 7.648004e-16 2.993041e-15 2.770007e-15 1.700099e-13
7.000000e+00 9.412820e+03 1.360722e+09 2.598929e-10 2.035588e-12 2.809101e-15 7.647962e-16 2.981804e-15 2.761264e-15 2.911413e-14
8.000000e+00 9.412799e+03 1.340442e+09 5.146696e-09 2.526098e-12 2.809125e-15 7.648002e-16 3.017741e-15 2.772220e-15 6.935698e-14
9.000000e+00 9.412822e+03 1.487644e+09 1.400339e-09 2.119647e-12 2.809136e-15 7.647960e-16 3.009321e-15 2.764029e-15 2.217608e-14
1.000000e+01 9.412799e+03 1.600914e+09 1.945854e-11 9.182049e-13 2.809174e-15 7.648000e-16 3.048753e-15 2.775554e-15 8.013582e-14
1.100000e+01 9.412822e+03 1.810169e+09 3.764157e-09 2.179839e-12 2.809205e-15 7.647960e-16 3.043363e-15 2.767917e-15 3.804354e-14
1.200000e+01 9.412799e+03 1.344652e+09 1.496435e-11 2.662199e-12 2.809071e-15 7.648000e-16 3.086686e-15 2.780029e-15 2.636221e-13
1.300000e+01 9.412820e+03 1.787818e+09 8.385112e-10 2.214029e-12 2.809205e-15 7.647959e-16 3.084607e-15 2.772953e-15 1.616701e-13
1.400000e+01 9.412799e+03 1.698915e+09 1.839603e-09 9.871374e-13 2.809174e-15 7.648000e-16 3.132305e-15 2.785671e-15 3.028203e-12
1.500000e+01 9.412821e+03 1.548681e+09 8.835530e-11 2.221916e-12 2.809136e-15 7.647960e-16 3.133898e-15 2.779165e-15 2.196566e-12
1.600000e+01 9.412799e+03 1.322142e+09 2.419154e-10 2.671155e-12 2.809124e-15 7.648000e-16 3.186560e-15 2.792514e-15 1.863518e-10
1.700000e+01 9.412821e+03 1.461438e+09 2.415060e-11 2.203223e-12 2.809101e-15 7.647960e-16 3.192277e-15 2.786592e-15 1.511671e-10
1.800000e+01 9.412799e+03 9.816032e+08 8.931672e-11 9.668346e-13 2.809099e-15 7.648002e-16 3.250617e-15 2.800600e-15 1.266039e-07
1.900000e+01 9.412819e+03 9.723621e+08 1.555793e-11 2.157824e-12 2.809082e-15 7.647962e-16 3.261022e-15 2.795277e-15 1.111376e-07
2.000000e+01 9.412799e+03 1.059069e+09 8.556050e-11 2.552058e-12 2.809085e-15 7.648004e-16 2.871822e-15 2.809976e-15 7.807052e-09
2.100000e+01 9.412817e+03 7.134539e+08 2.286578e-11 2.087335e-12 2.809073e-15 7.647966e-16 3.285692e-15 2.805274e-15 3.423653e-05
2.200000e+01 9.412799e+03 6.279543e+08 2.108017e-10 2.473158e-12 2.809079e-15 7.648009e-16 3.300189e-15 2.820700e-15 6.818336e-07
2.300000e+01 9.412816e+03 6.201299e+08 7.888486e-11 2.034044e-12 2.809069e-15 7.647972e-16 3.265603e-15 2.816644e-15 1.536536e-04
2.400000e+01 9.412799e+03 7.704784e+08 1.413864e-09 2.415151e-12 2.809076e-15 7.648017e-16 3.285153e-15 2.832839e-15 5.055891e-07
2.500000e+01 9.412816e+03 5.898828e+08 7.000560e-10 1.996690e-12 2.809067e-15 7.647983e-16 3.255884e-15 2.829457e-15 1.435377e-05
2.600000e+01 9.412799e+03 1.180570e+09 1.578347e-11 2.376596e-12 2.809076e-15 7.648032e-16 3.280457e-15 2.846467e-15 3.615953e-09
2.700000e+01 9.412725e+03 1.230575e+09 2.805695e-09 1.974404e-12 2.809068e-15 7.648003e-16 3.256313e-15 2.843794e-15 2.094897e-08
2.800000e+01 9.412809e+03 7.401860e+08 2.885419e-08 2.356552e-12 2.809078e-15 7.648059e-16 3.285993e-15 2.861670e-15 5.827191e-09
2.900000e+01 9.412730e+03 2.396879e+09 8.999013e-11 2.355575e-12 2.809082e-15 7.648087e-16 3.293402e-15 2.870070e-15 1.149299e-10
3.000000e+01 9.412808e+03 7.848649e+08 3.573797e-08 8.582989e-13 2.809091e-15 7.648136e-16 2.843394e-15 2.879260e-15 8.529702e-12
3.100000e+01 9.412822e+03 9.648849e+08 4.115078e-09 1.947464e-12 2.809095e-15 7.648164e-16 3.237345e-15 2.878834e-15 2.998328e-13
3.200000e+01 9.412799e+03 8.810589e+08 5.639248e-08 2.299999e-12 2.809119e-15 7.648290e-16 3.223530e-15 2.899361e-15 2.906237e-13
3.300000e+01 9.412814e+03 4.778186e+08 1.036955e-08 1.903165e-12 2.809132e-15 7.648360e-16 3.162432e-15 2.899781e-15 2.849631e-14
3.400000e+01 9.412799e+03 6.339154e+08 3.578523e-07 2.255109e-12 2.809170e-15 7.648546e-16 3.153152e-15 2.921398e-15 3.047518e-14
3.500000e+01 9.412817e+03 4.558176e+08 9.640642e-08 1.873444e-12 2.809201e-15 7.648698e-16 3.097680e-15 2.922723e-15 6.375575e-15
3.600000e+01 9.412799e+03 4.127083e+08 1.069632e-05 2.227891e-12 2.809070e-15 7.648995e-16 3.092306e-15 2.750276e-15 7.302012e-15
3.700000e+01 9.412818e+03 4.334192e+08 3.899437e-06 1.857615e-12 2.809201e-15 7.649297e-16 3.041691e-15 2.934001e-15 2.578647e-15
3.800000e+01 9.412799e+03 5.448399e+08 1.246775e-06 8.707994e-13 2.809171e-15 7.647995e-16 3.039706e-15 2.944033e-15 3.200612e-15
3.900000e+01 9.412815e+03 3.851482e+08 1.538893e-04 1.820676e-12 2.809134e-15 7.649299e-16 2.993309e-15 2.933530e-15 1.607222e-15
4.000000e+01 9.412799e+03 5.439095e+08 5.430181e-02 2.140398e-12 2.809123e-15 7.649000e-16 2.994284e-15 2.944572e-15 2.238080e-15
4.100000e+01 9.412815e+03 5.056320e+08 7.775478e-03 1.763859e-12 2.809100e-15 7.648705e-16 2.951568e-15 2.935071e-15 1.420241e-15
4.200000e+01 9.412799e+03 6.515236e+08 6.890564e-03 2.081386e-12 2.809098e-15 7.648556e-16 2.955150e-15 2.947136e-15 2.349869e-15
4.300000e+01 9.412817e+03 7.491778e+08 6.086093e-01 1.721168e-12 2.809081e-15 7.648374e-16 2.915665e-15 2.938633e-15 1.740916e-15
4.400000e+01 9.412799e+03 6.834965e+08 4.323188e-01 2.039237e-12 2.809085e-15 7.648309e-16 2.921562e-15 2.757606e-15 3.739114e-15
4.500000e+01 9.412818e+03 8.249720e+08 1.509446e+01 1.691615e-12 2.809072e-15 7.648189e-16 2.884929e-15 2.930562e-15 3.068428e-15
4.600000e+01 9.412799e+03 9.577522e+08 1.213243e+01 2.012951e-12 2.809078e-15 7.648171e-16 2.892901e-15 2.930942e-15 9.787635e-15
4.700000e+01 9.412724e+03 8.372939e+08 1.525624e+02 1.674527e-12 2.809067e-15 7.648086e-16 2.858801e-15 2.910916e-15 8.593786e-15
