long.t Lactobacillus_iners Lactobacillus_crispatus Gardnerella_vaginalis g_Gemella Prevotella_buccalis Prevotella_bivia g_Dialister
0.000000e+00 1.739945e-14 3.812748e-15 1.257034e-15 2.220474e-16 2.473887e-15 1.243981e+02 5.073024e+02
1.000000e+00 1.741833e-14 3.830824e-15 1.257032e-15 2.220456e-16 2.475037e-15 1.195715e+02 4.766523e+02
2.000000e+00 1.168878e-15 4.170034e-15 1.257031e-15 2.220451e-16 2.496880e-15 1.074223e+02 4.699553e+02
3.000000e+00 1.560171e-14 4.903813e-15 1.257031e-15 2.220451e-16 2.220549e-16 2.516181e+04 5.254818e+02
4.000000e+00 1.395704e-14 6.238339e-15 1.257033e-15 2.220454e-16 2.263442e-15 2.362965e+02 4.481804e+03
5.000000e+00 1.269645e-14 8.627280e-15 1.257036e-15 2.220464e-16 2.033873e-15 4.506021e+02 5.455653e+02
6.000000e+00 9.553277e-15 8.650491e-15 1.257034e-15 2.220468e-16 1.660082e-15 1.018861e+03 6.295875e+02
7.000000e+00 1.084900e-14 1.955804e-14 1.257046e-15 2.220509e-16 1.668039e-15 1.543036e+03 6.066801e+02
8.000000e+00 1.018235e-14 3.265742e-14 1.257052e-15 2.220577e-16 1.521241e-15 3.248998e+03 6.435345e+02
9.000000e+00 8.090252e-15 3.579094e-14 1.257054e-15 2.220607e-16 1.284353e-15 6.007073e+03 7.871121e+02
1.000000e+01 9.237444e-15 1.145477e-13 1.257069e-15 2.220900e-16 1.282026e-15 9.410368e+03 7.466868e+02
1.100000e+01 8.924276e-15 2.475644e-13 1.257080e-15 2.221384e-16 1.183937e-15 1.533032e+04 8.127597e+02
1.200000e+01 7.407406e-15 3.009339e-13 1.257086e-15 2.221599e-16 1.026724e-15 3.013066e+04 9.445073e+02
1.300000e+01 8.564542e-15 1.592552e-12 1.257108e-15 2.223636e-16 1.021059e-15 5.545868e+04 5.689623e+03
1.400000e+01 9.744994e-16 4.941893e-12 1.257125e-15 2.226629e-16 9.530441e-16 6.041201e+04 9.643947e+02
1.500000e+01 7.157131e-15 2.189534e-13 1.257146e-15 2.234164e-16 8.938649e-16 1.125792e+05 1.137444e+03
1.600000e+01 6.103076e-15 2.794647e-13 1.257172e-15 2.252361e-16 8.422134e-16 1.200535e+05 1.187038e+03
1.700000e+01 5.270309e-15 2.294576e-11 1.257004e-15 2.304407e-16 7.970173e-16 1.630375e+05 1.346459e+03
1.800000e+01 4.050729e-15 6.635000e-12 1.257169e-15 2.319756e-16 7.211769e-16 3.205931e+05 1.957266e+03
1.900000e+01 3.561250e-15 5.837740e-12 1.257146e-15 2.377362e-16 6.868449e-16 3.854169e+05 2.169336e+03
2.000000e+01 3.130919e-15 5.136276e-12 1.257126e-15 2.436398e-16 6.541473e-16 4.633480e+05 2.404383e+03
2.100000e+01 3.067417e-15 1.381974e-11 1.257114e-15 2.792029e-16 6.494890e-16 4.401203e+05 2.327691e+03
2.200000e+01 2.704693e-15 1.536102e-11 1.257099e-15 3.298599e-16 6.191610e-16 5.784163e+05 2.565540e+03
2.300000e+01 2.407555e-15 2.265838e-11 1.257087e-15 5.978909e-16 5.922225e-16 6.377230e+05 2.863167e+03
2.400000e+01 1.972032e-15 1.233608e-11 1.257070e-15 6.811630e-16 5.483378e-16 7.821862e+05 3.441629e+03
2.500000e+01 1.779446e-15 2.183776e-11 1.257061e-15 1.272559e-15 5.270577e-16 8.563623e+05 3.718414e+03
2.600000e+01 1.605668e-15 3.865795e-11 1.257052e-15 2.377415e-15 5.066036e-16 9.375729e+05 4.017459e+03
2.700000e+01 1.448860e-15 6.843361e-11 1.257043e-15 4.441523e-15 4.869432e-16 1.026485e+06 4.340554e+03
2.800000e+01 1.403318e-15 4.908265e-10 1.257041e-15 2.841965e-13 4.812950e-16 8.076770e+05 4.033017e+03
